研报名称,机构名称,发布时间,行业,页数,网页链接,PDF直链
人工智能重点新闻2026年6月报：商业应用持续落地，国产模型价值凸显,国元证券,2026-07-09 00:00:00.000,IT服务Ⅱ,12,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=LZ0shobpeEbFaV0MmHKb1dR3BwoC0tr/MbwNoXbZtE8=,https://pdf.dfcfw.com/pdf/H3_AP202607091826839886_1.pdf
AI+金融应用趋势及投资者偏好洞察,上海应帆数字科技,2026-07-09 00:00:00.000,IT服务Ⅱ,11,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=LZ0shobpeEbFaV0MmHKb1VpfYXDc4h6G5sxzEzR9SOE=,https://pdf.dfcfw.com/pdf/H3_AP202607091826832373_1.pdf
计算机行业周报：大模型持续迭代，AI企业资本化加速,上海证券,2026-07-09 00:00:00.000,IT服务Ⅱ,3,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=LZ0shobpeEbFaV0MmHKb1WbYe8Rfkyoiz2xzffXmuSw=,https://pdf.dfcfw.com/pdf/H3_AP202607091826834583_1.pdf
人工智能入门指南：面向公众投资者-从AI意识到AI准备,世界银行,2026-07-09 00:00:00.000,IT服务Ⅱ,64,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=LZ0shobpeEbFaV0MmHKb1XKH6hNdy2+Z5SUgPBCk2TE=,https://pdf.dfcfw.com/pdf/H3_AP202607091826833096_1.pdf
计算机行业点评报告：Intel再度提价，国产CPU迎来历史性窗口,东吴证券,2026-07-08 00:00:00.000,IT服务Ⅱ,5,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=zvBpmt7iWF2+iLsmGuoe+DlRnPao373jUkQ5wEMY/Es=,https://pdf.dfcfw.com/pdf/H3_AP202607081826821919_1.pdf
计算机行业点评：Meta仍在大模型“牌桌”上,华源证券,2026-07-08 00:00:00.000,IT服务Ⅱ,2,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=zvBpmt7iWF2+iLsmGuoe+GjbZTE2FSYfokIryin6IrI=,https://pdf.dfcfw.com/pdf/H3_AP202607081826823146_1.pdf
计算机行业周报：华为发布韬定律论文V2版本，国产模型调用量持续领先,华龙证券,2026-07-07 00:00:00.000,IT服务Ⅱ,10,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=h8pjiSxToq3UPqquKvFq3mzu2cvMWUrGH8Jf9wjy/zw=,https://pdf.dfcfw.com/pdf/H3_AP202607071826771094_1.pdf
计算机行业周报：Anthropic发布Claude Sonnet 5，DSpark与JetSpec共探投机解码效率新边界,华鑫证券,2026-07-07 00:00:00.000,IT服务Ⅱ,21,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=h8pjiSxToq3UPqquKvFq3pleW53SO1kJmp0RHVTwPCQ=,https://pdf.dfcfw.com/pdf/H3_AP202607071826762354_1.pdf
人工智能背景下数据安全八大发展趋势,中国信通院,2026-07-07 00:00:00.000,IT服务Ⅱ,11,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=h8pjiSxToq3UPqquKvFq3m2GvIi/fhuNRNAWibWVGjI=,https://pdf.dfcfw.com/pdf/H3_AP202607071826764059_1.pdf
计算机行业跟踪报告：AI应用商业化验证进程加速,万联证券,2026-07-06 00:00:00.000,IT服务Ⅱ,8,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=jocpIJdi6Q/y/MTw/2H7SgT0YiZkwUSCXMqIkWVYPSI=,https://pdf.dfcfw.com/pdf/H3_AP202607061826753753_1.pdf
