研报名称,机构名称,发布时间,行业,页数,网页链接,PDF直链
商贸零售行业7月投资策略：扩大消费“十五五”规划出台，顶层设计引领内需复苏成长,国信证券,2026-07-14 00:00:00.000,一般零售,15,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=THoCdW11jQl5iiz7Fcrwt3zpeIuth7HKRCL9Uih7Nfk=,https://pdf.dfcfw.com/pdf/H3_AP202607141826955981_1.pdf
新消费行业周报：6月CPI同比温和上涨1.0%；文旅部发布《旅游强国建设“十五五”规划》,华源证券,2026-07-14 00:00:00.000,一般零售,9,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=JcOg0ZZaus+iKTIiCp+KLcXaPjPJTzkkud47/3/QAF8=,https://pdf.dfcfw.com/pdf/H3_AP202607131826936833_1.pdf
新消费行业周报：WAIC 2026即将开幕，关注Agent终端和AI智能体手机,上海证券,2026-07-14 00:00:00.000,一般零售,3,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=THoCdW11jQl5iiz7Fcrwt6WZ+Pc0/gNVahSt1zYWKeA=,https://pdf.dfcfw.com/pdf/H3_AP202607141826946303_1.pdf
商贸零售行业周报：来伊份正式进军新鲜零食赛道，首店落地上海,开源证券,2026-07-13 00:00:00.000,一般零售,25,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=JcOg0ZZaus+iKTIiCp+KLTHFQ+AeqF/YCEN2/n9J5BE=,https://pdf.dfcfw.com/pdf/H3_AP202607131826917325_1.pdf
商贸零售行业跟踪周报：《旅游强国建设“十五五”规划》发布，重视消费政策对国企动力的推动,东吴证券,2026-07-13 00:00:00.000,一般零售,9,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=JcOg0ZZaus+iKTIiCp+KLQ5rB4BeuMCCsP/EvIHwOqg=,https://pdf.dfcfw.com/pdf/H3_AP202607131826917129_1.pdf
耐用消费产业行业研究：致欧科技6月全面加速，小米汽车发布skynomad子品牌打开成长空间,国金证券,2026-07-12 00:00:00.000,一般零售,23,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=4setjouJ214gX8Re7X69pjcUck/0RLHzVkiK1GwHX8c=,https://pdf.dfcfw.com/pdf/H3_AP202607121826910899_1.pdf
批发和零售贸易行业研究：内需修复节奏波动，关注出海绩优龙头,国金证券,2026-07-12 00:00:00.000,一般零售,8,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=4setjouJ214gX8Re7X69pkkXhYqTeQKD0PR5gx99Mbc=,https://pdf.dfcfw.com/pdf/H3_AP202607121826910074_1.pdf
新消费与消费电子行业动态：中国空调欧洲热销，关注消费&芯片出海,上海证券,2026-07-10 00:00:00.000,一般零售,3,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=F6IVvWrQaTYYJ+d9R8ZkdsY2DRl6OUxmp4YBs1ZrIHM=,https://pdf.dfcfw.com/pdf/H3_AP202607101826864099_1.pdf
2026年新消费行业中期策略：科技消费，创技思新,上海证券,2026-07-09 00:00:00.000,一般零售,18,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=LZ0shobpeEbFaV0MmHKb1fCnxjVCp2w9N5MMB3vzQCw=,https://pdf.dfcfw.com/pdf/H3_AP202607091826834580_1.pdf
新消费行业周报：鲟龙科技正式在港交所挂牌上市；2026H1共有约39家美妆企业冲击IPO,华源证券,2026-07-07 00:00:00.000,一般零售,10,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=jocpIJdi6Q/y/MTw/2H7SugUZxU7JgtbPCixGJTvptM=,https://pdf.dfcfw.com/pdf/H3_AP202607061826755768_1.pdf
