研报名称,机构名称,发布时间,行业,页数,网页链接,PDF直链
人工智能对以色列劳动力市场的影响,国际货币基金组织,2026-07-22 00:00:00.000,专业服务,16,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=bkYktvs9RKNTrOLqkt2RHcy8JVUwpxgRr0F131Aa3TE=,https://pdf.dfcfw.com/pdf/H3_AP202607221827239686_1.pdf
2026招聘市场趋势与洞察报告,北京领英信息技术,2026-07-16 00:00:00.000,专业服务,21,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=k6uwg4wSl4ZpcffQ2Bf5yNdZsiZiQcylkG77xfhqGxg=,https://pdf.dfcfw.com/pdf/H3_AP202607161827006505_1.pdf
2026年中国文旅行业项目风险研究报告,硕远咨询,2026-07-03 00:00:00.000,专业服务,22,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=lfCg5GuIRBDoKH/4GRaxX7GJfixsOdpM0SHoRYV9S4Q=,https://pdf.dfcfw.com/pdf/H3_AP202607031826686450_1.pdf
光模块测试仪器专题：光模块量产“卖铲人”，受益行业通胀、供需缺口与国产替代,东吴证券,2026-06-25 00:00:00.000,专业服务,42,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=RWyjWuYit9o0p2O5Ru2r6L0OhmImquViU8BzIbjr+E0=,https://pdf.dfcfw.com/pdf/H3_AP202606251823823889_1.pdf
2026年人力资本趋势研究：技术驱动 以人为本-人类如何增强在人工智能时代的成果,怡安企业服务(上海),2026-06-16 00:00:00.000,专业服务,99,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=DFBMkX5WIiTdr8VSVb2JHzMAjv2pxxUrsWfkVcNYpmI=,https://pdf.dfcfw.com/pdf/H3_AP202606161823609593_1.pdf
社会服务行业情绪经济专题报告：小情绪有大市场，从性价比到心价比,中航证券,2026-06-10 00:00:00.000,专业服务,33,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=/Fnww1CLbs895+41ik+hEr8OfwFRUpikuX2dJAra27Y=,https://pdf.dfcfw.com/pdf/H3_AP202606101823409496_1.pdf
「眼部护理」2026年4月市场报告,蔚云出海(广州)企业咨询,2026-06-09 00:00:00.000,专业服务,14,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=Ro1ytKVz64H4i+sSK7qcQZmIXUh8SeOTJrdoNwPkk2Y=,https://pdf.dfcfw.com/pdf/H3_AP202606091823389484_1.pdf
2025-2026年度中国猎头行业发展趋势报告,上海品聘软件技术,2026-06-09 00:00:00.000,专业服务,20,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=Ro1ytKVz64H4i+sSK7qcQWAtSHpGVfUTg3KFDFyQ1IE=,https://pdf.dfcfw.com/pdf/H3_AP202606091823389177_1.pdf
检测服务行业2025年&2026年一季报总结：利润率和现金流持续修复，关注布局全球化、高新技术的行业龙头,东吴证券,2026-05-25 00:00:00.000,专业服务,64,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=yAxnM+X7+cNkaz6/iJZO1M1Oj35gb5B/qIjHfAX9hQ4=,https://pdf.dfcfw.com/pdf/H3_AP202605251822858075_1.pdf
2026年中国企业服务平台化与生态化发展研究报告,硕远咨询,2026-05-05 00:00:00.000,专业服务,23,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=BaaYezpV3tryL6L2DX9ubk7HHtjcyxAViINNi5EE+s8=,https://pdf.dfcfw.com/pdf/H3_AP202605031821950385_1.pdf
2026年中国企业服务行业监管政策研究报告,硕远咨询,2026-05-05 00:00:00.000,专业服务,20,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=BaaYezpV3tryL6L2DX9ubjbbPl0nZDVhQKnNHqugSu0=,https://pdf.dfcfw.com/pdf/H3_AP202605031821950386_1.pdf
2026年中国基层政务外包服务行业市场研究报告,硕远咨询,2026-05-05 00:00:00.000,专业服务,26,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=BaaYezpV3tryL6L2DX9ubkGwNOXvCT5Q6kJzx2u+rNQ=,https://pdf.dfcfw.com/pdf/H3_AP202605031821950387_1.pdf
2026年中国共享服务中心与企业服务集约化研究报告,硕远咨询,2026-05-05 00:00:00.000,专业服务,30,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=BaaYezpV3tryL6L2DX9ubo+YZfD+L4taTuQeJepPnP8=,https://pdf.dfcfw.com/pdf/H3_AP202605031821950405_1.pdf
2026年中国企业服务行业标准化与规范化研究报告,硕远咨询,2026-05-05 00:00:00.000,专业服务,20,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=BaaYezpV3tryL6L2DX9ubkT0uTZH2FgkYGSbwY6LF4s=,https://pdf.dfcfw.com/pdf/H3_AP202605031821950407_1.pdf
2026年中国审计、会计与税务服务行业研究报告,硕远咨询,2026-05-05 00:00:00.000,专业服务,34,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=BaaYezpV3tryL6L2DX9ubt9CCZkLyphq+3Ah4f+6clw=,https://pdf.dfcfw.com/pdf/H3_AP202605031821950404_1.pdf
宠物殡葬新行业洞察,南京炼丹炉数据技术,2026-04-30 00:00:00.000,专业服务,34,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=z+BQzM0NJ1Yh8OoBVL6DMgpL0RcyfI5bMEdVbZ9e6JQ=,https://pdf.dfcfw.com/pdf/H3_AP202604301821820260_1.pdf
2026年中国青年性福白皮书：心力与性力的双重奏,艾瑞股份,2026-04-25 00:00:00.000,专业服务,48,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=u0i1cZTNUMOPcM3SjCQs4Mb4dxf3ojDYRIfqoPDxzlQ=,https://pdf.dfcfw.com/pdf/H3_AP202604241821576020_1.pdf
中国呼吸道疾病检测行业概览：快速检测助力呼吸道疾病诊疗,头豹研究院,2026-04-23 00:00:00.000,专业服务,32,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=/OdnvFqSBKsDWvabmdFdFBHOVS4hdinfz5uMcZJ1OpY=,https://pdf.dfcfw.com/pdf/H3_AP202604231821511151_1.pdf
制造行业：新质生产力驱动下制造业人才要素重构与两业融合路径研究,南京天坤人工智能研究院,2026-04-20 00:00:00.000,专业服务,41,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=lw61vATgV5jkMKNq7hii70oI/vUpdSoSc1w75dNjLxY=,https://pdf.dfcfw.com/pdf/H3_AP202604201821352856_1.pdf
2026年中国社区养老服务行业市场研究报告,硕远咨询,2026-04-16 00:00:00.000,专业服务,35,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=fMzmk+2oClhN0YqA7sAGfCJxZ54bgJTHFIlHiyW86kQ=,https://pdf.dfcfw.com/pdf/H3_AP202604161821252007_1.pdf
2025年中国终身学习服务行业研究报告,硕远咨询,2026-03-15 00:00:00.000,专业服务,30,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=7HIURRqTbuK4ZnlEb5bC0QblbQL7snUJPyqityC19/o=,https://pdf.dfcfw.com/pdf/H3_AP202603151820564731_1.pdf
2026年法律服务行业发展趋势报告：AI入局，法律服务行业增长从“偶然”走向“必然”,广州探迹科技,2026-03-15 00:00:00.000,专业服务,34,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=7HIURRqTbuK4ZnlEb5bC0WAZs6WMpOlvgFCMXv1q3kw=,https://pdf.dfcfw.com/pdf/H3_AP202603151820564713_1.pdf
2026抖音生活服务：春节消费数据报告,抖音,2026-03-01 00:00:00.000,专业服务,5,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=8i8k756OKMtArLgmB92aQ37HtatWoIiMys1L7QtlhVo=,https://pdf.dfcfw.com/pdf/H3_AP202603011820155112_1.pdf
社会服务业行业研究：2026数说文旅消费-春节期间数据总结与展望,国金证券,2026-02-26 00:00:00.000,专业服务,12,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=TEd3mUG928C5xLh9mxyBS/NymqQpgMTr3r1kGKr7+ZQ=,https://pdf.dfcfw.com/pdf/H3_AP202602261820048647_1.pdf
