研报名称,机构名称,发布时间,行业,页数,网页链接,PDF直链
具身智能（人形机器人）产业发展蓝皮书：从技术验证到规模化商用：新质生产力核心载体（2026年）,天津知行元界智能科技,2026-07-10 00:00:00.000,专用设备,137,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=F6IVvWrQaTYYJ+d9R8ZkduhNGWasMxQS8qPXZdXHQg0=,https://pdf.dfcfw.com/pdf/H3_AP202607101826859296_1.pdf
50+人形机器人场景应用落地图谱,深圳市新战略传媒,2026-07-09 00:00:00.000,专用设备,53,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=LZ0shobpeEbFaV0MmHKb1RKieNS5h8in0Xs1c9RcekA=,https://pdf.dfcfw.com/pdf/H3_AP202607091826831981_1.pdf
人形机器人周报：马斯克发布弗里蒙特工厂产线合影，Optimus或进入关键量产准备阶段,国元证券,2026-07-09 00:00:00.000,专用设备,7,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=LZ0shobpeEbFaV0MmHKb1S0R1vEP17D/ud1aCzcNKjE=,https://pdf.dfcfw.com/pdf/H3_AP202607091826830554_1.pdf
全球人形机器人行业研究报告（2026）：人形机器人市场规模和竞争格局,锦研视角,2026-07-09 00:00:00.000,专用设备,19,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=LZ0shobpeEbFaV0MmHKb1SB0+BdA3y3CMU3NuW23jzQ=,https://pdf.dfcfw.com/pdf/H3_AP202607091826832431_1.pdf
2026中国具身智能产业发展报告,中国机电一体化技术应用协会,2026-07-09 00:00:00.000,专用设备,89,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=LZ0shobpeEbFaV0MmHKb1aroDhp5Cn7YRrcx1rpvOX0=,https://pdf.dfcfw.com/pdf/H3_AP202607091826832387_1.pdf
机器人行业研究：特斯拉Optimus首条产线落地，宇树IPO注册获批,国金证券,2026-07-06 00:00:00.000,专用设备,16,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=jocpIJdi6Q/y/MTw/2H7ShG7o2CR/+pULQUtCUjigZA=,https://pdf.dfcfw.com/pdf/H3_AP202607061826734919_1.pdf
全球教育机器人发展蓝皮书2026：大模型、具身智能与人形机器人时代的学习,AI-SLI,2026-07-03 00:00:00.000,专用设备,239,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=lfCg5GuIRBDoKH/4GRaxX6F2WCHGz6ZY4CoIwQw6dHY=,https://pdf.dfcfw.com/pdf/H3_AP202607031826683014_1.pdf
人形机器人周报：优必选发布商用服务人形机器人Walker C1，M-Robots开源社区启动,国元证券,2026-07-02 00:00:00.000,专用设备,9,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=e8uG6eiIVZW0nwiqzAxJqgfEPAAcTjrbDQ7Kddfwcs8=,https://pdf.dfcfw.com/pdf/H3_AP202607021826648157_1.pdf
机械行业研究：看好半导体设备内外共振，关注农机、机器人视觉板块,国金证券,2026-06-30 00:00:00.000,专用设备,15,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=w/NB8TOq3B38ISJrYF46i4xD33cC6ufJs+woK7Gc1Xo=,https://pdf.dfcfw.com/pdf/H3_AP202606281826515858_1.pdf
"人形机器人行业跟踪报告：智元机器人第15,000台具身智能机器人正式下线",万联证券,2026-06-30 00:00:00.000,专用设备,8,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=pbgGimF6GIUsJi/NFvqdc11n8OyeOFNBZKshkLRi0qM=,https://pdf.dfcfw.com/pdf/H3_AP202606301826594812_1.pdf
