研报名称,机构名称,发布时间,行业,网页链接,PDF直链
2026口服抗衰食品行业原料创新及应用洞察报告,广州云链智能科技,2026-07-04 00:00:00.000,休闲食品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=/m154nP6C416h3qLjjZKfFMRnpHcwDoJ/PWXLSAcYaM=,https://pdf.dfcfw.com/pdf/H3_AP202607041826721782_1.pdf
扩大内需战略专题研究（三）：历轮“内需刺激”周期中，消费如何表现？（上）,联储证券,2026-07-02 00:00:00.000,休闲食品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=e8uG6eiIVZW0nwiqzAxJqq7+T3alqjjvi+sPhDYKreA=,https://pdf.dfcfw.com/pdf/H3_AP202607021826657969_1.pdf
食品饮料行业新消费研究之四：场景化最佳实践：新鲜业态重构消费版图,国信证券,2026-06-30 00:00:00.000,休闲食品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=pbgGimF6GIUsJi/NFvqdc44fqUBrSMRvjfA731MldXM=,https://pdf.dfcfw.com/pdf/H3_AP202606301826606263_1.pdf
2026年中期食品饮料行业投资策略报告：底部渐明待春风，分化之中觅生机,万联证券,2026-06-29 00:00:00.000,休闲食品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=sNXHRqYfuq/YK3RNBqVl9BonY3+DS58i1H+a2jAE3mI=,https://pdf.dfcfw.com/pdf/H3_AP202606291826551173_1.pdf
食品饮料行业跟踪报告：五粮液定调长期主义，量价管理与客群拓展并进,爱建证券,2026-06-29 00:00:00.000,休闲食品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=sNXHRqYfuq/YK3RNBqVl9Out7CD/ZPiU15mOVkQTd7w=,https://pdf.dfcfw.com/pdf/H3_AP202606291826549915_1.pdf
食品饮料行业周报：微生物蛋白产业落地加速，大众品内生外延打开成长空间,开源证券,2026-06-28 00:00:00.000,休闲食品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=w/NB8TOq3B38ISJrYF46iwalOyagl/Tv77loMPUxeCE=,https://pdf.dfcfw.com/pdf/H3_AP202606281826517742_1.pdf
零食量贩业态更新：平价便利，效率革命,信达证券,2026-06-28 00:00:00.000,休闲食品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=w/NB8TOq3B38ISJrYF46i/nNjvC7fqSqB8FxQ7NQ0Fw=,https://pdf.dfcfw.com/pdf/H3_AP202606281826515453_1.pdf
食品饮料行业研究：基本面环比平稳，关注α标的高赔率配置,国金证券,2026-06-28 00:00:00.000,休闲食品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=w/NB8TOq3B38ISJrYF46i19dUrq27Yo0EyC3WBWhGY0=,https://pdf.dfcfw.com/pdf/H3_AP202606281826514748_1.pdf
食品饮料行业研究周报：端午前后飞天茅台批价稳定 关注品类分化投资机会,申港证券,2026-06-26 00:00:00.000,休闲食品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=w2NNQ6TFDBV7T5E2D8Y77t3cSHJpuKylNma5k1hD3dk=,https://pdf.dfcfw.com/pdf/H3_AP202606261824471720_1.pdf
食品饮料行业深度报告：以周期迭代视角，看茶饮崛起与突围,东海证券,2026-06-21 00:00:00.000,休闲食品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=svHcicKcG+Np1VgQVFF95nrFDH620oW7CmLqGHNcYLc=,https://pdf.dfcfw.com/pdf/H3_AP202606211823707280_1.pdf
2025年中国燕麦谷物棒行业：健康化、便捷化、功能化三大核心发展趋势,头豹研究院,2026-06-18 00:00:00.000,休闲食品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=13BnGdH8vQGjruC+csEfjirgGvA7GuaPnZdq7tOwYHw=,https://pdf.dfcfw.com/pdf/H3_AP202606181823673504_1.pdf
2026冰淇淋行业简析报告,上海嘉世营销咨询,2026-06-15 00:00:00.000,休闲食品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=fT7MG3z99qslJnEoDmwZDMKslFD+kbvgffI+jr8/TlE=,https://pdf.dfcfw.com/pdf/H3_AP202606151823571039_1.pdf
知行数据观察：粽子品类,宁波知行合一信息技术咨询服务,2026-06-14 00:00:00.000,休闲食品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=258OWqm3aDwZNw1gsD2XXFFhUCpDLSxSkAh8eE7uF88=,https://pdf.dfcfw.com/pdf/H3_AP202606141823548864_1.pdf
知行数据观察：坚果零食品类,宁波知行合一信息技术咨询服务,2026-06-14 00:00:00.000,休闲食品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=258OWqm3aDwZNw1gsD2XXENg46ezRTd/racfx4XqtVg=,https://pdf.dfcfw.com/pdf/H3_AP202606141823548863_1.pdf
食品饮料行业投资策略：食饮行至低谷，蓄势静待东升,开源证券,2026-05-31 00:00:00.000,休闲食品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=frN1yznI/PSjLneQCR7qms4ZPDASKu/DbiKFf9DVQCY=,https://pdf.dfcfw.com/pdf/H3_AP202605311823105565_1.pdf
中国烘焙类休闲食品行业：烘焙类休闲食品发展迅速，传统糕点抢占市场,头豹研究院,2026-05-14 00:00:00.000,休闲食品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=LBIS7bPRbuARj1Q2LOK57XWVuo9NTgkk2uKaotmZcD8=,https://pdf.dfcfw.com/pdf/H3_AP202605141822320802_1.pdf
食品饮料行业：从自由现金流看行业复苏趋势,东兴证券,2026-05-13 00:00:00.000,休闲食品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=KKx/o0h8GXci4gNIaf+w9HCqlKBDU91tt7Mbx2X5WTE=,https://pdf.dfcfw.com/pdf/H3_AP202605131822255886_1.pdf
食品行业年报及一季报总结：需求稳步修复，龙头优势凸显,国金证券,2026-05-05 00:00:00.000,休闲食品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=L1lRXMabK5Ss4XKsaKCfc+acAvilbz3u4P1NWl3o1ts=,https://pdf.dfcfw.com/pdf/H3_AP202605051821968875_1.pdf
2026功能型食品创新发展论坛：功能食品消费者洞察——从需求觉醒到精准供给,上海库润信息技术,2026-04-28 00:00:00.000,休闲食品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=en3lKDpHApx5MExDYCEDEUOFZFKCLLY95gZoLZV+jnA=,https://pdf.dfcfw.com/pdf/H3_AP202604281821703860_1.pdf
2026中国休闲零食行业白皮书：破局与远征,中企网通投资顾问(北京),2026-04-10 00:00:00.000,休闲食品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=cR/s6uWt5jZZd4n+QAEFBh5uHhJdzPE6JLmm1hRUZCw=,https://pdf.dfcfw.com/pdf/H3_AP202604101821126888_1.pdf
2026中国食品消费趋势白皮书,中粮营养健康研究院,2026-04-03 00:00:00.000,休闲食品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=gFO24YZW3e0PlygtpsizFHHYTScJYBEqvspO9ZTznaA=,https://pdf.dfcfw.com/pdf/H3_AP202604031821004136_1.pdf
2026茶咖新风向：行业演变与爆品趋势解码,益普索集团,2026-04-01 00:00:00.000,休闲食品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=Gu8QRr/fLYcAt/sGSmjl8MmGDTvF48J8bDmBniMJ0oE=,https://pdf.dfcfw.com/pdf/H3_AP202604011820946627_1.pdf
食品饮料：食品细分赛道景气度延续，成本成为关注点,东兴证券,2026-04-01 00:00:00.000,休闲食品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=Gu8QRr/fLYcAt/sGSmjl8KVH1qkMNMCRHs6pAdPEhrQ=,https://pdf.dfcfw.com/pdf/H3_AP202604011820938020_1.pdf
烧烤产业发展报告2026,红餐产业研究院,2026-03-27 00:00:00.000,休闲食品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=+HQpsq0qvXZbuOEG3JMI5hPcF7dRCYBmZrq+o+2zpF0=,https://pdf.dfcfw.com/pdf/H3_AP202603271820806746_1.pdf
食品饮料行业扩大内需战略专题研究（二）：扩大内需战略的核心传导密码,联储证券,2026-03-20 00:00:00.000,休闲食品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=u3Nt816Iq8ZLMy7d0TYNP3zTTE9cHrVVd17pW/MT+nU=,https://pdf.dfcfw.com/pdf/H3_AP202603201820675174_1.pdf
食品饮料行业点评报告：春节提振消费表现，1-2月社零增速环比提升,开源证券,2026-03-18 00:00:00.000,休闲食品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=s7nmvLweMqllj8ucx4/dSR7c6mBx7yy+TC7IqcSqFYs=,https://pdf.dfcfw.com/pdf/H3_AP202603181820624231_1.pdf
肯德基2025品牌年终报告,北京窄门信息技术,2026-03-16 00:00:00.000,休闲食品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=ivGavoqmU0N6YSeJK0gsmoPu0xmomGLJwMiXN2+SltQ=,https://pdf.dfcfw.com/pdf/H3_AP202603161820576237_1.pdf
食品饮料行业2025年业绩预告综述：整体预盈率下降，静待政策发力与需求回暖,万联证券,2026-03-12 00:00:00.000,休闲食品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=duOKd2B+lgzBov5ATCbG/9y7CVfvVZ5HBe0roWDYkjs=,https://pdf.dfcfw.com/pdf/H3_AP202603121820511570_1.pdf
银发经济行业专题：食品饮料篇——掘金银发餐桌，从“吃饱”到“吃对”,国信证券,2026-02-24 00:00:00.000,休闲食品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=7MkoqOEIgNg/XOqZyrzqNj3nna7TYfUrGyBa1gwIt4Q=,https://pdf.dfcfw.com/pdf/H3_AP202602241819989904_1.pdf
