研报名称,机构名称,发布时间,行业,页数,网页链接,PDF直链
2026全球保险投资调查：再平衡：从收益恢复到规范部署,达信,2026-07-22 00:00:00.000,保险Ⅱ,23,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=bkYktvs9RKNTrOLqkt2RHUWcRaWnLt15mjG4yQHL3hE=,https://pdf.dfcfw.com/pdf/H3_AP202607221827240552_1.pdf
保险资负管理新时代，有效匹配方能行稳致远,东吴证券,2026-07-22 00:00:00.000,保险Ⅱ,47,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=ZKa/54az+XeMHjmCHDK1LFx/GacX8m63+7Ts3u32wVA=,https://pdf.dfcfw.com/pdf/H3_AP202607211827226494_1.pdf
中国涉外保险理赔管理行业白皮书,艾瑞股份,2026-07-08 00:00:00.000,保险Ⅱ,32,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=zvBpmt7iWF2+iLsmGuoe+Ep+/8WofRmSVjve0eK7fpc=,https://pdf.dfcfw.com/pdf/H3_AP202607081826824038_1.pdf
中国机构配置手册（2026版）之保险资管篇：破局低利率：40万亿后的险资叙事,国信证券,2026-07-06 00:00:00.000,保险Ⅱ,97,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=jocpIJdi6Q/y/MTw/2H7Sg0NqT41OUgWt27u1A61ZVE=,https://pdf.dfcfw.com/pdf/H3_AP202607061826749057_1.pdf
保险行业信用风险展望（2026年06月）,联合资信评估,2026-07-06 00:00:00.000,保险Ⅱ,9,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=jocpIJdi6Q/y/MTw/2H7SqBBlsfLhWGn/496d7Pr9Gw=,https://pdf.dfcfw.com/pdf/H3_AP202607061826748296_1.pdf
健康保险机构资金状况,奥纬咨询公司,2026-07-02 00:00:00.000,保险Ⅱ,23,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=e8uG6eiIVZW0nwiqzAxJqslrDNQJHgSogKQCcy0yrVM=,https://pdf.dfcfw.com/pdf/H3_AP202607021826650228_1.pdf
保险行业2026年中期投资策略：资负管理护航长期经营，静待估值向基本面回归,东吴证券,2026-07-01 00:00:00.000,保险Ⅱ,43,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=fTCRDmv+6Cmy8a+mlj7u5JgFFGnfw8YQK19ug9DNWoA=,https://pdf.dfcfw.com/pdf/H3_AP202607011826632585_1.pdf
保险行业5月保费：产险单月保费增速转正，寿险高基数压力逐步显现,东吴证券,2026-06-27 00:00:00.000,保险Ⅱ,5,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=Yh5OjwBtDn6DxByG8IbUmrzGdKKnNxuf5wAztATwKhY=,https://pdf.dfcfw.com/pdf/H3_AP202606271826506621_1.pdf
保险行业2026年中期策略报告：资负两端高景气延续，估值修复可期,国金证券,2026-06-09 00:00:00.000,保险Ⅱ,39,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=Ro1ytKVz64H4i+sSK7qcQUdNg+/lfI5zbI90Y33/guo=,https://pdf.dfcfw.com/pdf/H3_AP202606091823376282_1.pdf
上市保险公司投资分析（2025年&2026Q1）,东吴证券,2026-06-07 00:00:00.000,保险Ⅱ,50,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=1dS8OwFW4WA9Nyk/1R5SO3w7vPffbQVFqIGsoPAmp54=,https://pdf.dfcfw.com/pdf/H3_AP202606071823344295_1.pdf
保险股最新观点更新：否极泰来：当周期向上遇到估值向下,国信证券,2026-06-03 00:00:00.000,保险Ⅱ,8,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=vLVBb9crEuL+SI65XlPRK0Yh8EKQIKddmhcoymcKYDs=,https://pdf.dfcfw.com/pdf/H3_AP202606031823190039_1.pdf
2026年中国保理行业信用风险展望,联合资信评估,2026-06-02 00:00:00.000,保险Ⅱ,12,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=J8egfRaQldcxrS+vK5NVDsFWpP51xw+fdSBoHrcSi90=,https://pdf.dfcfw.com/pdf/H3_AP202606021823163699_1.pdf
