研报名称,机构名称,发布时间,行业,页数,网页链接,PDF直链
耐用消费产业行业研究：高端电子布景气持续提升，织机紧缺关注国产替代机会,国金证券,2026-07-12 00:00:00.000,元件,12,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=4setjouJ214gX8Re7X69plybNTMbHbBDdALAzU2ICPU=,https://pdf.dfcfw.com/pdf/H3_AP202607121826913680_1.pdf
电子行业点评报告：国产算力周跟踪：CPU提价验证需求韧性，曙光十万卡集群加速国产算力升级,东吴证券,2026-07-12 00:00:00.000,元件,2,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=4setjouJ214gX8Re7X69porfZCWCkQeFlevHw6v+yoM=,https://pdf.dfcfw.com/pdf/H3_AP202607121826911479_1.pdf
电子行业深度报告：AI集群扩张下的光模块电芯片国产化机遇——DSP、TIA、Driver,东吴证券,2026-07-12 00:00:00.000,元件,17,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=GRrNff9J/04vwQ78jPN8L6cKYyDNovAnmk3fdrU3sSE=,https://pdf.dfcfw.com/pdf/H3_AP202607111826904173_1.pdf
端侧AI周跟踪：Meta算力投入与模型持续演进，WAIC将发布智能体手机,东吴证券,2026-07-12 00:00:00.000,元件,2,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=4setjouJ214gX8Re7X69pkkAWkjE3sDJ6iK2HaWRlOk=,https://pdf.dfcfw.com/pdf/H3_AP202607121826913169_1.pdf
电子行业周报：电子布涨价持续，上游设备供需紧张,上海证券,2026-07-12 00:00:00.000,元件,2,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=4setjouJ214gX8Re7X69phOHdmmyh59vMUhaRZ0p12E=,https://pdf.dfcfw.com/pdf/H3_AP202607121826911589_1.pdf
AI周观察：腾讯Hy3发布正式版，存储价格继续上升,国金证券,2026-07-12 00:00:00.000,元件,7,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=4setjouJ214gX8Re7X69poQfh0Wew0JFPWmFPeeE4CU=,https://pdf.dfcfw.com/pdf/H3_AP202607121826912231_1.pdf
2026年中国IC封装基板行业概览：算力时代下国产IC封装基板的高端化突围,头豹研究院,2026-07-08 00:00:00.000,元件,33,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=zvBpmt7iWF2+iLsmGuoe+BRzvW1fYpb1mBGr/dkI9E8=,https://pdf.dfcfw.com/pdf/H3_AP202607081826821159_1.pdf
电子行业2026年中期投资策略：AI商业化加速驱动算力景气上行，电子元件产业链迎黄金机遇期,东莞证券,2026-07-06 00:00:00.000,元件,26,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=jocpIJdi6Q/y/MTw/2H7SsUjX4TWolTbbWgnLhmyKWI=,https://pdf.dfcfw.com/pdf/H3_AP202607061826748066_1.pdf
2026年全球存储芯片行业洞察：从“配角”到“战略物资”，AI重塑存储价值链,头豹研究院,2026-07-03 00:00:00.000,元件,10,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=lfCg5GuIRBDoKH/4GRaxX+W3Ol0ZdjSpnW9pIxi5VE4=,https://pdf.dfcfw.com/pdf/H3_AP202607031826704297_1.pdf
TMT行业周报：美光业绩超预期、台积电全线涨价,大同证券,2026-06-30 00:00:00.000,元件,13,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=pbgGimF6GIUsJi/NFvqdc2ErGI3+w+5dzkBzxN0rV0E=,https://pdf.dfcfw.com/pdf/H3_AP202606301826607753_1.pdf
存储行业报告：AI推理需求重塑存储范式，国产存储迎产业升级期,国信证券,2026-06-24 00:00:00.000,元件,27,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=F+ZhHRiImQMLRMIdpezE4JLy9fC7sDPhmqbrzi+ZVPU=,https://pdf.dfcfw.com/pdf/H3_AP202606241823807954_1.pdf
电子行业点评报告：英伟达推出45℃全液冷方案，液冷产业链技术升级与价值量提升可期,金元证券,2026-06-24 00:00:00.000,元件,3,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=F+ZhHRiImQMLRMIdpezE4Am2+ta9eCKmiTEu2Zs9DQg=,https://pdf.dfcfw.com/pdf/H3_AP202606241823791932_1.pdf
新材料周报：建滔CCL年内五次提价，PCB材料供不应求,山西证券,2026-06-23 00:00:00.000,元件,23,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=eJi1KfnPSzsOqK/d1hQ6dAVMz+LY2gyq3OoBMGFRyR8=,https://pdf.dfcfw.com/pdf/H3_AP202606231823770178_1.pdf
2025年中国超声波指纹识别行业概览,头豹研究院,2026-06-22 00:00:00.000,元件,35,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=LEQv2ymTYUNBSRHOL1dcqrY5+rPKruLJFyxyzrOj800=,https://pdf.dfcfw.com/pdf/H3_AP202606221823744531_1.pdf
电子行业点评报告：国产算力周跟踪：国产大模型调用持续领先，智谱GLM-5.2完成多平台国产算力适配,东吴证券,2026-06-21 00:00:00.000,元件,3,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=svHcicKcG+Np1VgQVFF95iHWyQLsJB/QN9wnhJvSK7s=,https://pdf.dfcfw.com/pdf/H3_AP202606211823712737_1.pdf
电子行业专题：AI算力浪潮奔涌，上游电子元件及原材料有望迎量价共振新周期,华源证券,2026-06-21 00:00:00.000,元件,43,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=6gSGkZEZxUQrRdLzAL4ED+VeUgD5UlXG9zi/vw+L+30=,https://pdf.dfcfw.com/pdf/H3_AP202606201823699738_1.pdf
TMT行业周报：AI算力需求驱动PCB量价齐升，硬件景气度持续向好,大同证券,2026-06-17 00:00:00.000,元件,13,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=ObjnBE3LxTv7iqsqRKQSb7aOGvgZnCGSfSwMEPS0vhA=,https://pdf.dfcfw.com/pdf/H3_AP202606171823643440_1.pdf
电子行业跟踪周报：海外算力周跟踪：迎接技术变革的行情升浪—光之CPO、NPO、OCS,东吴证券,2026-06-15 00:00:00.000,元件,3,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=fT7MG3z99qslJnEoDmwZDGYGqXxNx5rg38FJjOWZ21M=,https://pdf.dfcfw.com/pdf/H3_AP202606151823554539_1.pdf
电子行业周报：MLCC需求扩大，国产化空间持续突破,上海证券,2026-06-12 00:00:00.000,元件,2,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=9wL7sdiwmb9ura8s29Rbpdn9FsueJhshfk+HCEqYaig=,https://pdf.dfcfw.com/pdf/H3_AP202606121823492182_1.pdf
电子行业点评报告：英伟达和SK海力士达成多年技术合作伙伴关系,金元证券,2026-06-10 00:00:00.000,元件,3,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=/Fnww1CLbs895+41ik+hEmUHEGsiDiHbq1sN7FUP6vw=,https://pdf.dfcfw.com/pdf/H3_AP202606101823413740_1.pdf
电子行业跟踪报告：SK海力士计划扩大晶圆产能，英伟达VeraRubin即将全面投产,万联证券,2026-06-08 00:00:00.000,元件,7,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=JbxiMuPmNPwklumuVKyO7b2IsbnOgCAkhymkocxem+4=,https://pdf.dfcfw.com/pdf/H3_AP202606081823352346_1.pdf
电子行业点评报告：端侧AI周跟踪：微软Project Solara亮相，B端智能体入口加速落地,东吴证券,2026-06-08 00:00:00.000,元件,2,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=JbxiMuPmNPwklumuVKyO7b5CwUmo/Ih0pVA8xzMEvtk=,https://pdf.dfcfw.com/pdf/H3_AP202606081823345334_1.pdf
全球存储芯片行业深度剖析：数字经济时代的核心引擎：技术、市场与格局的全面变革,北京研精毕智信息咨询,2026-06-05 00:00:00.000,元件,22,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=bjN0bUIX4t9LuI72oEtR361QU1xFz2jwMe0c7DyBxdk=,https://pdf.dfcfw.com/pdf/H3_AP202606051823271537_1.pdf
TMT行业周报：英伟达业绩高增长，国产存储替代加速,大同证券,2026-05-27 00:00:00.000,元件,13,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=8gUNtjW5jnuIsoF3A3XHB28Xpjdf7P4z+JEAH6LH/60=,https://pdf.dfcfw.com/pdf/H3_AP202605271822915686_1.pdf
电子行业双周报：英伟达业绩超预期，Anthropic预计Q2实现盈利,东莞证券,2026-05-25 00:00:00.000,元件,9,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=yAxnM+X7+cNkaz6/iJZO1NtSnnumsiWo5RwzKe1hg3E=,https://pdf.dfcfw.com/pdf/H3_AP202605251822854646_1.pdf
电子行业跟踪报告：英伟达业绩实现高增长，国产闪存龙头宣布IPO,万联证券,2026-05-25 00:00:00.000,元件,7,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=yAxnM+X7+cNkaz6/iJZO1EOde3oRx16+3mvrCKN7J+Q=,https://pdf.dfcfw.com/pdf/H3_AP202605251822849178_1.pdf
长鑫科技重启IPO：存储行业高景气度扭转公司财务状况，IPO重启有望开启扩产大周期,中银证券,2026-05-19 00:00:00.000,元件,3,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=fS81ufKxtfKLbNGXxwnqo6kDSeyYSZeE//XRTJluhws=,https://pdf.dfcfw.com/pdf/H3_AP202605191822434934_1.pdf
电子行业跟踪报告：存储景气周期有望持续，厂商业绩实现强劲增长,万联证券,2026-05-18 00:00:00.000,元件,7,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=tI3AI4wMjmLQAmSmXTMCq7nvGp0/NKzxPcPhXftGOc4=,https://pdf.dfcfw.com/pdf/H3_AP202605181822398212_1.pdf
端侧AI周跟踪：Gemini Intelligence定义安卓高端AI手机标准，端侧AI驱动旗舰机型硬件升级,东吴证券,2026-05-17 00:00:00.000,元件,2,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=XgmbWxKOL5RjfL09nBjxd1p6tS1AT2mXTrso9fdbVhc=,https://pdf.dfcfw.com/pdf/H3_AP202605171822382692_1.pdf
电子：光芯片景气度持续，cohr业绩超预期,太平洋,2026-05-14 00:00:00.000,元件,3,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=LBIS7bPRbuARj1Q2LOK57RgYN+zTANcr50TzLuqDvTc=,https://pdf.dfcfw.com/pdf/H3_AP202605141822307140_1.pdf
电子行业点评：AI驱动CPU需求提升，AMD业绩超预期,太平洋,2026-05-14 00:00:00.000,元件,3,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=LBIS7bPRbuARj1Q2LOK57as7oBTA5b0D4H89eGdn/r0=,https://pdf.dfcfw.com/pdf/H3_AP202605141822301054_1.pdf
电子行业专题报告：DeepSeek V4发布，国产算力乘风起航,爱建证券,2026-05-14 00:00:00.000,元件,15,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=LBIS7bPRbuARj1Q2LOK57TGq9U3z+QKeuLg1QeJA18Q=,https://pdf.dfcfw.com/pdf/H3_AP202605141822321825_1.pdf
TMT行业周报：AI产业链公司业绩亮眼，存储芯片景气向上,大同证券,2026-05-12 00:00:00.000,元件,13,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=EZKzOIyOfPXOY/mOkPf0GA+S8KitwWnBAfOCSncsALI=,https://pdf.dfcfw.com/pdf/H3_AP202605121822226090_1.pdf
PCB产业链2025年及26Q1业绩综述：下游需求旺盛，产业链业绩高增,东莞证券,2026-05-12 00:00:00.000,元件,17,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=EZKzOIyOfPXOY/mOkPf0GFFG7zZkXcyHb/s7p9m1PvA=,https://pdf.dfcfw.com/pdf/H3_AP202605121822216477_1.pdf
电子行业双周报：PCB产业链2025年及26Q1业绩高增,东莞证券,2026-05-11 00:00:00.000,元件,8,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=GxboAqS/kCL8rn2DaeAC6VR/1/ABD3UMAy13ks9glvk=,https://pdf.dfcfw.com/pdf/H3_AP202605111822159239_1.pdf
电子：AI光芯片景气度持续高企，LITE业绩超预期,太平洋,2026-05-09 00:00:00.000,元件,3,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=Bw9hOuC/hOi//FCbMeak1q3aez16U1aBsYEZb5/2dUA=,https://pdf.dfcfw.com/pdf/H3_AP202605091822102821_1.pdf
TMT行业周报：AI驱动算力及存储业绩高增,大同证券,2026-05-08 00:00:00.000,元件,13,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=Vzxb5dV9nZa96IsXVdMsLl6f25oQWEwG+C764+catIY=,https://pdf.dfcfw.com/pdf/H3_AP202605081822064305_1.pdf
电子行业跟踪周报：海外算力产业链一季报点评：AI驱动量价齐升，上游涨价景气有望贯穿全年,东吴证券,2026-05-05 00:00:00.000,元件,3,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=L1lRXMabK5Ss4XKsaKCfc+bQuteZKdUIXi2bYNMy3wQ=,https://pdf.dfcfw.com/pdf/H3_AP202605051821973732_1.pdf
存储Q1业绩点评：模组景气高企，利基存储开始发力,东吴证券,2026-05-05 00:00:00.000,元件,2,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=L1lRXMabK5Ss4XKsaKCfcy2XVcmhfcQ5uY9ZKV7IFvc=,https://pdf.dfcfw.com/pdf/H3_AP202605051821967825_1.pdf
电子行业研究：大规模AI集群带动CPO加速，看好产业链公司,国金证券,2026-04-28 00:00:00.000,元件,25,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=en3lKDpHApx5MExDYCEDEWcO6I2LSaXpXln/TvcH/aw=,https://pdf.dfcfw.com/pdf/H3_AP202604281821653325_1.pdf
电子行业双周报：关注AI PCB产业链,东莞证券,2026-04-27 00:00:00.000,元件,9,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=I0G8zgsN1iSKizHA2BNZ6AOYFkfJ5M6xmmOe7Lc7esg=,https://pdf.dfcfw.com/pdf/H3_AP202604271821612494_1.pdf
LCD行业月报：1Q26 TV面板大尺寸化延续，4月TV面板价格环比上涨,国信证券,2026-04-27 00:00:00.000,元件,20,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=I0G8zgsN1iSKizHA2BNZ6Db5rhW3pBKVq1S9ETYbvgo=,https://pdf.dfcfw.com/pdf/H3_AP202604271821617729_1.pdf
超节点：从芯片堆叠到系统优化,国新证券股份,2026-04-27 00:00:00.000,元件,8,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=bjN0bUIX4t9LuI72oEtR34qcTz21qdVsHwS/+goatdw=,https://pdf.dfcfw.com/pdf/H3_AP202606051823272368_1.pdf
电子行业点评报告：端侧AI周跟踪：端侧AI驱动硬件创新，看好产业链结构性机会,东吴证券,2026-04-26 00:00:00.000,元件,2,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=HOMdg2q4xafXz13pJxyBRP+evm+aKRVirG3TEjqEZ8E=,https://pdf.dfcfw.com/pdf/H3_AP202604261821587004_1.pdf
电子：DeepSeek V4系列发布-DeepSeek V4系列协同华为昇腾，重新定义高性能模型性价比时代,中银证券,2026-04-26 00:00:00.000,元件,3,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=HOMdg2q4xafXz13pJxyBRPCGybBjUipJ4MHzjmW9+Q4=,https://pdf.dfcfw.com/pdf/H3_AP202604261821586618_1.pdf
汽车零部件&机器人&缺电主线周报：特斯拉Optimus V3将于年中亮相，Meta启动全新数据中心建设,东吴证券,2026-04-26 00:00:00.000,元件,27,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=HOMdg2q4xafXz13pJxyBRBEPySbw7CppCHNVQCHpgXM=,https://pdf.dfcfw.com/pdf/H3_AP202604261821587054_1.pdf
电子行业点评报告：国产算力周跟踪：DeepSeek-V4有望打开国产算力增长新空间，Intel财报指引CPU产业链持续景气,东吴证券,2026-04-26 00:00:00.000,元件,3,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=HOMdg2q4xafXz13pJxyBRJmH9U8/pKksHET/nLTOHkc=,https://pdf.dfcfw.com/pdf/H3_AP202604261821593866_1.pdf
子行业跟踪周报：海外算力周跟踪：模型厂算力需求持续释放，台积电定调AI产业高景气,东吴证券,2026-04-19 00:00:00.000,元件,3,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=QVk5BeptH2ssWz00IL1T6/80YE6H0SETgzeJDsgAF2s=,https://pdf.dfcfw.com/pdf/H3_AP202604191821322198_1.pdf
端侧AI周跟踪：多模态能力持续深化，系统级任务执行加速落地,东吴证券,2026-04-19 00:00:00.000,元件,2,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=QVk5BeptH2ssWz00IL1T643tY2zMIkSyf4nPQ/vE8YM=,https://pdf.dfcfw.com/pdf/H3_AP202604191821322166_1.pdf
电子行业深度报告：超节点系列报告二：海光&曙光系超节点，HSL+IB构建最全互连体系,东吴证券,2026-04-14 00:00:00.000,元件,11,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=EzU8XTqoRN+AnFT9tIpYVzpPGdo5VmtdRLv5mjI7lVs=,https://pdf.dfcfw.com/pdf/H3_AP202604141821177994_1.pdf
电子行业周报：DeepSeek V4全面适配昇腾950PR芯片，苹果折叠屏有望带动产业链增长,上海证券,2026-04-14 00:00:00.000,元件,2,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=EzU8XTqoRN+AnFT9tIpYVwl7BdJVdyAnxat/OTdrztM=,https://pdf.dfcfw.com/pdf/H3_AP202604141821168035_1.pdf
电子行业跟踪报告：AI旺盛需求拉动下，二季度存储合约价有望持续上涨,万联证券,2026-04-13 00:00:00.000,元件,7,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=lEJ4tvrLL4iYJKcaLiC2v+GqnKHXHvMTzLoFJGdLRSk=,https://pdf.dfcfw.com/pdf/H3_AP202604131821147441_1.pdf
电子行业点评报告：国产算力周跟踪：Tokens调用持续领跑，国产超节点产业链有望深度受益,东吴证券,2026-04-12 00:00:00.000,元件,3,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=hvIn6qGBufD43eFVKwMMVGVDswqljOTCAiAupt3ZRO8=,https://pdf.dfcfw.com/pdf/H3_AP202604111821136434_1.pdf
