研报名称,机构名称,发布时间,行业,页数,网页链接,PDF直链
电力设备行业：近期风电招中标情况更新,国新证券股份,2026-07-19 00:00:00.000,其他电源设备Ⅱ,4,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=cOlZTbIrp5BJC7tWozaXBHFVKTQvskG3F+RjNVAAM4c=,https://pdf.dfcfw.com/pdf/H3_AP202607191827100963_1.pdf
电力设备行业：近期风电招中标情况更新,国新证券股份,2026-07-19 00:00:00.000,其他电源设备Ⅱ,4,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=cOlZTbIrp5BJC7tWozaXBPYHhqao0aWj/Dn9QTc32jQ=,https://pdf.dfcfw.com/pdf/H3_AP202607191827100896_1.pdf
电力设备与新能源行业2026年中期投资策略：能源安全+算电协同，筑牢行业发展基石,东海证券,2026-07-15 00:00:00.000,其他电源设备Ⅱ,38,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=M/CSFlRTQdMo1SFC0EFZS51Ok8ksqS2CVTbLXM6Dygs=,https://pdf.dfcfw.com/pdf/H3_AP202607151826975497_1.pdf
AIDC&电网&人形机器人&工控2026年半年度策略报告：AI时代浪潮势不可挡，AI基建+具身智能+资本开支侧三端受益,东吴证券,2026-07-13 00:00:00.000,其他电源设备Ⅱ,74,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=JcOg0ZZaus+iKTIiCp+KLSPWnpNv7j/7uvX5iRmzA2o=,https://pdf.dfcfw.com/pdf/H3_AP202607131826931339_1.pdf
电力设备与新能源行业研究：锂储工控高景气，风电招标现拐点，光伏强标促出清,国金证券,2026-07-06 00:00:00.000,其他电源设备Ⅱ,13,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=jocpIJdi6Q/y/MTw/2H7SrCnhaZ21aSyfa3jSEwyQsM=,https://pdf.dfcfw.com/pdf/H3_AP202607061826734925_1.pdf
SOFC专题：北美AI电力瓶颈下的快速现场电源，产业进入加速期,国信证券,2026-07-02 00:00:00.000,其他电源设备Ⅱ,16,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=e8uG6eiIVZW0nwiqzAxJqpavdRjmkeKbMM0PRzUZolw=,https://pdf.dfcfw.com/pdf/H3_AP202607021826648771_1.pdf
中国户外电源企业加速出海，户外与应急场景双轮驱动市场增长（上篇）,头豹研究院,2026-06-30 00:00:00.000,其他电源设备Ⅱ,15,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=pbgGimF6GIUsJi/NFvqdcz/HI4ZAALhfmJ61abs1RaI=,https://pdf.dfcfw.com/pdf/H3_AP202606301826602223_1.pdf
电力设备行业《新型能源体系建设“十五五”规划》点评报告：推动新能源集成融合发展，构建适配高比例新能源的新型电力系统,诚通证券,2026-06-30 00:00:00.000,其他电源设备Ⅱ,4,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=pbgGimF6GIUsJi/NFvqdc0EDfe2OrhdQK2H1v6YLR9c=,https://pdf.dfcfw.com/pdf/H3_AP202606301826606302_1.pdf
AIDC系列行业深度（一）：AIDC建设景气度持续提升，供配电变革到来,太平洋,2026-06-29 00:00:00.000,其他电源设备Ⅱ,28,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=sNXHRqYfuq/YK3RNBqVl9LRA6j/FnuAvi9wX5BoTYps=,https://pdf.dfcfw.com/pdf/H3_AP202606291826551078_1.pdf
电气设备行业深度：全球核电复苏，再迎景气周期,五矿证券,2026-06-29 00:00:00.000,其他电源设备Ⅱ,18,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=sNXHRqYfuq/YK3RNBqVl9PhsF/jjgBKy1zG7qoij5J0=,https://pdf.dfcfw.com/pdf/H3_AP202606291826532755_1.pdf
电力设备与新能源行业研究：波动中坚守AIDC核心标的，十五五能源规划夯实能源转型基调,国金证券,2026-06-29 00:00:00.000,其他电源设备Ⅱ,13,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=sNXHRqYfuq/YK3RNBqVl9Jx333G12IMLkh1UoGOHPes=,https://pdf.dfcfw.com/pdf/H3_AP202606291826522067_1.pdf
风电板块2026年中期策略：看好下半年业绩、订单、招标三维共振,国金证券,2026-06-28 00:00:00.000,其他电源设备Ⅱ,25,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=w/NB8TOq3B38ISJrYF46i5CThyBKcugwmsz/sXxIpHQ=,https://pdf.dfcfw.com/pdf/H3_AP202606281826512993_1.pdf
电力设备行业研究周报：降碳需求有望加速打开储能新市场,申港证券,2026-06-24 00:00:00.000,其他电源设备Ⅱ,8,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=F+ZhHRiImQMLRMIdpezE4PjWpMe0gd0QJqGkUaAEDiY=,https://pdf.dfcfw.com/pdf/H3_AP202606241823797665_1.pdf
电力设备行业周报：PJM快速并网机制落地，北美电网投资进入加速兑现阶段,华鑫证券,2026-06-22 00:00:00.000,其他电源设备Ⅱ,20,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=LEQv2ymTYUNBSRHOL1dcqmp6x12UsMYPBKX8EggmMfs=,https://pdf.dfcfw.com/pdf/H3_AP202606221823746429_1.pdf
【新能源】新能源+AI展望（第8期）：AI驱动能源发展重构,太平洋,2026-06-21 00:00:00.000,其他电源设备Ⅱ,4,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=svHcicKcG+Np1VgQVFF95vcjqT8cT0YuBBX+vs5Hvyw=,https://pdf.dfcfw.com/pdf/H3_AP202606211823707491_1.pdf
电力设备：开展7大行业节能降碳改造3年行动，节能设备厂商有望受益,中邮证券,2026-06-17 00:00:00.000,其他电源设备Ⅱ,3,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=ObjnBE3LxTv7iqsqRKQSb73tCfxVgaULBWWsx0n5+Bo=,https://pdf.dfcfw.com/pdf/H3_AP202606171823630543_1.pdf
电力设备行业周报：出海变压器景气延续，固态变压器开启AIDC供电新技术周期,华鑫证券,2026-06-16 00:00:00.000,其他电源设备Ⅱ,19,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=DFBMkX5WIiTdr8VSVb2JHzjhaFGJccVQbka07nzt9yk=,https://pdf.dfcfw.com/pdf/H3_AP202606161823589946_1.pdf
AIDC行业中期策略：算力重塑电力边界，电源、液冷与现场能源共振升级,国金证券,2026-06-14 00:00:00.000,其他电源设备Ⅱ,86,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=258OWqm3aDwZNw1gsD2XXGd2JIemH51+GB/MXa3DV8o=,https://pdf.dfcfw.com/pdf/H3_AP202606141823549279_1.pdf
锂电板块2026年中期策略：旺季行情在望，创新接力迭代,国金证券,2026-06-11 00:00:00.000,其他电源设备Ⅱ,74,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=I10xowZ3FwwJIx4ad/6rbMA5wHmYL/LieJYWVTmmeQY=,https://pdf.dfcfw.com/pdf/H3_AP202606111823450631_1.pdf
电网板块2026中期策略：聚焦设备出海主线，关注国内边际修复,国金证券,2026-06-09 00:00:00.000,其他电源设备Ⅱ,33,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=Ro1ytKVz64H4i+sSK7qcQbJMDQmLgmRb3tOFNy30POM=,https://pdf.dfcfw.com/pdf/H3_AP202606091823386410_1.pdf
全球多用途储能系统解决方案行业报告,灼识投资咨询(上海),2026-06-08 00:00:00.000,其他电源设备Ⅱ,10,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=JbxiMuPmNPwklumuVKyO7eL2n50bzT8JiOkgkfh8znM=,https://pdf.dfcfw.com/pdf/H3_AP202606081823358495_1.pdf
全球储能系统解决方案行业报告,灼识投资咨询(上海),2026-06-08 00:00:00.000,其他电源设备Ⅱ,14,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=JbxiMuPmNPwklumuVKyO7ZfAkKKZXLorz8eohsWteng=,https://pdf.dfcfw.com/pdf/H3_AP202606081823358458_1.pdf
AIDC电源系列02：SOFC主电源逻辑明朗，产业加速步入上行期,东吴证券,2026-06-06 00:00:00.000,其他电源设备Ⅱ,40,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=e3SPjoN1HbRVZNbLdP/NDdnhg/3HHLuFWsT1LJj2D70=,https://pdf.dfcfw.com/pdf/H3_AP202606061823322397_1.pdf
海外核电行业点评：铀价重启上涨，核电产业链迎来三重催化,华源证券,2026-06-06 00:00:00.000,其他电源设备Ⅱ,2,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=e3SPjoN1HbRVZNbLdP/NDasvoVnplilgO2X45exGGNY=,https://pdf.dfcfw.com/pdf/H3_AP202606061823329510_1.pdf
近期风电行业招中标情况更新,国新证券股份,2026-06-05 00:00:00.000,其他电源设备Ⅱ,4,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=bjN0bUIX4t9LuI72oEtR37PneHzMMaVBRPL1yYenMpA=,https://pdf.dfcfw.com/pdf/H3_AP202606051823271601_1.pdf
2026年中国新型储能行业深度分析报告,深圳市中投顾问,2026-06-04 00:00:00.000,其他电源设备Ⅱ,41,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=sPUp5kN8m7+/x4wzHCDsc7ETZAeRMHRQiSNmffHbesA=,https://pdf.dfcfw.com/pdf/H3_AP202606041823230049_1.pdf
电力设备行业研究周报：新型电网建设提速，电网设备景气主线延续,申港证券,2026-06-03 00:00:00.000,其他电源设备Ⅱ,9,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=vLVBb9crEuL+SI65XlPRKzKLNhZec8uNtjMQ78bJnBQ=,https://pdf.dfcfw.com/pdf/H3_AP202606031823207479_1.pdf
电力设备行业跟踪报告：风电行业景气回升，26Q1业绩持续修复,万联证券,2026-06-02 00:00:00.000,其他电源设备Ⅱ,11,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=J8egfRaQldcxrS+vK5NVDjHDKmlBV4OeLnnZLulzMSA=,https://pdf.dfcfw.com/pdf/H3_AP202606021823149350_1.pdf
电力设备行业周报：800VDC加速迈向产业化，数据中心电力架构迎来历史性重构,华鑫证券,2026-06-01 00:00:00.000,其他电源设备Ⅱ,19,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=34IjOVFT7SMXhv7RV89/dcREV4lR8usLP5EHD0EJrK4=,https://pdf.dfcfw.com/pdf/H3_AP202606011823122756_1.pdf
