研报名称,机构名称,发布时间,行业,页数,网页链接,PDF直链
农林牧渔行业周报：猪价阶段性见底，6月产能出清加速,中邮证券,2026-07-14 00:00:00.000,养殖业,12,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=THoCdW11jQl5iiz7Fcrwt6edgkXVPxTzHj9OymTSdMQ=,https://pdf.dfcfw.com/pdf/H3_AP202607141826967805_1.pdf
农林牧渔行业周报：第三方机构产能加速去化，生猪行业或已临近周期拐点,华源证券,2026-07-14 00:00:00.000,养殖业,20,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=THoCdW11jQl5iiz7Fcrwt069OQcmZ7cI0jgOArfdmzI=,https://pdf.dfcfw.com/pdf/H3_AP202607141826951104_1.pdf
农业行业周报：猪价短期反弹，持续关注产能去化,山西证券,2026-07-14 00:00:00.000,养殖业,20,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=THoCdW11jQl5iiz7FcrwtwVsNgWOfenCqh0hTh1BCYY=,https://pdf.dfcfw.com/pdf/H3_AP202607141826961970_1.pdf
农产品研究跟踪系列报告（213）：猪企2026H1业绩预计明显承压，牧业预计2026H1盈利拐点显现,国信证券,2026-07-13 00:00:00.000,养殖业,27,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=JcOg0ZZaus+iKTIiCp+KLTi7EXpZaw88WXsdYw/oDuw=,https://pdf.dfcfw.com/pdf/H3_AP202607131826930772_1.pdf
农林牧渔2026年7月投资策略：看好肉牛与原奶周期共振反转，超强厄尔尼诺概率进一步提升,国信证券,2026-07-13 00:00:00.000,养殖业,25,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=JcOg0ZZaus+iKTIiCp+KLZrtRb9urZqTEzoMHQHcZNg=,https://pdf.dfcfw.com/pdf/H3_AP202607131826919975_1.pdf
农林牧渔行业周报：极端天气扰动生产，重视养殖板块投资机会,国金证券,2026-07-12 00:00:00.000,养殖业,13,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=4setjouJ214gX8Re7X69plYsCbVi/K7pLH5xkt8CvDc=,https://pdf.dfcfw.com/pdf/H3_AP202607121826912757_1.pdf
农产品研究跟踪系列报告（212）：生猪政策调控稳步推进，看好肉牛与原奶周期共振反转,国信证券,2026-07-12 00:00:00.000,养殖业,26,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=4setjouJ214gX8Re7X69pgLWtt1FEGzN+Iyjt7MtGoI=,https://pdf.dfcfw.com/pdf/H3_AP202607121826911477_1.pdf
农林牧渔行业周报：供给节奏收缩驱动猪价上行，二育回补与能繁去化同步演绎,开源证券,2026-07-12 00:00:00.000,养殖业,14,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=4setjouJ214gX8Re7X69pmj1c+FNgmzlL5Rg56E1yxA=,https://pdf.dfcfw.com/pdf/H3_AP202607121826911385_1.pdf
农林牧渔行业2026年中期投资策略：产能加速去化，周期拐点渐近,东海证券,2026-07-07 00:00:00.000,养殖业,27,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=h8pjiSxToq3UPqquKvFq3ppRqdGtSaH9OrfOuGOE5E8=,https://pdf.dfcfw.com/pdf/H3_AP202607071826774992_1.pdf
农林牧渔：多重因素推动预期，关注生猪板块,中航证券,2026-07-07 00:00:00.000,养殖业,13,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=h8pjiSxToq3UPqquKvFq3mem3yv7TTqE10lxqrWwQHw=,https://pdf.dfcfw.com/pdf/H3_AP202607071826766440_1.pdf
