研报名称,机构名称,发布时间,行业,网页链接,PDF直链
农业行业周报：节后猪价回落，关注后续产能去化,山西证券,2026-06-29 00:00:00.000,农业综合Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=sNXHRqYfuq/YK3RNBqVl9F6meutPvB0NeIuFACixCMY=,https://pdf.dfcfw.com/pdf/H3_AP202606291826529700_1.pdf
农林牧渔行业深度报告：养一头猪要花多少钱——生猪养殖完全成本拆解与未来预测,华鑫证券,2026-06-28 00:00:00.000,农业综合Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=w/NB8TOq3B38ISJrYF46i8BEWfgJ4xuKl6gsHItVq+U=,https://pdf.dfcfw.com/pdf/H3_AP202606281826515043_1.pdf
农业：帮助小农户的解决方案(英译中),全球农业和粮食安全计划,2026-06-23 00:00:00.000,农业综合Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=LEQv2ymTYUNBSRHOL1dcqua7bBnN4dmLRmyncz1I8do=,https://pdf.dfcfw.com/pdf/H3_AP202606221823746083_1.pdf
农林牧渔：宠物618战报出炉，多元品类快速增长,中航证券,2026-06-22 00:00:00.000,农业综合Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=LEQv2ymTYUNBSRHOL1dcqjMt7zTI9airP0cuI9p0DcU=,https://pdf.dfcfw.com/pdf/H3_AP202606221823720532_1.pdf
菜价行情周报2026年第22期,云南唯恒基业科技,2026-06-09 00:00:00.000,农业综合Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=Ro1ytKVz64H4i+sSK7qcQQbFWLMX39VST1YRTRWTPEo=,https://pdf.dfcfw.com/pdf/H3_AP202606091823389168_1.pdf
菜价行情周报2026年第18期,合肥农小蜂数字科技,2026-05-14 00:00:00.000,农业综合Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=LBIS7bPRbuARj1Q2LOK57U01yPQ+dhmT4uj7PA0jrUo=,https://pdf.dfcfw.com/pdf/H3_AP202605141822320103_1.pdf
中国香蕉市场监测报告（2026年03月）,合肥农小蜂数字科技,2026-04-19 00:00:00.000,农业综合Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=QVk5BeptH2ssWz00IL1T6w+6+n4qYKAqnM+Vz10I0Hc=,https://pdf.dfcfw.com/pdf/H3_AP202604191821319667_1.pdf
农林牧渔行业专题报告：【南非口蹄疫病黑天鹅+低肥猪价低仔猪价持续+豆粕玉米价格上涨】，2026危即机,华鑫证券,2026-04-15 00:00:00.000,农业综合Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=yf320Ezqkk1hPscoJhu0uig5IovS9rOW5/ySRjMNHjg=,https://pdf.dfcfw.com/pdf/H3_AP202604151821221062_1.pdf
全国玉米价格行情监测周报2026年第13周,云南唯恒基业科技,2026-04-10 00:00:00.000,农业综合Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=cR/s6uWt5jZZd4n+QAEFBjKManwIiuijmwSFdsjUwJw=,https://pdf.dfcfw.com/pdf/H3_AP202604101821108134_1.pdf
全国农产品批发市场价格行情监测周报（2026年第13周）,合肥农小蜂数字科技,2026-04-10 00:00:00.000,农业综合Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=cR/s6uWt5jZZd4n+QAEFBl2rkv8tWRXdJgHA00nNeK4=,https://pdf.dfcfw.com/pdf/H3_AP202604101821108133_1.pdf
