研报名称,机构名称,发布时间,行业,页数,网页链接,PDF直链
农化行业：2026年6月月度观察：钾肥进口增加，硫磺降价磷肥降本，草甘膦出口面临贸易摩擦,国信证券,2026-07-12 00:00:00.000,农化制品,27,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=4setjouJ214gX8Re7X69plSd6SaRpj52rbvbirb1iV0=,https://pdf.dfcfw.com/pdf/H3_AP202607121826910100_1.pdf
基础化工行业专题报告：硫价上涨过程中，中国化工行业面临的挑战和机遇-“硫”荒已至，路在何方,华源证券,2026-06-25 00:00:00.000,农化制品,18,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=RWyjWuYit9o0p2O5Ru2r6KWG5Q1Ni9vWdVu5Vo7n8kQ=,https://pdf.dfcfw.com/pdf/H3_AP202606251823846568_1.pdf
农药行业系列报告（二）：农药周期与农药股定价逻辑,东海证券,2026-05-26 00:00:00.000,农化制品,22,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=ezwMyDfKd2WUFgzUwL6wAbHp2rqD8K4VcwLGus4xU9g=,https://pdf.dfcfw.com/pdf/H3_AP202605261822869465_1.pdf
农药行业系列报告（一）：从战略变化到财务画像，我国农药企业的发展启示与投资聚焦,东海证券,2026-03-31 00:00:00.000,农化制品,19,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=yox7xzf0O9dtTdxl8tZuT25d6aQe8t7KRESyOSv1pp8=,https://pdf.dfcfw.com/pdf/H3_AP202603311820910696_1.pdf
农药行业快评：草铵膦等农药出口退税取消，落后产能有望加速出清,国信证券,2026-01-14 00:00:00.000,农化制品,6,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=IlKKv3KaMlIRvoUT7rsNWZLwuqaFWEaYC7xKyVUmnbc=,https://pdf.dfcfw.com/pdf/H3_AP202601141817006694_1.pdf
复合肥行业深度报告：行业供需向好，看好龙头企业量利修复、分红提升,开源证券,2025-12-30 00:00:00.000,农化制品,33,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=4leCkw1nxCVGqyBiUESiZYjnMTGXDpZPBtq+GNBy35k=,https://pdf.dfcfw.com/pdf/H3_AP202512301811150016_1.pdf
农化行业：2025年8月月度观察：国际钾肥价格上行，磷肥出口量价齐升，草甘膦持续涨价,国信证券,2025-09-09 00:00:00.000,农化制品,29,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=jOpZ8q3SeihB01PVClRo1nIfNN6a6UxuxA1gboTEzkY=,https://pdf.dfcfw.com/pdf/H3_AP202509091740738469_1.pdf
化肥行业跟踪报告：供给有序、需求刚性，看好化肥景气回暖,西南证券,2025-06-13 00:00:00.000,农化制品,27,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=vXEI6ihL93Z/w1O+yIBaoJ75YvgBHGzKj5r/R9vPWmk=,https://pdf.dfcfw.com/pdf/H3_AP202506131690077854_1.pdf
钾肥行业点评：白俄罗斯、俄罗斯钾肥相继减产，全球钾肥有望景气复苏,国信证券,2025-02-24 00:00:00.000,农化制品,5,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=p+RkahopWoAMlp0CMR1aKoHKDmCc/39f68Hv2uefka4=,https://pdf.dfcfw.com/pdf/H3_AP202502241643426308_1.pdf
中国缓控释肥（缓-控释肥）行业市场规模测算逻辑模型 头豹词条报告系列,头豹研究院,2024-11-28 00:00:00.000,农化制品,18,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=qj8YTkO72w9t0Bs7t9FglLHUlRgeOGeLq6LrI+3OyWQ=,https://pdf.dfcfw.com/pdf/H3_AP202411281641108754_1.pdf
基础化工行业深度报告：磷矿资源投放收紧助力价格中枢抬升，磷化工产品格局有望持续优化,开源证券,2024-05-15 00:00:00.000,农化制品,38,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=DfMYJ3E+7NUNbxBvspfgess1C9gJbLuS9S0PLFiuBk8=,https://pdf.dfcfw.com/pdf/H3_AP202405141633084224_1.pdf
磷肥及磷化工：《推进磷资源高效高值利用实施方案》出台，助推磷化工行业高质量发展,华金证券,2024-01-10 00:00:00.000,农化制品,4,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=sSNaP/+Koysg8I2DTZxi/+3l9U+22qmwwfjh/yN4SXg=,https://pdf.dfcfw.com/pdf/H3_AP202401091616912148_1.pdf
