研报名称,机构名称,发布时间,行业,页数,网页链接,PDF直链
基础化工行业周报：本周磷酸、MTBE、丁二烯、新加坡燃油价格涨幅居前,中邮证券,2026-07-21 00:00:00.000,化学制品,38,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=ZKa/54az+XeMHjmCHDK1LFbV1m9cKTD7sd9r+qS7qFk=,https://pdf.dfcfw.com/pdf/H3_AP202607211827215416_1.pdf
基础化工行业周报：（磷酸）五氧化二磷85%、丁二烯等涨幅居前，建议关注进口替代、纯内需、高股息等方向,华鑫证券,2026-07-21 00:00:00.000,化学制品,34,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=ZKa/54az+XeMHjmCHDK1LLpvYPRJnO+kzofkZi97ogE=,https://pdf.dfcfw.com/pdf/H3_AP202607211827179978_1.pdf
化工行业周报：国际原油、环氧丙烷、丙烯酸价格上涨,中银证券,2026-07-21 00:00:00.000,化学制品,12,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=ZKa/54az+XeMHjmCHDK1LNQqqLhIaA8hC9ZSyydej7A=,https://pdf.dfcfw.com/pdf/H3_AP202607211827211397_1.pdf
基础化工行业深度报告：化纤景气托底、染料乘风而上,开源证券,2026-07-20 00:00:00.000,化学制品,20,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=4PqOz2Xj2NJxO5S/+q3G3TlETFHB20I/QqNHZYVylZc=,https://pdf.dfcfw.com/pdf/H3_AP202607201827141519_1.pdf
基础化工行业周报：长丝产销放量、库存去化，下游订单与开机边际改善,开源证券,2026-07-20 00:00:00.000,化学制品,30,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=4PqOz2Xj2NJxO5S/+q3G3aEdGdOtx3cc926WpNlcfBE=,https://pdf.dfcfw.com/pdf/H3_AP202607201827134015_1.pdf
氟化工行业周报：制冷剂Q3长协超预期，压力已过，下半年量价或将修复,开源证券,2026-07-19 00:00:00.000,化学制品,28,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=cOlZTbIrp5BJC7tWozaXBA3EDG/fMgeXpdWQbwHOLTQ=,https://pdf.dfcfw.com/pdf/H3_AP202607191827114413_1.pdf
化工行业周报：国际油价上涨，维生素、尿素价格下跌,中银证券,2026-07-13 00:00:00.000,化学制品,12,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=JcOg0ZZaus+iKTIiCp+KLRJ4EW/Bokzrv0uWKZdTaDQ=,https://pdf.dfcfw.com/pdf/H3_AP202607131826935384_1.pdf
化工行业研究：苯胺、丙酮等涨幅居前，建议关注氦气、生物柴油、农化等方向,华鑫证券,2026-07-13 00:00:00.000,化学制品,33,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=JcOg0ZZaus+iKTIiCp+KLcazd3zKrEFV4yz/tWLOezA=,https://pdf.dfcfw.com/pdf/H3_AP202607131826932618_1.pdf
大化工周报：涤纶长丝企业库存下降，产销增加,东吴证券,2026-07-12 00:00:00.000,化学制品,44,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=4setjouJ214gX8Re7X69plBFeU1wEZ3zFnrwRsk1L5Q=,https://pdf.dfcfw.com/pdf/H3_AP202607121826910855_1.pdf
化工行业周报：看好磷化工估值提升，本周甲酸、碳酸锂、丙烷、新加坡柴油、新加坡石脑油涨幅居前,中邮证券,2026-07-08 00:00:00.000,化学制品,38,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=zvBpmt7iWF2+iLsmGuoe+MZho9MrzsiEx1W5jvzSFmM=,https://pdf.dfcfw.com/pdf/H3_AP202607081826824152_1.pdf
基础化工行业2026年中期投资策略：涨价重估，成长加速,东海证券,2026-07-08 00:00:00.000,化学制品,60,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=zvBpmt7iWF2+iLsmGuoe+MavONDdpKnYPJFFgU6j3N4=,https://pdf.dfcfw.com/pdf/H3_AP202607081826789286_1.pdf
