研报名称,机构名称,发布时间,行业,页数,网页链接,PDF直链
基础化工行业深度：周期行业ETF策略手册-判断行业发展趋势选ETF,金融街证券,2026-07-09 00:00:00.000,化学原料,17,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=LZ0shobpeEbFaV0MmHKb1Xu/EaeRofz1OP9WhUdUACY=,https://pdf.dfcfw.com/pdf/H3_AP202607091826850270_1.pdf
厄尔尼诺持续升级 看好制冷剂行业高景气,第一创业,2026-07-09 00:00:00.000,化学原料,8,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=LZ0shobpeEbFaV0MmHKb1cYJJ/up1aR1m76uRaodsLw=,https://pdf.dfcfw.com/pdf/H3_AP202607091826846386_1.pdf
氟化工行业：2026年6月月度观察：制冷剂长协价格持续上行，含氟半导体材料需求快速增长,国信证券,2026-07-08 00:00:00.000,化学原料,22,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=zvBpmt7iWF2+iLsmGuoe+HnPo3NfPvlX6Zgwp1hQMAo=,https://pdf.dfcfw.com/pdf/H3_AP202607081826808822_1.pdf
全球高吸水性树脂（SAP）：市场深度分析与未来展望,武汉问渠汇知信息科技,2026-07-08 00:00:00.000,化学原料,25,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=zvBpmt7iWF2+iLsmGuoe+PDbGzLhyC3Wyhy6sDZA+oI=,https://pdf.dfcfw.com/pdf/H3_AP202607081826790360_1.pdf
氟化工行业周报：制冷剂Q3长协涨幅或有所扩大，6月调价频繁，下半年行情蠢蠢欲动,开源证券,2026-07-06 00:00:00.000,化学原料,27,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=jocpIJdi6Q/y/MTw/2H7Slt3UcfI4lJXubJ5iT45MEQ=,https://pdf.dfcfw.com/pdf/H3_AP202607061826735060_1.pdf
基础化工行业点评报告：高纯磷及磷系半导体材料助力磷化工估值提升,开源证券,2026-06-28 00:00:00.000,化学原料,4,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=w/NB8TOq3B38ISJrYF46i6dvKS2d1jXDYdbjgW9eZRY=,https://pdf.dfcfw.com/pdf/H3_AP202606281826514631_1.pdf
天然氢赋存状态、经济可行性、发展前景及对地下储藏的启示,中国化工学会烃资源评价加工与利用专委会,2026-06-16 00:00:00.000,化学原料,40,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=DFBMkX5WIiTdr8VSVb2JH3A/80Qz82WBdbtWbBrnNvs=,https://pdf.dfcfw.com/pdf/H3_AP202606161823609659_1.pdf
硫酸行业：霍尔木兹海峡持续封锁 硫磺产业链高景气,第一创业,2026-06-10 00:00:00.000,化学原料,7,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=/Fnww1CLbs895+41ik+hEoPzC51GyzVzYg/mgABwzBg=,https://pdf.dfcfw.com/pdf/H3_AP202606101823416474_1.pdf
氟化工行业周报：2027制冷剂配额政策征求意见稿下发；高GWP制冷剂报价上调；巨化股份超纯P,开源证券,2026-06-08 00:00:00.000,化学原料,28,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=1dS8OwFW4WA9Nyk/1R5SOyFwuqTZk1JzC/SpRk2XU0E=,https://pdf.dfcfw.com/pdf/H3_AP202606071823343484_1.pdf
原油周报：美国原油总库存下降，关注美伊谈判进程与原油夏季需求变化,东吴证券,2026-06-07 00:00:00.000,化学原料,46,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=1dS8OwFW4WA9Nyk/1R5SO9pzjlslaC2o1XooLRCgrNI=,https://pdf.dfcfw.com/pdf/H3_AP202606071823339820_1.pdf
氟化工行业：2026年5月月度观察：制冷剂价格持续上行，PTFE有望应用在M10材料,国信证券,2026-06-03 00:00:00.000,化学原料,21,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=vLVBb9crEuL+SI65XlPRKxjCfWWZrok8yszs8wl2kEM=,https://pdf.dfcfw.com/pdf/H3_AP202606031823199564_1.pdf
化学工业的再创新必要性,埃森哲,2026-06-02 00:00:00.000,化学原料,14,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=J8egfRaQldcxrS+vK5NVDtKmL8Og1FmS9UoHCcCBCdI=,https://pdf.dfcfw.com/pdf/H3_AP202606021823157434_1.pdf
大化工周报：国内外蛋氨酸厂家接连挺价,东吴证券,2026-05-24 00:00:00.000,化学原料,43,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=190xdmTYsHjMb0DC+/627FUJkHew4gzaphYXX1lVvmE=,https://pdf.dfcfw.com/pdf/H3_AP202605241822839931_1.pdf
高纯四氯化硅行业点评：光纤、半导体需求高速增长，高纯四氯化硅迎来量价齐升,国信证券,2026-05-24 00:00:00.000,化学原料,7,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=190xdmTYsHjMb0DC+/627KuhMS8BvwQuHnUoqcDoXjU=,https://pdf.dfcfw.com/pdf/H3_AP202605241822837927_1.pdf
大化工周报：涤纶长丝价格回落，产销回暖,东吴证券,2026-05-17 00:00:00.000,化学原料,43,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=XgmbWxKOL5RjfL09nBjxd5I5HuR/T1cHfxddotK0k3I=,https://pdf.dfcfw.com/pdf/H3_AP202605171822383688_1.pdf
