研报名称,机构名称,发布时间,行业,研报地址
基础化工行业专题报告：硫价上涨过程中，中国化工行业面临的挑战和机遇-“硫”荒已至，路在何方,华源证券,2026-06-25 00:00:00.000,农化制品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=RWyjWuYit9o0p2O5Ru2r6KWG5Q1Ni9vWdVu5Vo7n8kQ=
农药行业系列报告（二）：农药周期与农药股定价逻辑,东海证券,2026-05-26 00:00:00.000,农化制品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=ezwMyDfKd2WUFgzUwL6wAbHp2rqD8K4VcwLGus4xU9g=
农药行业系列报告（一）：从战略变化到财务画像，我国农药企业的发展启示与投资聚焦,东海证券,2026-03-31 00:00:00.000,农化制品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=yox7xzf0O9dtTdxl8tZuT25d6aQe8t7KRESyOSv1pp8=
基础化工行业策略：中央一号文件落地，农药化肥关注度有望逐步提升,太平洋,2026-02-09,化肥行业,https://pdf.dfcfw.com/pdf/H3_AP202602091819837433_1.pdf?1770660562000.pdf
农药行业快评：草铵膦等农药出口退税取消，落后产能有望加速出清,国信证券,2026-01-14 00:00:00.000,农化制品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=IlKKv3KaMlIRvoUT7rsNWZLwuqaFWEaYC7xKyVUmnbc=
农药行业快评：草铵膦等农药出口退税取消，落后产能有望加速出清,国信证券,2026-01-14,化肥行业,https://pdf.dfcfw.com/pdf/H3_AP202601141817006694_1.pdf?1768391142000.pdf
复合肥行业深度报告：行业供需向好，看好龙头企业量利修复、分红提升,开源证券,2025-12-30 00:00:00.000,农化制品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=4leCkw1nxCVGqyBiUESiZYjnMTGXDpZPBtq+GNBy35k=
农化行业：2025年8月月度观察：国际钾肥价格上行，磷肥出口量价齐升，草甘膦持续涨价,国信证券,2025-09-09 00:00:00.000,农化制品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=jOpZ8q3SeihB01PVClRo1nIfNN6a6UxuxA1gboTEzkY=
化肥行业跟踪报告：供给有序、需求刚性，看好化肥景气回暖,西南证券,2025-06-13 00:00:00.000,农化制品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=vXEI6ihL93Z/w1O+yIBaoJ75YvgBHGzKj5r/R9vPWmk=
钾肥行业点评：白俄罗斯、俄罗斯钾肥相继减产，全球钾肥有望景气复苏,国信证券,2025-02-24 00:00:00.000,农化制品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=p+RkahopWoAMlp0CMR1aKoHKDmCc/39f68Hv2uefka4=
中国缓控释肥（缓-控释肥）行业市场规模测算逻辑模型 头豹词条报告系列,头豹研究院,2024-11-28 00:00:00.000,农化制品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=qj8YTkO72w9t0Bs7t9FglLHUlRgeOGeLq6LrI+3OyWQ=
基础化工行业深度报告：磷矿资源投放收紧助力价格中枢抬升，磷化工产品格局有望持续优化,开源证券,2024-05-15 00:00:00.000,农化制品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=DfMYJ3E+7NUNbxBvspfgess1C9gJbLuS9S0PLFiuBk8=
磷肥及磷化工：《推进磷资源高效高值利用实施方案》出台，助推磷化工行业高质量发展,华金证券,2024-01-10 00:00:00.000,农化制品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=sSNaP/+Koysg8I2DTZxi/+3l9U+22qmwwfjh/yN4SXg=
