研报名称,机构名称,发布时间,行业,页数,网页链接,PDF直链
建筑装饰行业周报：板块行情分化加剧，关注高股息防御与洁净室高景气主线,大同证券,2026-07-22 00:00:00.000,基础建设,14,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=bkYktvs9RKNTrOLqkt2RHbBieNlgRGwnW7ny37lL0v8=,https://pdf.dfcfw.com/pdf/H3_AP202607221827266551_1.pdf
建筑装饰行业周报：继续推荐鸿路钢构与四川路桥,华源证券,2026-07-21 00:00:00.000,基础建设,14,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=ZKa/54az+XeMHjmCHDK1LEig3dvqrscquTTC+a4Hz5E=,https://pdf.dfcfw.com/pdf/H3_AP202607211827218303_1.pdf
建筑行业：城市更新“大拆大建”还是“修旧焕新”？,清华大学,2026-07-19 00:00:00.000,基础建设,27,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=cOlZTbIrp5BJC7tWozaXBCkvPMz801Ok83+w5XVtH84=,https://pdf.dfcfw.com/pdf/H3_AP202607191827099671_1.pdf
建筑装饰行业周报：政策端持续发力，建筑装饰迎“低估值+高景气”双轮驱动,大同证券,2026-07-14 00:00:00.000,基础建设,14,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=THoCdW11jQl5iiz7Fcrwt33qYOoltbRZEPxgxb4UHzc=,https://pdf.dfcfw.com/pdf/H3_AP202607141826963987_1.pdf
建筑装饰行业周报：PMI回暖，洁净室核电维持高景气,大同证券,2026-07-10 00:00:00.000,基础建设,14,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=F6IVvWrQaTYYJ+d9R8Zkdlw+drOzeZs/TtKJddkNx0o=,https://pdf.dfcfw.com/pdf/H3_AP202607101826865747_1.pdf
苏州市低空基础设施标准体系建设指南研究报告,苏州职业技术大学,2026-07-02 00:00:00.000,基础建设,85,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=e8uG6eiIVZW0nwiqzAxJqnQoT6ro42W3lQI0/nF90gg=,https://pdf.dfcfw.com/pdf/H3_AP202607021826649004_1.pdf
建筑装饰行业周报：政策双轮驱动，洁净室核电高景气赛道突围,大同证券,2026-07-01 00:00:00.000,基础建设,15,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=fTCRDmv+6Cmy8a+mlj7u5I92U5vpPfyj0YlX/p3h2a4=,https://pdf.dfcfw.com/pdf/H3_AP202607011826635501_1.pdf
建筑装饰行业周报：政策护航基建投资，新旧基建景气格局分化,大同证券,2026-06-24 00:00:00.000,基础建设,14,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=F+ZhHRiImQMLRMIdpezE4G8/AoQ3eVNoNxaLSLpR8XE=,https://pdf.dfcfw.com/pdf/H3_AP202606241823797913_1.pdf
建筑装饰行业周报：基建短期承压，关注后续政策支持,华源证券,2026-06-23 00:00:00.000,基础建设,10,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=eJi1KfnPSzsOqK/d1hQ6dDOhOLzH+9+Gq6rlFpl6PyI=,https://pdf.dfcfw.com/pdf/H3_AP202606231823771598_1.pdf
建筑装饰行业周报：债市融资回暖，政策资金加持建筑高端工程,大同证券,2026-06-17 00:00:00.000,基础建设,15,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=ObjnBE3LxTv7iqsqRKQSbzXsveQmrBcbNxABaIDvsrg=,https://pdf.dfcfw.com/pdf/H3_AP202606171823623173_1.pdf
建筑装饰行业周报：关注鸿路钢构智能化改造带来的量价提升,华源证券,2026-06-16 00:00:00.000,基础建设,10,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=DFBMkX5WIiTdr8VSVb2JH6omO1KJmrOW5uM3058tTJg=,https://pdf.dfcfw.com/pdf/H3_AP202606161823602255_1.pdf
建筑装饰行业周报：政策利好释放，建筑装饰行业景气边际回暖,大同证券,2026-06-10 00:00:00.000,基础建设,14,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=/Fnww1CLbs895+41ik+hElD5rg9q6GIxV/4vjwRuie0=,https://pdf.dfcfw.com/pdf/H3_AP202606101823423093_1.pdf
建筑装饰行业周报：城市更新“十五五”规划落地，建筑结构性机会凸显,大同证券,2026-06-03 00:00:00.000,基础建设,15,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=vLVBb9crEuL+SI65XlPRKy1K1+qPtfrML7g+WVu9ryw=,https://pdf.dfcfw.com/pdf/H3_AP202606031823215503_1.pdf
建筑装饰行业周报：城市更新“十五五”规划发布，建筑板块或迎长期机遇,华源证券,2026-06-02 00:00:00.000,基础建设,10,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=J8egfRaQldcxrS+vK5NVDvFBO5X74bWR1zIlKrv+LVw=,https://pdf.dfcfw.com/pdf/H3_AP202606021823160292_1.pdf
"建筑装饰：《城市更新“十五五”规划》（国发〔2026〕12号）点评-城市更新“十五五”规划发布,存量提质打开投资空间",华源证券,2026-06-02 00:00:00.000,基础建设,2,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=J8egfRaQldcxrS+vK5NVDhoV/BkW4rzZ1Vocg1PEej4=,https://pdf.dfcfw.com/pdf/H3_AP202606021823151973_1.pdf
建筑装饰行业周报：固投承压，“六张网”引领结构机会,大同证券,2026-05-27 00:00:00.000,基础建设,14,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=8gUNtjW5jnuIsoF3A3XHB0lZ5NRfKwsBRFe70wWdIxs=,https://pdf.dfcfw.com/pdf/H3_AP202605271822908990_1.pdf
25FY年报&26Q1季报建筑综述：业绩整体承压，现金流改善明显,华源证券,2026-05-27 00:00:00.000,基础建设,27,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=8gUNtjW5jnuIsoF3A3XHB7OBs0fzmnXaguLEtlSxRCQ=,https://pdf.dfcfw.com/pdf/H3_AP202605271822921241_1.pdf
建筑装饰行业周报：关注洁净室等景气赛道,华源证券,2026-05-27 00:00:00.000,基础建设,14,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=8gUNtjW5jnuIsoF3A3XHBx2AyqirUj1b2sinXHBto5I=,https://pdf.dfcfw.com/pdf/H3_AP202605271822921925_1.pdf
