研报名称,机构名称,发布时间,行业,网页链接,PDF直链
2026年融资租赁行业分析,联合资信评估,2026-07-01 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=fTCRDmv+6Cmy8a+mlj7u5Je+Y3hRoez3PG6VIkBOYX0=,https://pdf.dfcfw.com/pdf/H3_AP202607011826630967_1.pdf
2026年担保行业分析,联合资信评估,2026-07-01 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=fTCRDmv+6Cmy8a+mlj7u5DhknmshoHHJl9GGat3d9SA=,https://pdf.dfcfw.com/pdf/H3_AP202607011826630962_1.pdf
REITs行业周报：REITs指数环比下跌，产业园区、仓储物流本周跌幅较大,开源证券,2026-06-29 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=sNXHRqYfuq/YK3RNBqVl9GHXfDV0McnQ9cqSWyh6vCQ=,https://pdf.dfcfw.com/pdf/H3_AP202606291826521865_1.pdf
非银金融行业周报：券商科创投资热度升温，第二批公募业绩比较基准调整落地,华源证券,2026-06-28 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=w/NB8TOq3B38ISJrYF46iz5pPusy8HBVg/T6FF8js9o=,https://pdf.dfcfw.com/pdf/H3_AP202606281826516470_1.pdf
非银金融行业周报：投行投资线催化验证，券商成长叙事仍有较大空间,开源证券,2026-06-28 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=w/NB8TOq3B38ISJrYF46i3se8FC5geo59Rb5vjYg2CM=,https://pdf.dfcfw.com/pdf/H3_AP202606281826517740_1.pdf
非银金融行业跟踪周报：券商/保险中报展望乐观，或将驱动估值修复,东吴证券,2026-06-28 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=w/NB8TOq3B38ISJrYF46i95JIEZtPdsfkH35Nn2pwtM=,https://pdf.dfcfw.com/pdf/H3_AP202606281826517308_1.pdf
2026年信托行业分析,联合资信评估,2026-06-26 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=RWyjWuYit9o0p2O5Ru2r6KHa7lc2613DKTkhtBGHUGg=,https://pdf.dfcfw.com/pdf/H3_AP202606251823863789_1.pdf
AI时代下的金融科技发展洞察报告（2026）,艾瑞股份,2026-06-24 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=F+ZhHRiImQMLRMIdpezE4KqYHTmZxEeSscIGsz7b2F4=,https://pdf.dfcfw.com/pdf/H3_AP202606241823806428_1.pdf
2026年下半年非银金融策略暨资本市场资金流动分析：从产业革命到金融创新,国信证券,2026-06-23 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=eJi1KfnPSzsOqK/d1hQ6dHAadvs8noWswdNGEjDL5FM=,https://pdf.dfcfw.com/pdf/H3_AP202606231823773151_1.pdf
非银行金融行业研究：资本市场投融资改革持续深化，利好非银板块,国金证券,2026-06-22 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=LEQv2ymTYUNBSRHOL1dcqhruieF2TRJVDzkNlK771/U=,https://pdf.dfcfw.com/pdf/H3_AP202606221823720421_1.pdf
