研报名称,机构名称,发布时间,行业,页数,网页链接,PDF直链
2025年中国蚊帐行业分析：技术创新与环保升级双轮驱动，行业迈向百亿市场新纪元,头豹研究院,2026-07-02 00:00:00.000,家居用品,31,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=e8uG6eiIVZW0nwiqzAxJqlGUew3ew51ZS0g6awGyiPQ=,https://pdf.dfcfw.com/pdf/H3_AP202607021826668685_1.pdf
「浴室架与柜」2026年5月市场报告,蔚云出海(广州)企业咨询,2026-06-26 00:00:00.000,家居用品,12,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=w2NNQ6TFDBV7T5E2D8Y77iahQl3Jjfnoqxb4yxfGD4o=,https://pdf.dfcfw.com/pdf/H3_AP202606261824191001_1.pdf
轻工制造行业日报：出口链：2026M5造纸板块维持高景气，纸箱类延续双位数增长,太平洋,2026-06-24 00:00:00.000,家居用品,4,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=F+ZhHRiImQMLRMIdpezE4MkqsjoJwu4fdhm/rIPKrow=,https://pdf.dfcfw.com/pdf/H3_AP202606241823818783_1.pdf
2025中国智能床行业概览：从传统到智能，智能床为现代生活带来的变革与机遇,头豹研究院,2026-06-23 00:00:00.000,家居用品,18,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=eJi1KfnPSzsOqK/d1hQ6dEqFGCJxGa/iileDguWq+xA=,https://pdf.dfcfw.com/pdf/H3_AP202606231823777920_1.pdf
轻工造纸行业研究：海外新型烟草深度八：合规风暴利好龙头，关注国内新烟放开期权,国金证券,2026-06-15 00:00:00.000,家居用品,38,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=fT7MG3z99qslJnEoDmwZDOfhtUNRMoPffCBAKZC1jLE=,https://pdf.dfcfw.com/pdf/H3_AP202606151823557592_1.pdf
住宅家具行业趋势洞察,南京炼丹炉数据技术,2026-05-29 00:00:00.000,家居用品,43,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=bsQe8BCnoZKeqsWeLQmz+BbsM52mU4PdlPF9YP/57vQ=,https://pdf.dfcfw.com/pdf/H3_AP202605291823007232_1.pdf
轻工制造行业快评报告：1-4月消费品制造行业利润表现分化,万联证券,2026-05-28 00:00:00.000,家居用品,2,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=rmuxYk/8kah+Ec3RizjA1M7eeeP2u2GJVWJeUT8+ELM=,https://pdf.dfcfw.com/pdf/H3_AP202605281822933601_1.pdf
2026年中国宠物家居行业发展趋势白皮书,艾瑞股份,2026-05-26 00:00:00.000,家居用品,39,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=ezwMyDfKd2WUFgzUwL6wAVQccFo23dZDI8EKsob0r7M=,https://pdf.dfcfw.com/pdf/H3_AP202605261822873377_1.pdf
轻工制造行业日报：出口链：2026M4造纸板块整体表现较优，纸箱类同比+14%,太平洋,2026-05-26 00:00:00.000,家居用品,4,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=ezwMyDfKd2WUFgzUwL6wAdAy5ekj6ryiaIBrjhY4neo=,https://pdf.dfcfw.com/pdf/H3_AP202605261822869676_1.pdf
轻工&纺服行业2026年度中期投资策略：消费端把握个护成长，制造端重视韧性标的,开源证券,2026-05-21 00:00:00.000,家居用品,23,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=LJeWN/nGIIJZXKN8+dM8/zwObQDoYr9E1hK2mldqWCU=,https://pdf.dfcfw.com/pdf/H3_AP202605211822524035_1.pdf
