研报名称,机构名称,发布时间,行业,研报地址
2025年中国蚊帐行业分析：技术创新与环保升级双轮驱动，行业迈向百亿市场新纪元,头豹研究院,2026-07-02 00:00:00.000,家居用品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=e8uG6eiIVZW0nwiqzAxJqlGUew3ew51ZS0g6awGyiPQ=
「浴室架与柜」2026年5月市场报告,蔚云出海(广州)企业咨询,2026-06-26 00:00:00.000,家居用品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=w2NNQ6TFDBV7T5E2D8Y77iahQl3Jjfnoqxb4yxfGD4o=
轻工制造行业日报：出口链：2026M5造纸板块维持高景气，纸箱类延续双位数增长,太平洋,2026-06-24 00:00:00.000,家居用品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=F+ZhHRiImQMLRMIdpezE4MkqsjoJwu4fdhm/rIPKrow=
2025中国智能床行业概览：从传统到智能，智能床为现代生活带来的变革与机遇,头豹研究院,2026-06-23 00:00:00.000,家居用品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=eJi1KfnPSzsOqK/d1hQ6dEqFGCJxGa/iileDguWq+xA=
轻工造纸行业研究：海外新型烟草深度八：合规风暴利好龙头，关注国内新烟放开期权,国金证券,2026-06-15 00:00:00.000,家居用品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=fT7MG3z99qslJnEoDmwZDOfhtUNRMoPffCBAKZC1jLE=
住宅家具行业趋势洞察,南京炼丹炉数据技术,2026-05-29 00:00:00.000,家居用品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=bsQe8BCnoZKeqsWeLQmz+BbsM52mU4PdlPF9YP/57vQ=
轻工制造行业快评报告：1-4月消费品制造行业利润表现分化,万联证券,2026-05-28 00:00:00.000,家居用品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=rmuxYk/8kah+Ec3RizjA1M7eeeP2u2GJVWJeUT8+ELM=
2026年中国宠物家居行业发展趋势白皮书,艾瑞股份,2026-05-26 00:00:00.000,家居用品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=ezwMyDfKd2WUFgzUwL6wAVQccFo23dZDI8EKsob0r7M=
轻工制造行业日报：出口链：2026M4造纸板块整体表现较优，纸箱类同比+14%,太平洋,2026-05-26 00:00:00.000,家居用品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=ezwMyDfKd2WUFgzUwL6wAdAy5ekj6ryiaIBrjhY4neo=
轻工&纺服行业2026年度中期投资策略：消费端把握个护成长，制造端重视韧性标的,开源证券,2026-05-21 00:00:00.000,家居用品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=LJeWN/nGIIJZXKN8+dM8/zwObQDoYr9E1hK2mldqWCU=
2026全屋智能系统行业简析报告,上海嘉世营销咨询,2026-05-19 00:00:00.000,家居用品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=fS81ufKxtfKLbNGXxwnqo3V0bF7z6fb8amMbmbEtX50=
「儿童用餐椅」2026年4月市场报告,蔚云出海(广州)企业咨询,2026-05-14 00:00:00.000,家居用品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=LBIS7bPRbuARj1Q2LOK57XgSDNj7haaMJlcc7hF1Pyg=
轻工制造：新消费2025年报&2026一季报综述，复苏线索增加，周期触底显著，分化趋势延续,信达证券,2026-05-13 00:00:00.000,家居用品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=KKx/o0h8GXci4gNIaf+w9MG7UAHSkpbrY3lMUo6QH/M=
轻工制造行业：新型烟草：FDA政策更新，合规龙头口味烟变相允许入市，合规供应商有望显著受益,信达证券,2026-05-12 00:00:00.000,家居用品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=EZKzOIyOfPXOY/mOkPf0GIc5ElPVYEso7dWvV9Qccrg=
新型烟草：FDA首次过审果味电子烟，合规市场有望加速改善,信达证券,2026-05-07 00:00:00.000,家居用品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=Wq+NxWAWJ26bvphenTnhbLKGUoZqp20DJ7ES7yveL/U=
轻工制造出口链：2026M3漂白纸及纸板增速较快，电子烟维持双位数增长,太平洋,2026-04-24 00:00:00.000,家居用品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=u0i1cZTNUMOPcM3SjCQs4GiE672TZjQbv4uhizf6OMQ=
耐用消费产业行业研究：迅销FY26Q2超预期；恋火进入战略调整期,国金证券,2026-04-13 00:00:00.000,家居用品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=lEJ4tvrLL4iYJKcaLiC2v2bFngoQkcGwFl46y0RO1r8=
耐用消费产业行业研究：华为新一代AI眼镜即将亮相，宠物食品标准提升,国金证券,2026-04-12 00:00:00.000,家居用品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=4p6Dpc5uWa9bYfsijTcvusjL6WHGbV/hJy7Ppva1lRI=
轻工制造行业快评报告：1-2月多个消费品制造行业利润改善明显,万联证券,2026-04-01 00:00:00.000,家居用品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=Gu8QRr/fLYcAt/sGSmjl8BI6G30O/ImflnkCoi5IrBY=
耐用消费产业行业研究：运动品牌2025年稳健经营；动物胶原赛道拥挤加剧,国金证券,2026-03-29 00:00:00.000,家居用品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=dAK1ppXG2ZMmjjQE+9CZ5SgeRsLZzcgP4VOClfODtBE=
耐用消费产业行业研究：BAT稳价有望提高HiLo市占，内需二轮家居个护避险,国金证券,2026-03-29 00:00:00.000,家居用品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=dAK1ppXG2ZMmjjQE+9CZ5e7ovd0X63gT8MY6LGHpTuY=
2026脊椎健康与睡眠行业白皮书,东莞慕思寝具销售,2026-03-24 00:00:00.000,家居用品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=epGsNL70B4dqK/p0j+9PfgZwHKRnqeXtxM+myCbpNvk=
轻工制造行业日报：出口链：2026M1造纸表现较优，M2各板块均实现不同程度增长,太平洋,2026-03-23 00:00:00.000,家居用品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=AXL2dnO3LwnWoDbc/j2fPeBfE/W4a6yi2kTqZjh6abw=
2026年蚊帐行业词条报告,头豹研究院,2026-03-16 00:00:00.000,家居用品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=ivGavoqmU0N6YSeJK0gsmiKkPH5FJRZvyM6s1r+HCIQ=
2026智能沙发消费与产业趋势洞察报告,深圳市聚业美家科技,2026-03-16 00:00:00.000,家居用品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=ivGavoqmU0N6YSeJK0gsmqRl8jZ96dbNoZE2Dx1pBpE=
耐用消费产业行业研究：新型烟草多政策利好渗透率提升，拓竹发布首份消费级3D趋势报告,国金证券,2026-03-15 00:00:00.000,家居用品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=7HIURRqTbuK4ZnlEb5bC0YpIuTMfhyFBYPRa++V94Hk=
轻工制造行业2025年业绩预告综述：2025年业绩预告表现平淡，家居用品子板块预盈率相对较高,万联证券,2026-03-03 00:00:00.000,家居用品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=cu8BCf0ftWWii/wCWbhyPtoWg62RU4Lr11+5DL++xFo=
英美烟草&日本烟草发布年报：PLOOM市占率斜率放缓，英美新品迭代加速,信达证券,2026-02-13 00:00:00.000,家居用品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=7eBtQRVnu7p1NFqJQkPuX89NUACAWUYuCvXx/WL3M6s=
英美烟草&日本烟草发布年报：PLOOM市占率斜率放缓，英美新品迭代加速,信达证券,2026-02-13,家用轻工,https://pdf.dfcfw.com/pdf/H3_AP202602131819924372_1.pdf?1771009364000.pdf
轻工制造行业事项点评：菲莫国际：提出三年规划，聚焦新烟成长,信达证券,2026-02-09 00:00:00.000,家居用品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=+b5ofXBBZ3x7mdIOZrFsa2Jf9bHczOJiEaCuOGnGQMc=
中国制造业行业调研简报：市场洞察：视觉围城之下，激光雷达如何守住高阶智驾的安全底线？,头豹研究院,2026-02-09 00:00:00.000,家居用品,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=+b5ofXBBZ3x7mdIOZrFsayMY6ZR+ICv5oLmFNXd1ctM=
