研报名称,机构名称,发布时间,行业,页数,网页链接,PDF直链
装备制造行业周报（7月第3周）：工程机械6月销量持续增长,世纪证券,2026-07-20 00:00:00.000,工程机械,11,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=4PqOz2Xj2NJxO5S/+q3G3YU19rFRUhVIl3yQT0662uU=,https://pdf.dfcfw.com/pdf/H3_AP202607201827131890_1.pdf
6月工程机械行业主要产品销售点评二：海外需求支撑增长，高机及工业车辆表现亮眼,华源证券,2026-07-20 00:00:00.000,工程机械,2,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=cOlZTbIrp5BJC7tWozaXBKmrTfO+L7MhCsIKJhlNGms=,https://pdf.dfcfw.com/pdf/H3_AP202607191827115680_1.pdf
机械行业研究：重视燃气轮机、机床和农机，中长线看好光模块测试设备,国金证券,2026-07-19 00:00:00.000,工程机械,15,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=cOlZTbIrp5BJC7tWozaXBPg3IwIb4BixPLkO6rdcuxw=,https://pdf.dfcfw.com/pdf/H3_AP202607191827114368_1.pdf
机械行业研究：海洋工程：行业景气度上行，中国竞争力提升,国金证券,2026-07-14 00:00:00.000,工程机械,29,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=THoCdW11jQl5iiz7Fcrwt6O7/K5kO3u48mWjgOIganU=,https://pdf.dfcfw.com/pdf/H3_AP202607141826962651_1.pdf
机械行业研究：重视半导体设备机会，看好船舶、燃气轮机和农机,国金证券,2026-07-12 00:00:00.000,工程机械,15,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=4setjouJ214gX8Re7X69pvA9kHFJL5P0ZoZBMWIgmxo=,https://pdf.dfcfw.com/pdf/H3_AP202607121826912237_1.pdf
工程机械月报：汇兑影响边际减弱，销量继续超预期,西南证券,2026-07-12 00:00:00.000,工程机械,12,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=4setjouJ214gX8Re7X69pieuOxYZyUb7kBFcHC8MY2c=,https://pdf.dfcfw.com/pdf/H3_AP202607121826909834_1.pdf
机械行业点评报告：6月挖机内销维持高增长，出口刷新单月历史新高,太平洋,2026-07-08 00:00:00.000,工程机械,3,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=zvBpmt7iWF2+iLsmGuoe+KX9Q0fOg6ZxmjmYKWLhNfk=,https://pdf.dfcfw.com/pdf/H3_AP202607081826817336_1.pdf
6月工程机械行业主要产品销售点评：销量延续高增，内外需共振支撑增长,华源证券,2026-07-08 00:00:00.000,工程机械,4,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=zvBpmt7iWF2+iLsmGuoe+IIFCPnQAjPQaUmZ2MbjBfY=,https://pdf.dfcfw.com/pdf/H3_AP202607081826821062_1.pdf
机械行业周报：低空经济边际向好，工程机械发展稳健,国元证券,2026-07-07 00:00:00.000,工程机械,11,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=h8pjiSxToq3UPqquKvFq3hUVUaKsXF7NmwZjMUaVb5g=,https://pdf.dfcfw.com/pdf/H3_AP202607071826774179_1.pdf
机械行业研究：重视半导体设备和零部件，看好机器人、燃气轮机和机床,国金证券,2026-07-05 00:00:00.000,工程机械,15,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=935YUm5WfXPZuBgIz87FLpNPAKV07x0jFF3m7IVgVrI=,https://pdf.dfcfw.com/pdf/H3_AP202607051826729287_1.pdf
工程机械行业跟踪点评：5月挖机销量增长延续，出口动能有望持续释放,东莞证券,2026-06-30 00:00:00.000,工程机械,5,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=pbgGimF6GIUsJi/NFvqdcwsp8zfeeCTq/LkFWlplqGw=,https://pdf.dfcfw.com/pdf/H3_AP202606301826592876_1.pdf
装备制造行业周报（6月第4周）：中国工程机械出口持续增长,世纪证券,2026-06-30 00:00:00.000,工程机械,10,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=pbgGimF6GIUsJi/NFvqdczkH2iWAgS4F+IcdSIEJX6c=,https://pdf.dfcfw.com/pdf/H3_AP202606301826566529_1.pdf
机械行业周报：低空应用场景多元，工程机械稳步增长,国元证券,2026-06-29 00:00:00.000,工程机械,12,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=sNXHRqYfuq/YK3RNBqVl9NhqJYlrzexNnQnF19kS2So=,https://pdf.dfcfw.com/pdf/H3_AP202606291826527225_1.pdf
机械：5月挖机海关出口同比继续向上，海外市场景气度延续,太平洋,2026-06-25 00:00:00.000,工程机械,3,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=RWyjWuYit9o0p2O5Ru2r6IgygMXIdButD2Xaaaqrl6c=,https://pdf.dfcfw.com/pdf/H3_AP202606251823828828_1.pdf
机械行业研究：看好mpo自动化设备，重视半导体后道测试、机器视觉,国金证券,2026-06-21 00:00:00.000,工程机械,15,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=svHcicKcG+Np1VgQVFF95uZXNVva60LvR9J5JfkXBaM=,https://pdf.dfcfw.com/pdf/H3_AP202606211823709757_1.pdf
机械行业2026年中期策略：关注产业升级和工艺迭代的细分方向,东兴证券,2026-06-17 00:00:00.000,工程机械,21,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=ObjnBE3LxTv7iqsqRKQSb+pW1azKeRav27tUanoX0Ls=,https://pdf.dfcfw.com/pdf/H3_AP202606171823626736_1.pdf
市场洞察：房地产及基建等市场需求端未有明显改善，整体发展承压,头豹研究院,2026-06-17 00:00:00.000,工程机械,8,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=ObjnBE3LxTv7iqsqRKQSb8mpcZr6HNphINWqqKmmhQc=,https://pdf.dfcfw.com/pdf/H3_AP202606171823640290_1.pdf
2026年装载机行业：产品更新换代，电动化加速渗透,头豹研究院,2026-06-17 00:00:00.000,工程机械,9,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=ObjnBE3LxTv7iqsqRKQSbysqhbhLPtsQ5vfHhiayakM=,https://pdf.dfcfw.com/pdf/H3_AP202606171823640270_1.pdf
装备制造行业周报（6月第2周）：碳酸锂价格上涨,世纪证券,2026-06-16 00:00:00.000,工程机械,10,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=DFBMkX5WIiTdr8VSVb2JH/RddkHxWBtqOXATRTFHfv0=,https://pdf.dfcfw.com/pdf/H3_AP202606161823599718_1.pdf
机械行业周报：低空经济应用多元，工程机械稳步增长,国元证券,2026-06-16 00:00:00.000,工程机械,13,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=DFBMkX5WIiTdr8VSVb2JH3Hm5U+pfaUkz1a/zFz4fJk=,https://pdf.dfcfw.com/pdf/H3_AP202606161823599677_1.pdf
机械行业研究：看好MPO自动化设备，关注光纤、六氟化钨涨价,国金证券,2026-06-14 00:00:00.000,工程机械,15,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=258OWqm3aDwZNw1gsD2XXObUsKfEM0F26mVObX9KTKs=,https://pdf.dfcfw.com/pdf/H3_AP202606141823550823_1.pdf
中国叉车行业调研简报：市场洞察：中国叉车行业电动化深拓与全球化破局,头豹研究院,2026-06-12 00:00:00.000,工程机械,8,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=9wL7sdiwmb9ura8s29RbpQsO0WHEmiQnUo1+kxstm6k=,https://pdf.dfcfw.com/pdf/H3_AP202606121823518870_1.pdf
机械行业周报：低空经济持续发展，看好工程机械增长,国元证券,2026-06-11 00:00:00.000,工程机械,11,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=I10xowZ3FwwJIx4ad/6rbLbVO67ZYPA4SRWK03zeHVE=,https://pdf.dfcfw.com/pdf/H3_AP202606111823459471_1.pdf
机械行业点评报告：5月挖机需求高景气，内外销同比均高增,太平洋,2026-06-10 00:00:00.000,工程机械,3,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=/Fnww1CLbs895+41ik+hEtKWObSLoP+LRnt62RLcbB4=,https://pdf.dfcfw.com/pdf/H3_AP202606101823417197_1.pdf
机械行业2026年5月投资策略：重点关注产业趋势强的液冷及光模块设备产业链,国信证券,2026-06-07 00:00:00.000,工程机械,24,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=1dS8OwFW4WA9Nyk/1R5SO8WzmRjrhIuQDCkRX4jET1E=,https://pdf.dfcfw.com/pdf/H3_AP202606071823344106_1.pdf
机械行业研究：中长线看好联讯仪器，关注工程机械、六氟化钨涨价,国金证券,2026-06-07 00:00:00.000,工程机械,15,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=1dS8OwFW4WA9Nyk/1R5SO2n1cAiIjokYBpSrmzE/CA8=,https://pdf.dfcfw.com/pdf/H3_AP202606071823343604_1.pdf
制造行业解决方案：联想算力基础设施白皮书,联想(北京),2026-06-05 00:00:00.000,工程机械,65,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=bjN0bUIX4t9LuI72oEtR3/zvRCRAlkvKM4dLySK9KZk=,https://pdf.dfcfw.com/pdf/H3_AP202606051823271737_1.pdf
机械行业研究：看好CPO设备、燃气轮机、SOFC以及工程机械,国金证券,2026-05-31 00:00:00.000,工程机械,15,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=frN1yznI/PSjLneQCR7qmhe/18n7lNm3kdX/JAw0470=,https://pdf.dfcfw.com/pdf/H3_AP202605311823107102_1.pdf
机械：4月挖机海关出口数据继续向好，同环比均向上,太平洋,2026-05-26 00:00:00.000,工程机械,3,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=ezwMyDfKd2WUFgzUwL6wAVnx6WmIMoSygTf5K1XA4PU=,https://pdf.dfcfw.com/pdf/H3_AP202605261822869693_1.pdf
机械行业研究：重视光模块设备，看好燃气轮机和农机,国金证券,2026-05-24 00:00:00.000,工程机械,15,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=190xdmTYsHjMb0DC+/627KbTV4ornAEbs38eO9CAwbM=,https://pdf.dfcfw.com/pdf/H3_AP202605241822840003_1.pdf
工程机械行业2025年报&2026年一季报总结：出海逻辑继续演绎，高经营质量周期利好内外需上行提速,东吴证券,2026-05-21 00:00:00.000,工程机械,49,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=LJeWN/nGIIJZXKN8+dM8/w2NO6Z2VN8x2GmsAcVh/U0=,https://pdf.dfcfw.com/pdf/H3_AP202605211822525917_1.pdf
机械行业周报：低空应用场景多元，工程机械稳步推进,国元证券,2026-05-20 00:00:00.000,工程机械,12,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=ghB/U6yU9Yq8Vt9aUyx3xPPk8dffcKz934eAnNNxnu0=,https://pdf.dfcfw.com/pdf/H3_AP202605201822495966_1.pdf
