研报名称,机构名称,发布时间,行业,页数,网页链接,PDF直链
房地产行业周报：天津、海南优化公积金政策，核心城市土拍热度延续,开源证券,2026-07-06 00:00:00.000,房地产开发,12,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=jocpIJdi6Q/y/MTw/2H7SpG0ICpxAfMsKurtdlmUJlw=,https://pdf.dfcfw.com/pdf/H3_AP202607061826735072_1.pdf
房地产行业：悉尼中央商务区办公室2026年第二季度市场状况,莱坊,2026-07-05 00:00:00.000,房地产开发,2,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=/m154nP6C416h3qLjjZKfLzuaIUXW/W791VDtTAqwcU=,https://pdf.dfcfw.com/pdf/H3_AP202607041826721797_1.pdf
房地产行业点评报告：普睿地产研究1-6月百强企业销售排行点评：6月单月百强数据降幅扩大，央企表现亮眼,开源证券,2026-07-02 00:00:00.000,房地产开发,7,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=e8uG6eiIVZW0nwiqzAxJqpO6YKoSchVOR5dELyNeiCA=,https://pdf.dfcfw.com/pdf/H3_AP202607021826648161_1.pdf
房地产行业周报：核心城市土拍热度不减，优质房企积极补货,华源证券,2026-07-01 00:00:00.000,房地产开发,15,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=fTCRDmv+6Cmy8a+mlj7u5ORFrYcGO0mODL9peVQL2/4=,https://pdf.dfcfw.com/pdf/H3_AP202607011826628516_1.pdf
房地产行业第26周周报：新房成交同比降幅扩大、二手房成交同比由负转正；住建部提及智能建造工作在城市更新的运用,中银证券,2026-06-30 00:00:00.000,房地产开发,30,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=pbgGimF6GIUsJi/NFvqdcyejdTTR3jx9J+GCJxBHraU=,https://pdf.dfcfw.com/pdf/H3_AP202606301826567965_1.pdf
地产+AI工具系列报告之五：AlphaChain辅助主动投研的AI决策系统（如何创立一个自己的“AI投委会”）,东吴证券,2026-06-30 00:00:00.000,房地产开发,35,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=pbgGimF6GIUsJi/NFvqdc1u8fOyenUSHfWN9dlJ+5ro=,https://pdf.dfcfw.com/pdf/H3_AP202606301826572625_1.pdf
房地产行业专题：长三角区域研究（三）：上海楼市跑赢全国但内部显著分化,国信证券,2026-06-29 00:00:00.000,房地产开发,47,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=sNXHRqYfuq/YK3RNBqVl9GTrE+9vC5qRFxWCbwLap/Q=,https://pdf.dfcfw.com/pdf/H3_AP202606291826526267_1.pdf
5月统计局房地产数据追踪：房地产行业：一线城市房价延续改善，开发投资仍有压力,金融街证券,2026-06-29 00:00:00.000,房地产开发,14,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=sNXHRqYfuq/YK3RNBqVl9EpEbHCwtxsyZXQJz+N6HYY=,https://pdf.dfcfw.com/pdf/H3_AP202606291826521179_1.pdf
商业不动产REITs动态更新：商业不动产REITs落地进程加快,太平洋,2026-06-25 00:00:00.000,房地产开发,17,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=RWyjWuYit9o0p2O5Ru2r6OwNv4GMAPwOTe2+oe7Gons=,https://pdf.dfcfw.com/pdf/H3_AP202606251823848675_1.pdf
成都甲级写字楼与零售市场概况：2026年第一季度,戴德梁行,2026-06-24 00:00:00.000,房地产开发,15,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=F+ZhHRiImQMLRMIdpezE4ERHH9knKhW6+yNagkkLx8k=,https://pdf.dfcfw.com/pdf/H3_AP202606241823810040_1.pdf
