研报名称,机构名称,发布时间,行业,页数,网页链接,PDF直链
TMT推动办公楼与商务园区去化多元买家支撑投资市场活跃度,世邦魏理仕,2026-07-22 00:00:00.000,房地产服务,7,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=bkYktvs9RKNTrOLqkt2RHUtzwVrxg7K4amiCkdyz4kE=,https://pdf.dfcfw.com/pdf/H3_AP202607221827239607_1.pdf
房地产：仓库市场,莱坊,2026-07-03 00:00:00.000,房地产服务,4,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=lfCg5GuIRBDoKH/4GRaxX6OWDw6cmSvYqIO1jolPiv4=,https://pdf.dfcfw.com/pdf/H3_AP202607031826682273_1.pdf
房地产行业香港月刊,莱坊,2026-07-01 00:00:00.000,房地产服务,3,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=fTCRDmv+6Cmy8a+mlj7u5He+IWBBw18V8rVAKd18bQY=,https://pdf.dfcfw.com/pdf/H3_AP202607011826626780_1.pdf
广州甲级写字楼市场季度报告,莱坊,2026-07-01 00:00:00.000,房地产服务,6,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=fTCRDmv+6Cmy8a+mlj7u5Pyem/tp+1VfECnCo7ng/tk=,https://pdf.dfcfw.com/pdf/H3_AP202607011826626771_1.pdf
房地产行业周报：市场成交延续分化趋势，LPR连续13个月按兵不动,开源证券,2026-06-29 00:00:00.000,房地产服务,12,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=sNXHRqYfuq/YK3RNBqVl9KVNimhu2pdKFEDZ4XwML4k=,https://pdf.dfcfw.com/pdf/H3_AP202606291826521906_1.pdf
房地产行业：办公楼租户普查2025上海,世邦魏理仕,2026-06-22 00:00:00.000,房地产服务,4,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=LEQv2ymTYUNBSRHOL1dcqmLZp607L9Y7n6R2VloKDtw=,https://pdf.dfcfw.com/pdf/H3_AP202606221823746167_1.pdf
大中华区物业摘要：向新向优 蓄势而兴,JLL,2026-05-27 00:00:00.000,房地产服务,35,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=8gUNtjW5jnuIsoF3A3XHB92ppuKHXpatffQrHRLHIbo=,https://pdf.dfcfw.com/pdf/H3_AP202605271822903522_1.pdf
2026年房地产租赁经营行业分析（2026年5月）,联合资信评估,2026-05-18 00:00:00.000,房地产服务,16,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=tI3AI4wMjmLQAmSmXTMCq3qLp8bUSkKmKCLwZwFfFTs=,https://pdf.dfcfw.com/pdf/H3_AP202605181822389913_1.pdf
2026年香港岛甲级写字楼市场展望：从波动走向机遇,莱坊,2026-05-15 00:00:00.000,房地产服务,11,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=EQkV36KL9Px2H70dQxdoitvt1Q8gXIhw0ETxvyPBkmI=,https://pdf.dfcfw.com/pdf/H3_AP202605151822333232_1.pdf
房地产2026年第一季度：仓储物流单季吸纳破历史记录 物业投资受机构资金带动规模回升,世邦魏理仕,2026-04-29 00:00:00.000,房地产服务,7,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=9ZapTwxXRoU6qdk1dhBUeNYRcOREdYUdoKU1zSnGXy4=,https://pdf.dfcfw.com/pdf/H3_AP202604291821779635_1.pdf
悉尼工业市场状况,莱坊,2026-04-24 00:00:00.000,房地产服务,8,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=u0i1cZTNUMOPcM3SjCQs4HiIBqqW8gscDwXengqX5kU=,https://pdf.dfcfw.com/pdf/H3_AP202604241821531988_1.pdf
北京甲级写字楼市场季度报告,莱坊,2026-04-19 00:00:00.000,房地产服务,6,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=QVk5BeptH2ssWz00IL1T69xiBhuqW8oJ7dvaZXTZfXA=,https://pdf.dfcfw.com/pdf/H3_AP202604191821319668_1.pdf
2025年8月大中华区写字楼供应/需求前沿趋势,戴德梁行,2026-04-01 00:00:00.000,房地产服务,35,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=Gu8QRr/fLYcAt/sGSmjl8Iy/bKmfjKdn+YySXEjrsqI=,https://pdf.dfcfw.com/pdf/H3_AP202604011820955746_1.pdf
循环经济下租用消费行业的有序发展研究,国家市场监督管理总局,2026-03-27 00:00:00.000,房地产服务,50,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=+HQpsq0qvXZbuOEG3JMI5pWH0et6WHbF+8KA51gBsCc=,https://pdf.dfcfw.com/pdf/H3_AP202603271820806500_1.pdf
