研报名称,机构名称,发布时间,行业,页数,网页链接,PDF直链
招聘行业：2026新质生产力应届人才供需洞察报告,北京网聘信息技术,2026-07-01 00:00:00.000,教育,17,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=fTCRDmv+6Cmy8a+mlj7u5PUzjh29U20n+0H9jzZxxt0=,https://pdf.dfcfw.com/pdf/H3_AP202607011826626755_1.pdf
2026巨量引擎教育行业营销白皮书,北京巨量引擎网络技术,2026-05-05 00:00:00.000,教育,58,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=L1lRXMabK5Ss4XKsaKCfc+WxtC39wMlanOrqQFCN5H0=,https://pdf.dfcfw.com/pdf/H3_AP202605051821964594_1.pdf
2026年度中国亲子阅读指数报告,成都书声科技,2026-04-23 00:00:00.000,教育,23,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=/OdnvFqSBKsDWvabmdFdFLxZb53AaoBvQq85A5i9BiM=,https://pdf.dfcfw.com/pdf/H3_AP202604231821486269_1.pdf
教育行业GEO白皮书VI.O：AI时代的合规、可持续增长指南,北京校长邦教育科技,2026-04-17 00:00:00.000,教育,47,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=hVZN+/0rd1itMAX5IcfSUFZcaF+DGB0O5lcweEehcBQ=,https://pdf.dfcfw.com/pdf/H3_AP202604171821280073_1.pdf
2025年度中国数字教育投诉数据与典型案例报告,网经社电子商务研究中心,2026-03-18 00:00:00.000,教育,52,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=s7nmvLweMqllj8ucx4/dSboe6n3tGLwJF0gSAG0zJyc=,https://pdf.dfcfw.com/pdf/H3_AP202603181820613923_1.pdf
互联网教育行业ESG白皮书,荣续ESG智库研究中心,2026-03-03 00:00:00.000,教育,34,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=cu8BCf0ftWWii/wCWbhyPkuGcDUWV1F0rhsMBJFD4yo=,https://pdf.dfcfw.com/pdf/H3_AP202603031820234561_1.pdf
人工智能挑战：如何评估人工智能时代高等教育现状与未来的高校教师,American Association of Colleges and Universities,2026-02-28 00:00:00.000,教育,25,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=D1Hj4jEu/iEg1k6E+A7qaNlzQ0Mh06ZdSXWwR8MdR0c=,https://pdf.dfcfw.com/pdf/H3_AP202602281820132895_1.pdf
2025年中国中等职业教育行业研究报告,硕远咨询,2026-02-11 00:00:00.000,教育,28,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=1jj6tO9ONfIXGIMrgDt9lUwt/gT1pOLjxSz9RcVphOI=,https://pdf.dfcfw.com/pdf/H3_AP202602111819876544_1.pdf
教培行业高景气度，招录类职业培训持续扩容,第一创业,2026-02-10 00:00:00.000,教育,7,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=fUlqncxmuBMNJXJPVFPqaODALPWjRmzGrTxXHGpRWFE=,https://pdf.dfcfw.com/pdf/H3_AP202602101819851923_1.pdf
2026年中国GenAI+教育行业发展报告：技术与技术不可替代之物,艾瑞股份,2026-02-10 00:00:00.000,教育,70,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=fUlqncxmuBMNJXJPVFPqaEL5WY41y0QCBnpUOIZxT1g=,https://pdf.dfcfw.com/pdf/H3_AP202602101819860458_1.pdf
2025年中国早教行业白皮书,艾瑞股份,2026-01-23 00:00:00.000,教育,30,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=woonG2wfySX9EQpnBXXmxjirvsf3MY9CGE4xYuPFqOk=,https://pdf.dfcfw.com/pdf/H3_AP202601221818287679_1.pdf
教育融资,威廉博莱,2026-01-16 00:00:00.000,教育,8,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=pcsftFEsWFpFQcVOV3Qy5VmazhGxDi/yolEvD8hn0HM=,https://pdf.dfcfw.com/pdf/H3_AP202601151817130682_1.pdf
2026高等教育景观报告：高等教育在变化格局下的转型战略要务,教育动力学有限责任公司,2026-01-16 00:00:00.000,教育,41,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=pcsftFEsWFpFQcVOV3Qy5QsbMYsBM84+xDaBCGfZ5Sk=,https://pdf.dfcfw.com/pdf/H3_AP202601151817126723_1.pdf
2025年中国教育信息化行业研究报告,硕远咨询,2026-01-14 00:00:00.000,教育,31,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=kIwPO1Ct+MRZqqOkXrDev5z4EY8l177DxtzRtZFluYM=,https://pdf.dfcfw.com/pdf/H3_AP202601131816989494_1.pdf
2025年中国民办教育行业研究报告,硕远咨询,2026-01-14 00:00:00.000,教育,32,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=kIwPO1Ct+MRZqqOkXrDev9B1so2zappUbygi3kEUWeA=,https://pdf.dfcfw.com/pdf/H3_AP202601131816989488_1.pdf
2025年Q4数字教育消费投诉数据与典型案例报告,网经社电子商务研究中心,2026-01-09 00:00:00.000,教育,22,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=Vop7cteqKPwqH+c7kmo/LGN++grILPJp4pz7uyh8SDM=,https://pdf.dfcfw.com/pdf/H3_AP202601091816878764_1.pdf
得物户外运动白皮书,灼识投资咨询(上海),2025-12-22 00:00:00.000,教育,44,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=/3mWTBCzbS3S7/Zc46MWFLSjiXolmDHd9Geh36DirEI=,https://pdf.dfcfw.com/pdf/H3_AP202512221805789299_1.pdf
普惠算力赋能教育行业研究报告（2025年）,中国信通院,2025-11-25 00:00:00.000,教育,52,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=x61AL1izFpQenOK08jG1O5jdcLY8Sqb8NKwTf55cQ+U=,https://pdf.dfcfw.com/pdf/H3_AP202511251788213672_1.pdf
