研报名称,机构名称,发布时间,行业,页数,网页链接,PDF直链
传媒行业：中国文化在国际青年群体中的传播,清华大学,2026-07-05 00:00:00.000,数字媒体,130,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=935YUm5WfXPZuBgIz87FLvf7MAy5/Vq6HOfvqjFtl0U=,https://pdf.dfcfw.com/pdf/H3_AP202607051826728707_1.pdf
传媒互联网周报：OpenAI发布GPT-5.6 Sol预览版，豆包推出付费专业版,国信证券,2026-06-30 00:00:00.000,数字媒体,15,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=pbgGimF6GIUsJi/NFvqdcz3NCJTSx6g8ltvi7sLbf5w=,https://pdf.dfcfw.com/pdf/H3_AP202606301826594301_1.pdf
2026年音乐大模型行业研究：从“基础生成”到“成品级输出”，AI音乐开启商业化新浪潮,头豹研究院,2026-06-29 00:00:00.000,数字媒体,30,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=sNXHRqYfuq/YK3RNBqVl9E7rqA6efq10HrPYFA6dwGo=,https://pdf.dfcfw.com/pdf/H3_AP202606291826548335_1.pdf
传媒行业点评报告：字节Seedance 2.5将发布，多模态视频生成进入商业化兑现期,中邮证券,2026-06-29 00:00:00.000,数字媒体,3,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=sNXHRqYfuq/YK3RNBqVl9PrsKoZskTas2zdDOi/7nso=,https://pdf.dfcfw.com/pdf/H3_AP202606291826546727_1.pdf
传媒互联网行业周报：字节FORCE大会密集更新模型，重视字节多模态模型迭代进度,华源证券,2026-06-28 00:00:00.000,数字媒体,18,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=w/NB8TOq3B38ISJrYF46i5VmTb7PzibCsBKUMLsp//E=,https://pdf.dfcfw.com/pdf/H3_AP202606281826516877_1.pdf
2026年中期传媒行业投资策略报告：AI浪潮已起，内容革新将至,万联证券,2026-06-28 00:00:00.000,数字媒体,36,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=w/NB8TOq3B38ISJrYF46i4p3D/GpkcS3BT7frIIQKY8=,https://pdf.dfcfw.com/pdf/H3_AP202606281826514063_1.pdf
传媒行业深度报告：物理AI：数据筑基，模型搭台，拔节起势在即,开源证券,2026-06-25 00:00:00.000,数字媒体,25,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=RWyjWuYit9o0p2O5Ru2r6KfvsabieU091zUs4mH7tVg=,https://pdf.dfcfw.com/pdf/H3_AP202606251823848044_1.pdf
传媒行业动态研究报告：字节Seedance2.5有望推动AIGC“质变点”,华鑫证券,2026-06-25 00:00:00.000,数字媒体,5,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=F+ZhHRiImQMLRMIdpezE4Gt5jC0Do0DH1VjnTfDHYc4=,https://pdf.dfcfw.com/pdf/H3_AP202606241823814539_1.pdf
IP经济新范式：从流量符号到长效资产，万亿赛道重构商业逻辑,深圳汉鼎智库咨询服务,2026-06-23 00:00:00.000,数字媒体,5,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=eJi1KfnPSzsOqK/d1hQ6dOyjW5m7mTTto0mGH83iFkI=,https://pdf.dfcfw.com/pdf/H3_AP202606231823766261_1.pdf
2026年中国AI视频生成模型行业概览：人工智能，使好莱坞为之轰动（精华版）,头豹研究院,2026-06-22 00:00:00.000,数字媒体,11,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=LEQv2ymTYUNBSRHOL1dcqgaWRl3V/35iKCLx/CCfRdo=,https://pdf.dfcfw.com/pdf/H3_AP202606221823744529_1.pdf
传媒：暑期档影片储备丰富，档期表现值得期待,中邮证券,2026-06-18 00:00:00.000,数字媒体,3,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=ObjnBE3LxTv7iqsqRKQSbx6MQ65FocWmd4vY83BuL2k=,https://pdf.dfcfw.com/pdf/H3_AP202606171823644617_1.pdf
传媒：AI短剧供给格局优化，优质头部厂商有望受益,中邮证券,2026-06-17 00:00:00.000,数字媒体,3,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=ObjnBE3LxTv7iqsqRKQSb+q0x4RH2XaIdgdeGquQOZM=,https://pdf.dfcfw.com/pdf/H3_AP202606171823622821_1.pdf
