研报名称,机构名称,发布时间,行业,页数,网页链接,PDF直链
消费行业快评报告：《扩大消费“十五五”规划》落地，长效机制打开新空间,万联证券,2026-07-15 00:00:00.000,旅游零售Ⅱ,3,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=M/CSFlRTQdMo1SFC0EFZSx4erYdQx3bSm38KPVcG9Z8=,https://pdf.dfcfw.com/pdf/H3_AP202607151826979121_1.pdf
2026年中国旅游消费研究报告,硕远咨询,2026-07-12 00:00:00.000,旅游零售Ⅱ,24,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=4setjouJ214gX8Re7X69psknHfJWtHqjS3hP3um1aNs=,https://pdf.dfcfw.com/pdf/H3_AP202607121826913197_1.pdf
2026年中国入境旅游研究报告,硕远咨询,2026-07-03 00:00:00.000,旅游零售Ⅱ,27,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=lfCg5GuIRBDoKH/4GRaxX0IyAjiM4ZM/TTpZWZh5Gjk=,https://pdf.dfcfw.com/pdf/H3_AP202607031826686465_1.pdf
2026年中期社会服务行业投资策略报告：行到水穷处，坐看云起时,万联证券,2026-06-26 00:00:00.000,旅游零售Ⅱ,24,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=w2NNQ6TFDBV7T5E2D8Y77tUCZWDW5GhAy0aJMjPqO30=,https://pdf.dfcfw.com/pdf/H3_AP202606261824727485_1.pdf
2026年在线旅游平台用户洞察研究报告,艾瑞股份,2026-06-21 00:00:00.000,旅游零售Ⅱ,33,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=svHcicKcG+Np1VgQVFF95s6z1ELOgmxRfrcDuU+d4f4=,https://pdf.dfcfw.com/pdf/H3_AP202606211823705843_1.pdf
中国银发经济市场概览：银发经济“加快崛起”，文旅市场“热辣滚烫”,头豹研究院,2026-05-25 00:00:00.000,旅游零售Ⅱ,22,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=yAxnM+X7+cNkaz6/iJZO1KKGsfaDMlLIzRZN0zlozAc=,https://pdf.dfcfw.com/pdf/H3_AP202605251822860998_1.pdf
商贸零售行业跟踪周报：五一假期出行增速放缓，关注景气度高的细分领域,东吴证券,2026-05-10 00:00:00.000,旅游零售Ⅱ,8,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=XAM9YcCVxAJdkwQFrA2Jh/kiPHUCcqipfu/Xq2WMCwE=,https://pdf.dfcfw.com/pdf/H3_AP202605101822129111_1.pdf
旅游行业2026年五一黄金周数据快评报告：五一假期入境游高增，体验消费升温,万联证券,2026-05-08 00:00:00.000,旅游零售Ⅱ,2,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=Vzxb5dV9nZa96IsXVdMsLgnqHLJSn8eU6Q9f5XI7kFk=,https://pdf.dfcfw.com/pdf/H3_AP202605081822076288_1.pdf
旅游综合行业事项点评：26年五一假期点评：出游人次增速放缓，拼假利好跨省长线游,信达证券,2026-05-08 00:00:00.000,旅游零售Ⅱ,12,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=Vzxb5dV9nZa96IsXVdMsLjzZib/A6R0Bt3oCUY1zLkU=,https://pdf.dfcfw.com/pdf/H3_AP202605081822056822_1.pdf
商贸零售行业跟踪周报：商社行业各板块26Q1业绩总结,东吴证券,2026-05-04 00:00:00.000,旅游零售Ⅱ,17,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=zbD6oIZJZXjJlPnE3BOSDxsfkK5J9JM3H0BaGNwefYE=,https://pdf.dfcfw.com/pdf/H3_AP202605041821959534_1.pdf
体育行业专题：锚定七万亿产业目标，掘金赛事经济商业潜力,中银证券,2026-04-27 00:00:00.000,旅游零售Ⅱ,19,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=I0G8zgsN1iSKizHA2BNZ6FUEYTi/L1d3cMo1Nvwj+q0=,https://pdf.dfcfw.com/pdf/H3_AP202604271821601228_1.pdf
商贸零售行业跟踪周报：26Q1奢侈品集团业绩总览：亚太地区环比改善，美洲地区增长强劲,东吴证券,2026-04-27 00:00:00.000,旅游零售Ⅱ,8,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=I0G8zgsN1iSKizHA2BNZ6LegPyjFmP/fOtyq127GhAg=,https://pdf.dfcfw.com/pdf/H3_AP202604271821597838_1.pdf
海南旅游目的地型购物中心发展白皮书：展商旅融合，打造旅游目的地型购物中心,安永(中国)企业咨询,2026-04-16 00:00:00.000,旅游零售Ⅱ,24,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=yf320Ezqkk1hPscoJhu0ureGvtov8ZArxJm1CHsEnoM=,https://pdf.dfcfw.com/pdf/H3_AP202604151821247445_1.pdf
