研报名称,机构名称,发布时间,行业,页数,网页链接,PDF直链
消费行业之纺织服装ESG专题报告：技术与供应链重构，关注纺服低碳转型,上海证券,2026-07-17 00:00:00.000,服装家纺,17,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=Iw5DNwlhd8IJIl0kgC6mQIxzBgpM9RcMxVP45pvU6yA=,https://pdf.dfcfw.com/pdf/H3_AP202607171827042877_1.pdf
纺织服装2026中报前瞻暨中期策略：拨开叙事迷雾，捕捉价值拐点,国信证券,2026-07-15 00:00:00.000,服装家纺,55,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=M/CSFlRTQdMo1SFC0EFZS70znrp+NnetlTTw7Le9sWA=,https://pdf.dfcfw.com/pdf/H3_AP202607151826980787_1.pdf
中国企业置装白皮书：2026团服职业装采购指南,中国纺织信息中心,2026-07-09 00:00:00.000,服装家纺,68,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=LZ0shobpeEbFaV0MmHKb1XFbZCHTJ3Wm/t394az5URo=,https://pdf.dfcfw.com/pdf/H3_AP202607091826833152_1.pdf
运动服饰行业：2Q26整体流水表现环比减弱，聚焦下半年趋势反转的可能性,浦银国际证券,2026-07-08 00:00:00.000,服装家纺,3,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=zvBpmt7iWF2+iLsmGuoe+JkA9mIm9QIPfYYloPYxj+w=,https://pdf.dfcfw.com/pdf/H3_AP202607081826818974_1.pdf
纺织服装行业周报：耐克公布FY2026年度业绩，预计FY2027Q1营收下降但毛利率改善,山西证券,2026-07-07 00:00:00.000,服装家纺,17,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=h8pjiSxToq3UPqquKvFq3vd2fGLUAngHaP/WeQ2uUXc=,https://pdf.dfcfw.com/pdf/H3_AP202607071826763302_1.pdf
纺织服装海外跟踪系列七十五：耐克FY2026关税返还带动利润端改善，毛利率修复有望提前至FY27Q1,国信证券,2026-07-02 00:00:00.000,服装家纺,8,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=e8uG6eiIVZW0nwiqzAxJqoEsO7impN9Vkr1zqjZsquY=,https://pdf.dfcfw.com/pdf/H3_AP202607021826660248_1.pdf
新消费时代下的大机遇系列报告二：热潮褪去后的核心竞争力是什么？潮玩经济：短期流行符号还是长期平台生意？,中银证券,2026-07-01 00:00:00.000,服装家纺,61,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=fTCRDmv+6Cmy8a+mlj7u5LMyKk+XMdFvpwWqsqTd63g=,https://pdf.dfcfw.com/pdf/H3_AP202607011826630345_1.pdf
纺服行业2026年618大促点评：细分运动户外和轻奢本土品牌排名跃升，高端消费延续高景气,国信证券,2026-06-24 00:00:00.000,服装家纺,5,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=F+ZhHRiImQMLRMIdpezE4A2enLUdc7+QPS1fOQU+Zpk=,https://pdf.dfcfw.com/pdf/H3_AP202606241823796325_1.pdf
「连衣裙」2026年5月市场报告,蔚云出海(广州)企业咨询,2026-06-23 00:00:00.000,服装家纺,14,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=eJi1KfnPSzsOqK/d1hQ6dPXH4XHL3hfKK8umAjSZEDE=,https://pdf.dfcfw.com/pdf/H3_AP202606231823779117_1.pdf
纺织服装6月投资策略：服装社零增长凸显韧性，纺织原料价格回落,国信证券,2026-06-22 00:00:00.000,服装家纺,21,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=LEQv2ymTYUNBSRHOL1dcqudlAZNPuxHfrfL8q2TvwPA=,https://pdf.dfcfw.com/pdf/H3_AP202606221823721101_1.pdf
