研报名称,机构名称,发布时间,行业,网页链接,PDF直链
化工行业5月月报：美伊达成停火协议，油价回落,金融街证券,2026-06-23 00:00:00.000,橡胶,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=eJi1KfnPSzsOqK/d1hQ6dCKzjhETKZSgj4ztvwot7Wg=,https://pdf.dfcfw.com/pdf/H3_AP202606231823758216_1.pdf
化工2026年度策略报告：成长与分红并重，价值再发现,信达证券,2025-12-05 00:00:00.000,橡胶,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=n7nJfCwswMFw7o3AYPvXNI2t0lnL3SZk8qQsz7MX8ug=,https://pdf.dfcfw.com/pdf/H3_AP202512051794564805_1.pdf
化工行业周报：本周液氯、环氧氯丙烷、硫磺、丙烯酸丁酯等产品涨幅居前,民生证券,2025-09-16 00:00:00.000,橡胶,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=olS04kkrGbFJNAb6wcvN/f6CPZOagIiy14o/7nVf5Rg=,https://pdf.dfcfw.com/pdf/H3_AP202509161744829797_1.pdf
化工行业点评报告：多家轮胎企业发布涨价通知，看好轮胎企业利润修复,民生证券,2025-09-08 00:00:00.000,橡胶,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=Va9AcegGEKJlDqdYQoS8rKw8ZVt1fGnfkNIJxzpsed8=,https://pdf.dfcfw.com/pdf/H3_AP202509081740351986_1.pdf
轮胎行业专题报告（2025年7月）：美国进口需求稳健，赛轮液体黄金轮胎登陆越南市场,信达证券,2025-08-13 00:00:00.000,橡胶,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=E1exjWay8Kob2J65hJtOlDTeO34JtZrs/Yli4e43Mk8=,https://pdf.dfcfw.com/pdf/H3_AP202508131726640915_1.pdf
轮胎行业专题报告（2025年5月）：原材料价格继续下降，赛轮印尼、墨西哥工厂首胎下线,信达证券,2025-06-06 00:00:00.000,橡胶,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=qX293q9C0Tz7A/hUB7QO+VaJG/5cQowtsYL0pFpV8ZA=,https://pdf.dfcfw.com/pdf/H3_AP202506061685882731_1.pdf
对等关税对烯烃产业链影响：乙烷/丙烷裂解承压,信达证券,2025-05-19 00:00:00.000,橡胶,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=Lqttxaolv/jR4Mu0VE82uL+cVLYY/ywxrfnS9dn1ks8=,https://pdf.dfcfw.com/pdf/H3_AP202505191675534093_1.pdf
化工行业：溴素、六氟丙烯、双季戊四醇价格明显上行，建议关注后续变化,信达证券,2025-03-30 00:00:00.000,橡胶,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=KovjDkTM7tOhDuc5WNLlErNSa/WTt4qH1P6mXdN3jPQ=,https://pdf.dfcfw.com/pdf/H3_AP202503291649036778_1.pdf
化工行业周报：制冷剂等价格上行，山东发文布局精细化工产业发展,信达证券,2024-12-29 00:00:00.000,橡胶,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=x0JrHPHznZO/BkOFoEkd2S6P4KDxWZd4BBM21Ez8jmo=,https://pdf.dfcfw.com/pdf/H3_AP202412271641457398_1.pdf
化工行业周报：顺酐、丙烯酸等涨幅居前，四部门联合印发原材料工业相关文件,信达证券,2024-12-21 00:00:00.000,橡胶,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=eryOTsfbLuRzvRDuEzB6sCNjYRKXTG/GgsKyNP8F5GQ=,https://pdf.dfcfw.com/pdf/H3_AP202412211641388791_1.pdf
