研报名称,机构名称,发布时间,行业,研报地址
整车主线周报：尊界双MPV预售，本周SW摩托车及其他板块表现较好,东吴证券,2026-06-29 00:00:00.000,汽车服务,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=sNXHRqYfuq/YK3RNBqVl9PWtFUV05xImR1s51JfCITo=
汽车行业点评：尊界S800典藏大观引领中国汽车向超高端突破,太平洋,2026-06-26 00:00:00.000,汽车服务,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=w2NNQ6TFDBV7T5E2D8Y77nP6ElBJV7xUMWnZ/J1xiaU=
FSD V14：国产智驾的Grok时刻,太平洋,2026-06-26 00:00:00.000,汽车服务,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=w2NNQ6TFDBV7T5E2D8Y77vWNZFcuv0e5eo1xF62yhO4=
市场洞察：2025年中国Robotaxi最新动态追踪-从试点验证到全域运营的产业跃迁之路,头豹研究院,2026-06-26 00:00:00.000,汽车服务,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=w2NNQ6TFDBV7T5E2D8Y77ljodxblWozx9JaoKyd9ZS0=
汽车行业点评报告：2026年新能源车下乡重磅开启，内需逐步回暖可期,开源证券,2026-06-21 00:00:00.000,汽车服务,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=svHcicKcG+Np1VgQVFF95gEtGu4jAjIXcpV5cK5smxI=
2025年全球及中国智能座舱显示行业研究报告,头豹研究院,2026-06-15 00:00:00.000,汽车服务,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=fT7MG3z99qslJnEoDmwZDNleQO0BO/iT9fhUWfD9nCI=
2026年智能网联汽车行业深度分析报告,深圳市中投顾问,2026-05-28 00:00:00.000,汽车服务,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=rmuxYk/8kah+Ec3RizjA1Ny8QUWXrUJQSPAXuQ+rw9Y=
2026年3月全国二手车市场深度分析,中国汽车流通协会,2026-05-20 00:00:00.000,汽车服务,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=ghB/U6yU9Yq8Vt9aUyx3xJEzI7q9RemhOsc45C2Hygg=
中国无人驾驶商用车应用分析：多场景落地，技术革新引领行业新篇章,头豹研究院,2026-05-12 00:00:00.000,汽车服务,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=EZKzOIyOfPXOY/mOkPf0GCTsRD5vtkLFmiE/g7E47TA=
特斯拉专题研究系列三十五：人形机器人预计年中发布，FSD加速渗透,国信证券,2026-05-07 00:00:00.000,汽车服务,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=Wq+NxWAWJ26bvphenTnhbArQe11be8HjCW6wPkAWHYw=
2026年北京车展展前指南,广州威尔森信息科技,2026-04-26 00:00:00.000,汽车服务,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=HOMdg2q4xafXz13pJxyBRIt9YRiupbT2w+Nd6Eubuw8=
中国租车行业年度报告2025,Fastdata极数,2026-04-22 00:00:00.000,汽车服务,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=OM4JsKFQGnDmAB23hCDvZyEZA0PxxDIo9mNs236eFp0=
2026年特斯拉企业深度研究报告：技术革新、市场扩张与财务前景,先见AI,2026-04-21 00:00:00.000,汽车服务,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=OM4JsKFQGnDmAB23hCDvZ4vOec5U90EtXfS80L4ve7U=
