研报名称,机构名称,发布时间,行业,页数,网页链接,PDF直链
汽车行业周报：厂商竞逐规模扩张，高阶智驾快速成长,国元证券,2026-07-13 00:00:00.000,汽车零部件,12,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=JcOg0ZZaus+iKTIiCp+KLX64Qz9vV1l3D2cANdjCdxQ=,https://pdf.dfcfw.com/pdf/H3_AP202607131826923170_1.pdf
汽车零部件&机器人&缺电主线周报：Optimus V3初步定型，Meta首建其加拿大数据中心,东吴证券,2026-07-13 00:00:00.000,汽车零部件,29,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=4setjouJ214gX8Re7X69pjV6Aq/dT0koTYIP64E6awM=,https://pdf.dfcfw.com/pdf/H3_AP202607121826914159_1.pdf
智能汽车主线周报：易控智驾港交所上市，看好智能化,东吴证券,2026-07-13 00:00:00.000,汽车零部件,17,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=JcOg0ZZaus+iKTIiCp+KLWDzcO53JZZ3smwRjy60Kd4=,https://pdf.dfcfw.com/pdf/H3_AP202607131826921704_1.pdf
汽车行业周报：特斯拉Optimus周产节奏明确，机器人最佳布局节点已至,华鑫证券,2026-07-13 00:00:00.000,汽车零部件,40,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=JcOg0ZZaus+iKTIiCp+KLdyCThrgOIxf+mU2iciKk5s=,https://pdf.dfcfw.com/pdf/H3_AP202607131826918798_1.pdf
汽车行业周报：数据中心行业高增推升液冷需求，核心部件泵空间广,开源证券,2026-07-12 00:00:00.000,汽车零部件,19,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=4setjouJ214gX8Re7X69psVLhSqwg7lRypHj+7ZJPQo=,https://pdf.dfcfw.com/pdf/H3_AP202607121826912312_1.pdf
汽车智能座舱行业分析报告,武汉问渠汇知信息科技,2026-07-12 00:00:00.000,汽车零部件,27,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=4setjouJ214gX8Re7X69poW4xfEUOEvwSRnN2dL9r/o=,https://pdf.dfcfw.com/pdf/H3_AP202607121826913200_1.pdf
市场洞察：新能源故事之后，具身智能成车企新的增长曲线？,头豹研究院,2026-07-10 00:00:00.000,汽车零部件,8,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=F6IVvWrQaTYYJ+d9R8Zkdqyr8BbCCE5IKdck9YhuFYg=,https://pdf.dfcfw.com/pdf/H3_AP202607101826880055_1.pdf
汽车行业深度报告：从宇树科技看国内整机及供应链投资机会（一）-全球通用机器人龙头，争做硬件生态第一流,华鑫证券,2026-07-10 00:00:00.000,汽车零部件,47,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=F6IVvWrQaTYYJ+d9R8ZkdjYbZopkn2s/mPbEHpTONJY=,https://pdf.dfcfw.com/pdf/H3_AP202607101826875039_1.pdf
重卡全球化专题：非洲重卡市场扩张，欧系二手退潮，看好中国重卡车企出海发展,东吴证券,2026-07-10 00:00:00.000,汽车零部件,57,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=F6IVvWrQaTYYJ+d9R8Zkdl8ILz/BRqnBW2fubSFlAfc=,https://pdf.dfcfw.com/pdf/H3_AP202607101826871626_1.pdf
中国乘用车市场价格趋势洞察（2026）,汽车之家,2026-07-10 00:00:00.000,汽车零部件,27,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=F6IVvWrQaTYYJ+d9R8ZkdnJEzgHC6Ais8nlpPmuPfy4=,https://pdf.dfcfw.com/pdf/H3_AP202607101826859008_1.pdf
电动汽车驱动系统关键技术,驱动视界(北京)技术,2026-07-09 00:00:00.000,汽车零部件,22,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=LZ0shobpeEbFaV0MmHKb1aqdMzBa+jjKoqToTg+IruA=,https://pdf.dfcfw.com/pdf/H3_AP202607091826832432_1.pdf
汽车电子水泵行业深度分析报告：2026年市场洞察与未来展望,武汉问渠汇知信息科技,2026-07-08 00:00:00.000,汽车零部件,27,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=zvBpmt7iWF2+iLsmGuoe+LOxBUGBgQuhDHPIDM5xEhU=,https://pdf.dfcfw.com/pdf/H3_AP202607081826790361_1.pdf
汽车行业2026年中期投资策略：汽车出海+智能化提速，机器人应用场景加快落地,上海证券,2026-07-08 00:00:00.000,汽车零部件,23,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=zvBpmt7iWF2+iLsmGuoe+I9lxS0w6XNdeTViUWVcLRM=,https://pdf.dfcfw.com/pdf/H3_AP202607081826814635_1.pdf
2026年6月中国汽车保值率报告,中国汽车流通协会,2026-07-08 00:00:00.000,汽车零部件,30,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=zvBpmt7iWF2+iLsmGuoe+CczVTJl37940zvzgfM0Hu0=,https://pdf.dfcfw.com/pdf/H3_AP202607081826790411_1.pdf
汽车与零部件行业周报：宇树科创板IPO获证监会同意，6月全国乘用车厂商新能源批发预计同/环比均两位数增长,上海证券,2026-07-07 00:00:00.000,汽车零部件,3,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=h8pjiSxToq3UPqquKvFq3hXYa+YlscU9Yac2coNy1D8=,https://pdf.dfcfw.com/pdf/H3_AP202607071826771039_1.pdf
