研报名称,机构名称,发布时间,行业,页数,网页链接,PDF直链
交通运输行业周报：高速公路行业货运客运平稳运行，高股息防御属性凸显,中银证券,2026-07-20 00:00:00.000,物流,26,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=4PqOz2Xj2NJxO5S/+q3G3UMgozpH1E1N3KI+2iUbjDA=,https://pdf.dfcfw.com/pdf/H3_AP202607201827129867_1.pdf
交通运输产业行业周报：避险情绪推高红利板块，航空快递发布6月经营数据,国金证券,2026-07-20 00:00:00.000,物流,18,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=4PqOz2Xj2NJxO5S/+q3G3bvAPJkjaqYpy55Ygotx5+E=,https://pdf.dfcfw.com/pdf/H3_AP202607201827125722_1.pdf
交通运输行业周报：圆通发布AI应用，油运再受地缘扰动,华源证券,2026-07-13 00:00:00.000,物流,17,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=JcOg0ZZaus+iKTIiCp+KLSiNoxQoi2nv4NTLmD+4hQg=,https://pdf.dfcfw.com/pdf/H3_AP202607131826919951_1.pdf
交通运输行业周报：暑运首周客座率逆势提升，旺季后移打开航司收益修复窗口,中银证券,2026-07-12 00:00:00.000,物流,25,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=4setjouJ214gX8Re7X69puKwyhxm8HSG2ndUoHU+oNw=,https://pdf.dfcfw.com/pdf/H3_AP202607121826913560_1.pdf
交通运输产业行业研究：暑运第二周客流改善，多家公司发布业绩预告,国金证券,2026-07-12 00:00:00.000,物流,18,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=4setjouJ214gX8Re7X69pi9f4G4S8YeL9rhL+lP5KIg=,https://pdf.dfcfw.com/pdf/H3_AP202607121826912761_1.pdf
交通运输行业周报：霍尔木兹海峡通行低位修复，持续关注油运板块投资机会,中银证券,2026-07-07 00:00:00.000,物流,25,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=h8pjiSxToq3UPqquKvFq3u7RVCRdl//i9qTizNApRhw=,https://pdf.dfcfw.com/pdf/H3_AP202607071826762735_1.pdf
交通运输产业行业研究：圆通业绩预告超预期，暑运开局较平淡,国金证券,2026-07-06 00:00:00.000,物流,18,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=jocpIJdi6Q/y/MTw/2H7SiWHq7hD2zt5RM/WNWf7Lvk=,https://pdf.dfcfw.com/pdf/H3_AP202607061826734914_1.pdf
交通运输行业周报：民航暑运开启，海湾油运通行量提升,华源证券,2026-07-06 00:00:00.000,物流,17,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=jocpIJdi6Q/y/MTw/2H7SnjdJzsPeDj4seARTSepmHs=,https://pdf.dfcfw.com/pdf/H3_AP202607061826743365_1.pdf
交通运输行业周报：关注海峡通行带来的油运投资机会，快递5月需求有所回暖,国信证券,2026-06-30 00:00:00.000,物流,17,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=pbgGimF6GIUsJi/NFvqdc/j5lfWRjMSdWxyTazEry54=,https://pdf.dfcfw.com/pdf/H3_AP202606301826606225_1.pdf
中国储能出口全景分析白皮书,上海特易信息科技,2026-06-30 00:00:00.000,物流,43,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=pbgGimF6GIUsJi/NFvqdc33dJQvBR0CY1KGKQPozRtY=,https://pdf.dfcfw.com/pdf/H3_AP202606301826563537_1.pdf
