研报名称,机构名称,发布时间,行业,页数,网页链接,PDF直链
水电行业点评：关注来水与利差走势 重申水电中长期配置价值,华源证券,2026-07-05 00:00:00.000,电力,3,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=935YUm5WfXPZuBgIz87FLu76dVhzZx/y3D5lDIixCqA=,https://pdf.dfcfw.com/pdf/H3_AP202607051826728221_1.pdf
公用事业行业研究：利与红利的优选，量利双升的水电,国金证券,2026-07-05 00:00:00.000,电力,13,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=935YUm5WfXPZuBgIz87FLtMcPNAmW972gzWpRkyvIjk=,https://pdf.dfcfw.com/pdf/H3_AP202607051826728218_1.pdf
"公用事业行业跟踪周报：""十五五""新型能源体系建设规划正式印发，全国首笔输电权交易落地",东吴证券,2026-07-01 00:00:00.000,电力,21,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=fTCRDmv+6Cmy8a+mlj7u5O0gs+ns2VHRUDxSJBgcTqA=,https://pdf.dfcfw.com/pdf/H3_AP202607011826621736_1.pdf
大能源行业2026年第25周周报：1-5月风光新增装机增速回落，800VDC顺利推进,华源证券,2026-06-28 00:00:00.000,电力,13,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=w/NB8TOq3B38ISJrYF46i0YZhB/CH7MTuxzTthpI/DQ=,https://pdf.dfcfw.com/pdf/H3_AP202606281826515152_1.pdf
公用事业行业研究：可再生能源考核非电，水电火电景气度向上,国金证券,2026-06-28 00:00:00.000,电力,11,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=w/NB8TOq3B38ISJrYF46i55OjZ1L487h8iiof2sCPqY=,https://pdf.dfcfw.com/pdf/H3_AP202606281826514695_1.pdf
公用事业：《新型能源体系建设“十五五”规划》政策解读-新型能源体系建设“十五五”规划发布多环节或受益,华源证券,2026-06-28 00:00:00.000,电力,3,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=Yh5OjwBtDn6DxByG8IbUmk44wNvnUGoDm8RZVb/m+ik=,https://pdf.dfcfw.com/pdf/H3_AP202606271826509193_1.pdf
《可再生能源消费最低比重目标和可再生能源电力消纳责任权重制度实施办法》政策解读：非电消费首次纳入考核 促进绿电消纳及绿色燃料发展,华源证券,2026-06-25 00:00:00.000,电力,3,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=RWyjWuYit9o0p2O5Ru2r6GRfEtCrw5F1uBTYWDbU1IM=,https://pdf.dfcfw.com/pdf/H3_AP202606251823839864_1.pdf
公用环保行业202606第3期：1-5月全社会用电量累计4.2万亿千瓦时（+5.7%），五部门发布联合开展重点行业节能降碳改造攻坚三年行动,国信证券,2026-06-24 00:00:00.000,电力,30,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=F+ZhHRiImQMLRMIdpezE4B5FLvS3k4YgK0r7nDQMFMM=,https://pdf.dfcfw.com/pdf/H3_AP202606241823794051_1.pdf
虚拟电厂助力零碳园区建设方案,南京宝能智慧能源,2026-06-22 00:00:00.000,电力,33,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=LEQv2ymTYUNBSRHOL1dcqotSuPU+I7Y+6Gz0hHxhvhs=,https://pdf.dfcfw.com/pdf/H3_AP202606221823746140_1.pdf
公用事业行业跟踪周报：煤电行业推动节能降碳改造，内蒙古电力交易中心成为中国第四家绿证交易平台,东吴证券,2026-06-22 00:00:00.000,电力,22,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=LEQv2ymTYUNBSRHOL1dcqlGmUB9kfotB9/EY/SKrXBc=,https://pdf.dfcfw.com/pdf/H3_AP202606221823739446_1.pdf
算电协同：能源与算力发展新范式,华源证券,2026-06-22 00:00:00.000,电力,35,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=LEQv2ymTYUNBSRHOL1dcqg0a64a3y37M8nDyZuAWChk=,https://pdf.dfcfw.com/pdf/H3_AP202606221823730514_1.pdf
公用事业行业研究：发用电量高增延续，关注火电价值重估,国金证券,2026-06-22 00:00:00.000,电力,14,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=LEQv2ymTYUNBSRHOL1dcqrKAlrFeDCMx0CI0qK6xGPI=,https://pdf.dfcfw.com/pdf/H3_AP202606221823720263_1.pdf
大能源行业2026年第24周周报：5月用电量延续高增关注小堆（SMR）和光伏高功率组件发展机遇,华源证券,2026-06-21 00:00:00.000,电力,13,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=svHcicKcG+Np1VgQVFF95pcr8w88zCc/YtzgvphubUI=,https://pdf.dfcfw.com/pdf/H3_AP202606211823711985_1.pdf
电力行业：国家发改委回应大规模投建算力网事件点评：关注算电协同机会,东莞证券,2026-06-21 00:00:00.000,电力,2,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=svHcicKcG+Np1VgQVFF95ljenw0IBPtVRbwUL1BiFQs=,https://pdf.dfcfw.com/pdf/H3_AP202606211823705850_1.pdf
公用环保202606第2期：国家发改委印发《生态保护修复领域中央预算内投资专项管理办法》，水规总院发布《中国可再生能源发展报告2025年度》等报告,国信证券,2026-06-17 00:00:00.000,电力,32,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=ObjnBE3LxTv7iqsqRKQSb23RZ1ucxEZSsJzu4fbYVZ8=,https://pdf.dfcfw.com/pdf/H3_AP202606171823620150_1.pdf
公用事业行业跟踪周报：首个省级多用户绿电直连政策落地，推动新能源重卡规模化应用实施方案印发,东吴证券,2026-06-15 00:00:00.000,电力,21,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=fT7MG3z99qslJnEoDmwZDCEVBLcSlqydlz2ZLwlPxXc=,https://pdf.dfcfw.com/pdf/H3_AP202606151823560467_1.pdf
大能源行业2026年第23周周报：关注华东华南电力供需形势AI浪潮重构MLCC供需格局,华源证券,2026-06-14 00:00:00.000,电力,13,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=258OWqm3aDwZNw1gsD2XXEr7ZKNxfk0TZzbbA7TadqE=,https://pdf.dfcfw.com/pdf/H3_AP202606141823553367_1.pdf
