研报名称,机构名称,发布时间,行业,研报地址
电网&电源设备行业2026年中期投资策略：内外景气三维共振，电网出海与算力配电双轮启航,东莞证券,2026-07-02 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=e8uG6eiIVZW0nwiqzAxJqq5Cj1zTp2rJcV7Mhgu5LTI=
【新能源】新能源+AI展望（第9期）：钠电驱动储能产业重构,太平洋,2026-06-30 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=pbgGimF6GIUsJi/NFvqdc4pvmqt8tkPZE6htxyACz3k=
电力设备与新能源行业研究：AIDC系列深度（五）-固态变压器（SST）：商业化加速落地，电网设备公司跑步入场,国金证券,2026-06-15 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=fT7MG3z99qslJnEoDmwZDM1NWhBEJY93bpesFUhNYi8=
锂电储能产业链双周报（2026年6月第1期）：SNEC展储能订单不断，AIDC储能蓬勃发展,国信证券,2026-06-14 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=258OWqm3aDwZNw1gsD2XXIlV8+231f9JARrW822Ih40=
电力设备行业：近期风电招中标情况更新,国新证券股份,2026-06-12 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=9wL7sdiwmb9ura8s29RbpcS2s1DVcd/C9V17FOsTKhs=
电力设备与新能源行业研究：SNEC2026总结：从功率竞赛走向场景定义,国金证券,2026-06-11 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=I10xowZ3FwwJIx4ad/6rbIJi8S7xXhScmsJcOGu6wYs=
新能源+AI展望（第7期）：重视新技术、新市场,太平洋,2026-05-26 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=ezwMyDfKd2WUFgzUwL6wAT+xlrcrWOc4S1d9hqWdQ/w=
台区储能深度介绍,聚领科技江苏,2026-05-20 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=ghB/U6yU9Yq8Vt9aUyx3xKOm82kdpbTCVgLDqwqqc1Q=
中国工业微电网发展白皮书,中国化学与物理电源行业协会,2026-05-14 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=LBIS7bPRbuARj1Q2LOK57dlhyAOmkydFRTybr5sRZsQ=
电力设备与新能源行业研究：电网板块业绩总结：典型HALO资产，海外高增延续、国内预期修复,国金证券,2026-05-05 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=L1lRXMabK5Ss4XKsaKCfc4CcSkMD1xJxA6MHu0Crqqg=
2026年电网设备出海行业词条报告,头豹研究院,2026-04-20 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=lw61vATgV5jkMKNq7hii78KlIfYz98bcUlTMDvv07uI=
深圳供电局超导电缆示范工程介绍：全球首个应用于城市中心高供电可靠性需求区域的超导电缆示范工程,中国南方电网,2026-04-19 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=QVk5BeptH2ssWz00IL1T63vskBVaN3IpfXZfltggdFg=
电力能源行业周报,英大证券,2026-04-08 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=nN1iN6tG18UYFKPyTLB7o99OY+vMAAbgNBTbiH0WgTs=
技术领跑叠加四万亿电网投资，特高压设备迎增长新周期,深圳汉鼎智库咨询服务,2026-04-01 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=Gu8QRr/fLYcAt/sGSmjl8A+bqM5Na5qQECTbZzaUq50=
2026年电网设备年度策略：电启东风苏万物，网聚能源正当时,中航证券,2026-03-27 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=+HQpsq0qvXZbuOEG3JMI5sgI/Sd8rgW+cW3E7+k9VQI=
北美光纤：北美AIDC需求释放，扩产极慢导致供需紧平衡,中邮证券,2026-03-18 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=s7nmvLweMqllj8ucx4/dSa8OFpgcTnXRkndj2ZO7akI=
能源行业2025年信用回顾与2026年展望,新世纪资信评估,2026-02-26 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=TEd3mUG928C5xLh9mxyBSwaLrfKCt4U+qlOiHlz3MbQ=
智能配电网数字孪生构建和应用关键技术研究,中国电科院双创示范中心,2026-02-11 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=1jj6tO9ONfIXGIMrgDt9lVHUnoWdNZnIiHLbUpaSE3Y=
电力设备及新能源行业之虚拟电厂专题报告：虚厂无形控千机，光涌川流绘智网,东莞证券,2026-02-10 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=fUlqncxmuBMNJXJPVFPqaFHDS4hSjWlydWTv8/HUrs4=
数据中心供配电设备行业跟踪：海外主要云厂商资本开支持续增长，DRAM价格小幅回落,爱建证券,2026-02-09 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=+b5ofXBBZ3x7mdIOZrFsa4Ny/MrkTGswOthxP0b8CgM=
