研报名称,机构名称,发布时间,行业,网页链接,PDF直链
人形机器人月报：资本化提速、量产渐近，板块行情有望延续,中航证券,2026-06-10 00:00:00.000,自动化设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=/Fnww1CLbs895+41ik+hEvSD+kTlGnVjIA8OaV7s57k=,https://pdf.dfcfw.com/pdf/H3_AP202606101823409833_1.pdf
2026版全球与中国分析仪器行业产销贸易趋势及重点国家出口研究报告,北京智研科信咨询,2026-06-05 00:00:00.000,自动化设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=bjN0bUIX4t9LuI72oEtR37q0d+FZpePxJYuSZoFY7F8=,https://pdf.dfcfw.com/pdf/H3_AP202606051823290322_1.pdf
人形机器人月报：产业催化密集，板块迎来配置良机,中航证券,2026-05-23 00:00:00.000,自动化设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=oTnALw0IwKnLe5aAuNhqScEuZtnql+rldtCjJoFNjYQ=,https://pdf.dfcfw.com/pdf/H3_AP202605231822760151_1.pdf
人形机器人周报：杭州具身条例施行，小象电动获融资,国元证券,2026-05-15 00:00:00.000,自动化设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=EQkV36KL9Px2H70dQxdoimMb0mLUpwnvx/hiAhJBUYg=,https://pdf.dfcfw.com/pdf/H3_AP202605151822333434_1.pdf
2026机器人产业引擎、赋能与未来发展蓝皮书,高维互联科技(深圳),2026-05-06 00:00:00.000,自动化设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=vK83LYxZyxfJFYh4NqvDQCSGV1tGIMr2Td82HYXKAXw=,https://pdf.dfcfw.com/pdf/H3_AP202605061821996989_1.pdf
酒店业人工智能与自动化应用报告：应对当下挑战，塑造未来价值,石基信息,2026-04-27 00:00:00.000,自动化设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=I0G8zgsN1iSKizHA2BNZ6AfBGB9mLIsi/X6HdlL2VVw=,https://pdf.dfcfw.com/pdf/H3_AP202604271821628171_1.pdf
工业智能体培育面临问题及对策建议,赛迪智库电子信息研究所,2026-04-19 00:00:00.000,自动化设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=QVk5BeptH2ssWz00IL1T64YQoDpAYnlr/ErbIUwu9MU=,https://pdf.dfcfw.com/pdf/H3_AP202604191821319670_1.pdf
人形机器人周报：强脑灵巧手亮相，千寻智能再融10亿,国元证券,2026-04-16 00:00:00.000,自动化设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=fMzmk+2oClhN0YqA7sAGfPlkTSpqSpd2XA3MAzwPS3A=,https://pdf.dfcfw.com/pdf/H3_AP202604161821251336_1.pdf
人形机器人周报：智元第10000台通用具身智能机器人下线，星海图完成近20亿元融资,国元证券,2026-04-08 00:00:00.000,自动化设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=nN1iN6tG18UYFKPyTLB7o4EMGfh8qw8kKYUGpKma0X0=,https://pdf.dfcfw.com/pdf/H3_AP202604081821065523_1.pdf
人形机器人周报：具身智能首个行业标准发布，广汽公布机器人自主换电专利,国元证券,2026-03-31 00:00:00.000,自动化设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=yox7xzf0O9dtTdxl8tZuT2yi68ScoWLs3NNue/knRyM=,https://pdf.dfcfw.com/pdf/H3_AP202603311820923517_1.pdf
人形机器人周报：国星宇航完成太空算力养虾试验，宇树科技IPO受理,国元证券,2026-03-25 00:00:00.000,自动化设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=BajIUgeK3t6I0eujD3HzAeukc8oxHyJfaNSPVtYq+ZI=,https://pdf.dfcfw.com/pdf/H3_AP202603251820735110_1.pdf
量子测量：超高精度引领仪器设备产业突破,深圳市融中信息咨询,2026-01-04 00:00:00.000,自动化设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=dvA/5mhFfjma0zHhhOhvWZYAOCrQbuZuxZj+QICS1vc=,https://pdf.dfcfw.com/pdf/H3_AP202601041814561104_1.pdf
破局与跃升！仪器仪表行业的创新之路与市场新机遇,深圳汉鼎智库咨询服务,2025-10-13 00:00:00.000,自动化设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=qfXHKU/bUZjBoEO2Hcm791e0k+u/DfUFDvhAUcuhZ0s=,https://pdf.dfcfw.com/pdf/H3_AP202510131761211447_1.pdf
从质谱&色谱看科学仪器的国产化之路,信达证券,2025-06-11 00:00:00.000,自动化设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=hHy8j6m5/Me6r52YBONYg5KQhQtf4ipsPelRuGfI4ZU=,https://pdf.dfcfw.com/pdf/H3_AP202506111688772981_1.pdf
人形机器人行业周报（第五期）：智元机器人有望迎催化，特斯拉新视频人形机器人多次出镜,国信证券,2025-03-09 00:00:00.000,自动化设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=5H1Bslm0VvzGWn+BJanj2c5vEnFuqBAx9HJE6CNHuzc=,https://pdf.dfcfw.com/pdf/H3_AP202503091644205865_1.pdf
智能仪表设备：技术前沿与广泛应用 头豹词条报告系列,头豹研究院,2025-01-20 00:00:00.000,自动化设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=cQ61hZBoYdBgqUjKrUtjLgfeF79Kddn2pt73da92T70=,https://pdf.dfcfw.com/pdf/H3_AP202501201642372987_1.pdf
中国人形机器人：因长期可预见性增强而延展目标价基础至2030年；买入三花/贝斯特；上调绿的谐波/鸣志至中性,高盛,2025-01-17 00:00:00.000,自动化设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=EVdJ3m5aSxLMcftCepB6JkKD7hWpsAAcBI58GSRA25I=,https://pdf.dfcfw.com/pdf/H3_AP202501171641961359_1.pdf
电子测量仪器产业及标准化研究报告（2024版）,中国电子技术标准化研究院,2025-01-14 00:00:00.000,自动化设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=/HnCEMJXnVQTSbNB6gvGHeTplRfkm9cl7W+ngZHc/1U=,https://pdf.dfcfw.com/pdf/H3_AP202501141641913908_1.pdf
装备制造行业周报（1月第2周）：人形机器人产量规划超预期,世纪证券,2025-01-13 00:00:00.000,自动化设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=RNR7w6Psphxa+Vc3J46BtlWdMFPR7CXf0c/JTIZ4+5c=,https://pdf.dfcfw.com/pdf/H3_AP202501131641898223_1.pdf
中国教学仪器制造行业市场规模测算逻辑模型 头豹词条报告系列,头豹研究院,2024-09-06 00:00:00.000,自动化设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=joh+QE+pffFO6Rdp8gb5FwqUT3AxgjVYqZqj6WhjVKI=,https://pdf.dfcfw.com/pdf/H3_AP202409061639780252_1.pdf
压力计：传感未来，探索压力计在智能制造中的角色与机遇 头豹词条报告系列,头豹研究院,2024-09-04 00:00:00.000,自动化设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=tdCGWdfK+3nx/IzJ67b9rSc8aT0YZR4cIU0wGouoaMk=,https://pdf.dfcfw.com/pdf/H3_AP202409041639738628_1.pdf
