研报名称,机构名称,发布时间,行业,页数,网页链接,PDF直链
非金属建材行业周观点：AI硬件基本面保持强劲，同步看好非洲出海机会,国金证券,2026-07-20 00:00:00.000,装修建材,18,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=4PqOz2Xj2NJxO5S/+q3G3QLy9SRaC1FCcu+r93d7zgE=,https://pdf.dfcfw.com/pdf/H3_AP202607201827125764_1.pdf
告别简单自动化！2026智能建筑科技，开启空间数字化新赛道,深圳汉鼎智库咨询服务,2026-07-14 00:00:00.000,装修建材,4,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=THoCdW11jQl5iiz7Fcrwt1kCLrPNH9I9AOUK9Fe9Qsw=,https://pdf.dfcfw.com/pdf/H3_AP202607141826959411_1.pdf
建筑工程前沿研究：地外建造：深空探索的战略机遇,国信证券,2026-07-10 00:00:00.000,装修建材,11,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=F6IVvWrQaTYYJ+d9R8ZkdqqgoHmEHVWQVMzAuSrTJjk=,https://pdf.dfcfw.com/pdf/H3_AP202607101826881857_1.pdf
2026全球办公空间装修成本指南,JLL,2026-07-09 00:00:00.000,装修建材,29,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=LZ0shobpeEbFaV0MmHKb1T16w2iHqWuAj5QxmxXvyrQ=,https://pdf.dfcfw.com/pdf/H3_AP202607091826831925_1.pdf
非金属建材行业周观点：继续推荐AI硬件通胀+升级方向，关注出海非洲质优低估标的,国金证券,2026-07-06 00:00:00.000,装修建材,18,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=jocpIJdi6Q/y/MTw/2H7Snn8MTZKUH6SFEob0oS4r6I=,https://pdf.dfcfw.com/pdf/H3_AP202607061826734991_1.pdf
非金属建材行业周观点：电子布上半年加速涨价，玻璃基板催化不断,国金证券,2026-06-29 00:00:00.000,装修建材,18,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=sNXHRqYfuq/YK3RNBqVl9BhOCtJNIEwUepP2yNrYuxk=,https://pdf.dfcfw.com/pdf/H3_AP202606291826522072_1.pdf
非金属建材周观点：CCL月内涨价两次，玻璃基板被反复提及,国金证券,2026-06-21 00:00:00.000,装修建材,17,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=svHcicKcG+Np1VgQVFF95vXpVkOMsR5pB4ilSaQp4Ss=,https://pdf.dfcfw.com/pdf/H3_AP202606211823711836_1.pdf
非金属建材行业新材料研究：不谈织布机，电子纱供给、薄布需求是否支持电子布价格,国金证券,2026-06-08 00:00:00.000,装修建材,10,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=JbxiMuPmNPwklumuVKyO7dttYSn0sGNeLT0dfxh1hq8=,https://pdf.dfcfw.com/pdf/H3_AP202606081823362161_1.pdf
非金属建材行业周观点：玻璃基板是重要趋势，电子布仍是上游核心材料,国金证券,2026-06-07 00:00:00.000,装修建材,17,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=1dS8OwFW4WA9Nyk/1R5SO9nf+kihYj+LOwSwxq09SKo=,https://pdf.dfcfw.com/pdf/H3_AP202606071823341518_1.pdf
非金属建材周观点：Rubin架构中PCB价值大增233%，继续推荐AI新材料,国金证券,2026-05-24 00:00:00.000,装修建材,17,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=190xdmTYsHjMb0DC+/627JMR48BkHPoukRTdLe51zas=,https://pdf.dfcfw.com/pdf/H3_AP202605241822840448_1.pdf
