研报名称,机构名称,发布时间,行业,研报地址
2026中国具身智能数据采集与数据产业发展展望,亿欧智库,2026-07-03 00:00:00.000,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=lfCg5GuIRBDoKH/4GRaxX7v6j1Ho6gYQC9c4Ulm9juQ=
2026中国具身智能数据采集与数据产业发展展望,亿欧智库,2026-07-03,计算机设备,https://pdf.dfcfw.com/pdf/H3_AP202607031826682649_1.pdf?1783070353000.pdf
计算机行业周报：豆包大模型2.1 Pro发布，海内外模型持续迭代,华龙证券,2026-06-30 00:00:00.000,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=pbgGimF6GIUsJi/NFvqdc/P1EdVdGkjjDOGmCcLuB/A=
计算机行业点评报告：Elastic（ESTC）：Q4订阅收入增长17%，AI与RPO支撑FY2027收入延续,华鑫证券,2026-06-30 00:00:00.000,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=pbgGimF6GIUsJi/NFvqdc9LV8XYDyfwNiUDVbq7Clgc=
计算机行业点评报告：Elastic（ESTC）：Q4订阅收入增长17%，AI与RPO支撑FY2027收入延续,华鑫证券,2026-06-30,计算机设备,https://pdf.dfcfw.com/pdf/H3_AP202606301826590800_1.pdf?1782839449000.pdf
计算机行业周报：豆包大模型2.1 Pro发布，海内外模型持续迭代,华龙证券,2026-06-30,计算机设备,https://pdf.dfcfw.com/pdf/H3_AP202606301826562134_1.pdf?1782806085000.pdf
计算机行业点评报告：近期可回收火箭发射窗口期，把握商业航天的产业机遇,东吴证券,2026-06-29 00:00:00.000,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=w/NB8TOq3B38ISJrYF46i22YErkC7unbxt/8ASva2Rk=
计算机行业研究：电Ram和功率半导体开启涨价潮,国金证券,2026-06-29 00:00:00.000,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=sNXHRqYfuq/YK3RNBqVl9BX/tZZfwBc7AHL/y/z2XPY=
模型、算力、FAB、设备共振计算机业研究,国金证券,2026-06-29 00:00:00.000,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=w/NB8TOq3B38ISJrYF46i/LHKgnIlTNkj/+jFL2M9Fk=
计算机行业研究：电Ram和功率半导体开启涨价潮,国金证券,2026-06-29,计算机设备,https://pdf.dfcfw.com/pdf/H3_AP202606291826522054_1.pdf?1782724096000.pdf
计算机行业点评报告：近期可回收火箭发射窗口期，把握商业航天的产业机遇,东吴证券,2026-06-29,计算机设备,https://pdf.dfcfw.com/pdf/H3_AP202606281826518035_1.pdf?1782718959000.pdf
模型、算力、FAB、设备共振计算机业研究,国金证券,2026-06-29,计算机设备,https://pdf.dfcfw.com/pdf/H3_AP202606281826515049_1.pdf?1782730663000.pdf
计算机行业研究：AI PCB上游通胀黑马：硅微粉,国金证券,2026-06-28 00:00:00.000,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=w/NB8TOq3B38ISJrYF46i2Qds/B4LXMDVitXwI2zS+Q=
计算机行业研究：AI PCB上游通胀黑马：硅微粉,国金证券,2026-06-28,计算机设备,https://pdf.dfcfw.com/pdf/H3_AP202606281826515885_1.pdf?1782673964000.pdf
计算机行业点评报告：FTAI Aviation（FTAI.O）：业绩增长强劲，航改燃业务进展顺利,华鑫证券,2026-06-26 00:00:00.000,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=w2NNQ6TFDBV7T5E2D8Y77rE/fyNnRo6yNpSAgALUWVY=
计算机行业点评报告：甲骨文：OCI高增带动Q4创新高，AI基础设施订单提升长期可见度,华鑫证券,2026-06-26 00:00:00.000,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=w2NNQ6TFDBV7T5E2D8Y77mzKfIUlqrY74ynWz9seKlY=
计算机行业点评报告：FTAI Aviation（FTAI.O）：业绩增长强劲，航改燃业务进展顺利,华鑫证券,2026-06-26,计算机设备,https://pdf.dfcfw.com/pdf/H3_AP202606261823871732_1.pdf?1782487625000.pdf
计算机行业点评报告：甲骨文：OCI高增带动Q4创新高，AI基础设施订单提升长期可见度,华鑫证券,2026-06-26,计算机设备,https://pdf.dfcfw.com/pdf/H3_AP202606261824435518_1.pdf?1782731182000.pdf
2026年中国企业级AI行业：从流程嵌入到AgenticAI协同，迈向企业级AGI的演进路径,头豹研究院,2026-06-23 00:00:00.000,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=eJi1KfnPSzsOqK/d1hQ6dIsoPMO0ieY+xkZLTHIFBu0=
2026年中国企业级AI行业：从流程嵌入到AgenticAI协同，迈向企业级AGI的演进路径,头豹研究院,2026-06-23,计算机设备,https://pdf.dfcfw.com/pdf/H3_AP202606231823777918_1.pdf?1782243554000.pdf
2024-2025年度中国安防行业调查报告,深圳市中安网络技术,2026-06-17 00:00:00.000,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=ObjnBE3LxTv7iqsqRKQSbxz4N69grSoegOsNxg/LwRU=
计算机：底座算力跃迁到token工厂的新机会,中邮证券,2026-06-17 00:00:00.000,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=ObjnBE3LxTv7iqsqRKQSb25d6dxSSnYkNaaGla5rgMo=
计算机：底座算力跃迁到token工厂的新机会,中邮证券,2026-06-17,计算机设备,https://pdf.dfcfw.com/pdf/H3_AP202606171823622830_1.pdf?1781691992000.pdf
2024-2025年度中国安防行业调查报告,深圳市中安网络技术,2026-06-17,计算机设备,https://pdf.dfcfw.com/pdf/H3_AP202606171823641185_1.pdf?1781726840000.pdf
硅电容专题报告：MLCC进阶方案，渗透率有望迅速提升,国信证券,2026-06-16 00:00:00.000,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=DFBMkX5WIiTdr8VSVb2JHyTSV69AOLVXZMam0FziTnk=
硅电容专题报告：MLCC进阶方案，渗透率有望迅速提升,国信证券,2026-06-16,计算机设备,https://pdf.dfcfw.com/pdf/H3_AP202606161823589199_1.pdf?1781601642000.pdf
计算机行业研究：国产FAB历史机遇期,国金证券,2026-06-07 00:00:00.000,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=1dS8OwFW4WA9Nyk/1R5SO4Ea3gsd1PFrLGOVOjr6WmA=
计算机行业研究：国产FAB历史机遇期,国金证券,2026-06-07,计算机设备,https://pdf.dfcfw.com/pdf/H3_AP202606071823341517_1.pdf?1780850851000.pdf
从算力到词元AI商业化新阶段,国新证券股份,2026-06-05 00:00:00.000,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=bjN0bUIX4t9LuI72oEtR3573RCvJecEzN7qEThalCAw=
「平板电脑」2026年5月市场报告,蔚云出海(广州)企业咨询,2026-06-05 00:00:00.000,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=bjN0bUIX4t9LuI72oEtR3w/bCKMPugsUu6UOACM/0EQ=
「平板电脑」2026年5月市场报告,蔚云出海(广州)企业咨询,2026-06-05,计算机设备,https://pdf.dfcfw.com/pdf/H3_AP202606051823294313_1.pdf?1780680127000.pdf
从算力到词元AI商业化新阶段,国新证券股份,2026-06-05,计算机设备,https://pdf.dfcfw.com/pdf/H3_AP202606051823271651_1.pdf?1780644833000.pdf
中国端侧大模型行业研究：算力优化与效率革命如何重塑行业生态,头豹研究院,2026-05-29 00:00:00.000,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=bsQe8BCnoZKeqsWeLQmz+OJAf7/4pO4r7bSAJcIvvew=
中国人工智能与空间智能：驾驭双浪认知超级周期,建银国际证券,2026-05-29 00:00:00.000,计算机设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=bsQe8BCnoZKeqsWeLQmz+DhKFNLmstkruiDpLuwDqFg=
中国端侧大模型行业研究：算力优化与效率革命如何重塑行业生态,头豹研究院,2026-05-29,计算机设备,https://pdf.dfcfw.com/pdf/H3_AP202605291823028276_1.pdf?1780083661000.pdf
中国人工智能与空间智能：驾驭双浪认知超级周期,建银国际证券,2026-05-29,计算机设备,https://pdf.dfcfw.com/pdf/H3_AP202605291823027664_1.pdf?1780084560000.pdf
