研报名称,机构名称,发布时间,行业,网页链接,PDF直链
耐用消费行业研究：滔搏FY27Q1零售业务表现较优，618美护AI显著降本增效,国金证券,2026-06-28 00:00:00.000,贸易Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=w/NB8TOq3B38ISJrYF46i99rEEWb+eGxHhejauS1pE4=,https://pdf.dfcfw.com/pdf/H3_AP202606281826515121_1.pdf
批发和零售贸易行业研究：板块调整到位，关注二季度绩优龙头,国金证券,2026-06-28 00:00:00.000,贸易Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=w/NB8TOq3B38ISJrYF46i93LsmyR6GPfm39SqpFzuIk=,https://pdf.dfcfw.com/pdf/H3_AP202606281826514745_1.pdf
贸易行业运行分析（2026年5月）,联合资信评估,2026-06-03 00:00:00.000,贸易Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=vLVBb9crEuL+SI65XlPRK8x7+hOrJC23GHxrshIwlCg=,https://pdf.dfcfw.com/pdf/H3_AP202606031823208918_1.pdf
潮玩行业全景洞察与趋势展望：情绪新宠 生态建构,毕马威会计师事务所,2026-04-20 00:00:00.000,贸易Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=lw61vATgV5jkMKNq7hii79X8SfSHd7DwLAfjl16G8cY=,https://pdf.dfcfw.com/pdf/H3_AP202604201821352857_1.pdf
2025年8月飞瓜抖音电商营销月报,飞瓜数据,2025-09-05 00:00:00.000,贸易Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=gRoYA8SffzXviMQ+qXIVt4niGiZyqedavlfzaE3OR3Q=,https://pdf.dfcfw.com/pdf/H3_AP202509051739085959_1.pdf
大湾区跨境电商供应链金融发展与安全白皮书（2025）,大湾区进出口商业总会,2025-09-05 00:00:00.000,贸易Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=gRoYA8SffzXviMQ+qXIVt/IRN6UhMOL9yBXCAzWUUgE=,https://pdf.dfcfw.com/pdf/H3_AP202509051739079950_1.pdf
电商行业：FACT+作者成长方法论白皮书,北京抖音科技,2025-08-21 00:00:00.000,贸易Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=fZhOEB8bnyJRXkkP6rpUTuhgJpWltDU7tkUPoEcB8Sg=,https://pdf.dfcfw.com/pdf/H3_AP202508211731630911_1.pdf
2025年7月飞瓜快手直播电商月报,飞瓜数据,2025-08-11 00:00:00.000,贸易Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=xlxWKjFcm6eZhQElB4dJc+BnP65qnI1eZih8XUHaPFg=,https://pdf.dfcfw.com/pdf/H3_AP202508111725320749_1.pdf
跨境电商行业点评：亚马逊Prime会员日销售再破记录，头部跨境电商企业受益,国信证券,2025-07-15 00:00:00.000,贸易Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=7e29OhmpQGbIV8eMFrKM7JJjGkXBedq4CNTWLgZn/e8=,https://pdf.dfcfw.com/pdf/H3_AP202507151709203945_1.pdf
2025年“618”期间中国电商平台商家投诉数据报告,网经社电子商务研究中心,2025-07-09 00:00:00.000,贸易Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=hIuRwRt96IhcNsmLqPd7SQyRiCFwzbxjW3opJVAhNCQ=,https://pdf.dfcfw.com/pdf/H3_AP202507091705693564_1.pdf
