研报名称,机构名称,发布时间,行业,研报地址
全球科技：Agentic Era系列一：智能体AI浪潮已至，CPU与IC载板迎来非线性跃迁,浦银国际证券,2026-07-03 00:00:00.000,软件开发,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=lfCg5GuIRBDoKH/4GRaxXwzNly3zpibLVV46OMurg6o=
2026智能矿山暨无人驾驶行业蓝皮书,亿欧智库,2026-07-03 00:00:00.000,软件开发,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=lfCg5GuIRBDoKH/4GRaxX3jB9q/0V7CmHanGesZhnJw=
GEO（生成式引擎优化）行业：现状与趋势研究报告,亦莘(上海)商务咨询,2026-07-03 00:00:00.000,软件开发,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=lfCg5GuIRBDoKH/4GRaxXxfSSqQ4CULIel2qeKWoOkk=
2026智能矿山暨无人驾驶行业蓝皮书,亿欧智库,2026-07-03,软件开发,https://pdf.dfcfw.com/pdf/H3_AP202607031826682776_1.pdf?1783068248000.pdf
GEO（生成式引擎优化）行业：现状与趋势研究报告,亦莘(上海)商务咨询,2026-07-03,软件开发,https://pdf.dfcfw.com/pdf/H3_AP202607031826683016_1.pdf?1783071148000.pdf
全球科技：Agentic Era系列一：智能体AI浪潮已至，CPU与IC载板迎来非线性跃迁,浦银国际证券,2026-07-03,软件开发,https://pdf.dfcfw.com/pdf/H3_AP202607031826688111_1.pdf?1783077551000.pdf
2026年中国企业AI工具生态图谱与应用趋势报告：从单点提效到组织级能力系统,前哨(青岛)教育科技,2026-07-02 00:00:00.000,软件开发,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=e8uG6eiIVZW0nwiqzAxJqtBFz5LhthSMyDlP8MwczhY=
2026AI智能眼镜教育产业蓝皮书：产业链拆解、市场测算与战略前瞻,AI-SLI,2026-07-02 00:00:00.000,软件开发,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=e8uG6eiIVZW0nwiqzAxJqosZhwE0vc8r7S2uUwZn69c=
互联网&海外科技行业2026年7月投资策略：首选MLCC、CCL涨价链，国产模型带动国产算力需求旺盛,国信证券,2026-07-02 00:00:00.000,软件开发,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=e8uG6eiIVZW0nwiqzAxJqpxS6DgBamhhf25tQSao7h4=
2026AI智能眼镜教育产业蓝皮书：产业链拆解、市场测算与战略前瞻,AI-SLI,2026-07-02,软件开发,https://pdf.dfcfw.com/pdf/H3_AP202607021826649016_1.pdf?1782987149000.pdf
2026年中国企业AI工具生态图谱与应用趋势报告：从单点提效到组织级能力系统,前哨(青岛)教育科技,2026-07-02,软件开发,https://pdf.dfcfw.com/pdf/H3_AP202607021826647588_1.pdf?1782984810000.pdf
互联网&海外科技行业2026年7月投资策略：首选MLCC、CCL涨价链，国产模型带动国产算力需求旺盛,国信证券,2026-07-02,软件开发,https://pdf.dfcfw.com/pdf/H3_AP202607021826648649_1.pdf?1782980653000.pdf
智能体人工智能变革供应链物流的大趋势,罗戈研究,2026-07-01 00:00:00.000,软件开发,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=fTCRDmv+6Cmy8a+mlj7u5OQWxJh3yEsL2Ji4B+Smg5Q=
人工智能行业从承诺到实践：选举管理中的人工智能(英译中),联合国开发计划署,2026-07-01 00:00:00.000,软件开发,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=fTCRDmv+6Cmy8a+mlj7u5EhUF/yoobWkS++bYztIjdA=
人工智能行业从承诺到实践：选举管理中的人工智能(英译中),联合国开发计划署,2026-07-01,软件开发,https://pdf.dfcfw.com/pdf/H3_AP202607011826626770_1.pdf?1782915747000.pdf
智能体人工智能变革供应链物流的大趋势,罗戈研究,2026-07-01,软件开发,https://pdf.dfcfw.com/pdf/H3_AP202607011826626769_1.pdf?1782915378000.pdf
人工智能行业：DeepSeek应用与部署,山东大学,2026-06-30 00:00:00.000,软件开发,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=pbgGimF6GIUsJi/NFvqdc/s6RF1tK83i+1rB6Hr5uXA=
人工智能行业：DeepSeek应用与部署,山东大学,2026-06-30,软件开发,https://pdf.dfcfw.com/pdf/H3_AP202606301826563534_1.pdf?1782812650000.pdf
AI周报：多重因素共同推升租赁价格，高端GPU供不应求,国信证券,2026-06-29 00:00:00.000,软件开发,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=sNXHRqYfuq/YK3RNBqVl9LNqecNBSO89V7w5asR3WDQ=
计算机行业点评报告：高通（QCOM.O）：发布数据中心路线图，全面布局Agentic AI时代,华鑫证券,2026-06-29 00:00:00.000,软件开发,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=sNXHRqYfuq/YK3RNBqVl9E3WwOj8Gt7vP2fBfTFwVvI=
互联网行业研究：字节发布Seed 2.1和Seedance 2.5，OpenAI推出GPT-5.6,国金证券,2026-06-29 00:00:00.000,软件开发,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=w/NB8TOq3B38ISJrYF46i4qK+eUZIW0AGwFm2G3NHFY=
计算机行业点评报告：奥多比Q2营收与EPS延续增长，AIfirst ARR突破5亿美元,华鑫证券,2026-06-29 00:00:00.000,软件开发,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=w2NNQ6TFDBV7T5E2D8Y77pSklGoxE8b6rCdhnLH8MFc=
