研报名称,机构名称,发布时间,行业,页数,网页链接,PDF直链
光通信设备行业点评：高速光模块渗透提速，测试设备需求加速释放,爱建证券,2026-07-20 00:00:00.000,通用设备,2,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=4PqOz2Xj2NJxO5S/+q3G3QTz1LTfypkeeBHNjEJJwMk=,https://pdf.dfcfw.com/pdf/H3_AP202607201827160241_1.pdf
机械设备行业跟踪周报：坚定看好短期回调较大的半导体设备板块；推荐低估值高景气的船舶板块,东吴证券,2026-07-19 00:00:00.000,通用设备,20,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=cOlZTbIrp5BJC7tWozaXBMOMroVHKnhTo098z2eOesY=,https://pdf.dfcfw.com/pdf/H3_AP202607191827108121_1.pdf
机械行业2026年7月投资策略：震荡市场重点关注产业趋势好、业绩有支撑的方向,国信证券,2026-07-16 00:00:00.000,通用设备,22,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=k6uwg4wSl4ZpcffQ2Bf5yC+JL4W5lkRdnqYhtv/4uX4=,https://pdf.dfcfw.com/pdf/H3_AP202607161827032099_1.pdf
人形机器人行业跟踪报告：2026年Q1中国人形机器人出口额同比增长210%,万联证券,2026-07-14 00:00:00.000,通用设备,8,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=THoCdW11jQl5iiz7Fcrwt8iOy5lXkbFlxe0+CorLD7Q=,https://pdf.dfcfw.com/pdf/H3_AP202607141826964086_1.pdf
机械设备行业简评：挖掘机外销增速扩大，环保政策加速老旧设备更新,东海证券,2026-07-14 00:00:00.000,通用设备,2,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=THoCdW11jQl5iiz7Fcrwt4doLnWO9QpJBwdg78yZ55Q=,https://pdf.dfcfw.com/pdf/H3_AP202607141826964469_1.pdf
机械行业周报：关注AI设备相关投入，场景适配成为机器人迭代主线,华源证券,2026-07-13 00:00:00.000,通用设备,12,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=JcOg0ZZaus+iKTIiCp+KLSN/uGWCMiK1FxIciGv0mXA=,https://pdf.dfcfw.com/pdf/H3_AP202607131826928615_1.pdf
机械设备行业跟踪周报：推荐国产化加速&高景气的半导体设备；看好AIDC产业链液冷和燃机机会,东吴证券,2026-07-12 00:00:00.000,通用设备,20,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=4setjouJ214gX8Re7X69piNFd5YYE0DsJEY/exO/Cp8=,https://pdf.dfcfw.com/pdf/H3_AP202607121826909836_1.pdf
高端制造行业ETF月报（2026年7月）：受益下游业务爆发及国产进程加速，关注光通信测试设备企业,金融街证券,2026-07-09 00:00:00.000,通用设备,18,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=LZ0shobpeEbFaV0MmHKb1TJzQRf289fwCCGNyjfUGiw=,https://pdf.dfcfw.com/pdf/H3_AP202607091826850272_1.pdf
机械设备：人形机器人进入量产爬坡阶段，看好物理AI中长期机遇,华源证券,2026-07-08 00:00:00.000,通用设备,9,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=zvBpmt7iWF2+iLsmGuoe+AC0LS9ncD3Nq1NYR7O1hqk=,https://pdf.dfcfw.com/pdf/H3_AP202607081826816375_1.pdf
机械设备行业2026年中期投资策略：AI赛道长景气，高端制造迎新机,东海证券,2026-07-08 00:00:00.000,通用设备,51,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=zvBpmt7iWF2+iLsmGuoe+G0HIhc9PX5D3DKfEA8575w=,https://pdf.dfcfw.com/pdf/H3_AP202607081826793723_1.pdf
制造业与生产性服务业深度融合发展研究报告（2026年）,中国信通院,2026-07-08 00:00:00.000,通用设备,36,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=zvBpmt7iWF2+iLsmGuoe+L5oTiOYlUV0HSK4KB0KJlg=,https://pdf.dfcfw.com/pdf/H3_AP202607081826790782_1.pdf
