研报名称,机构名称,发布时间,行业,研报地址
新疆菜发展报告2026,红餐产业研究院,2026-07-05 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=/m154nP6C416h3qLjjZKfKUDrtERXn8SqHaQigDzK4g=
2026年中国民宿市场调研报告,硕远咨询,2026-07-03 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=lfCg5GuIRBDoKH/4GRaxX26I/fgHNapF+4Y/ug1MIT4=
2026年中国中端酒店研究报告,硕远咨询,2026-07-03 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=lfCg5GuIRBDoKH/4GRaxX2AT9X38mZwdTUYQyzHVd7k=
社会服务景区赛道投资框架系列（三）：旺季主题热度不减，成长叙事增添看点,国信证券,2026-07-01 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=fTCRDmv+6Cmy8a+mlj7u5Fb2uxS7ixuqbKK2UStb1Og=
社会服务行业双周报：5月社零表现偏弱，端午出行市场表现良好,中银证券,2026-06-24 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=F+ZhHRiImQMLRMIdpezE4HWR85Rtzui/TGY2VzwwINE=
中国餐饮到店决策与评价体系洞察报告2026,红餐产业研究院,2026-06-23 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=eJi1KfnPSzsOqK/d1hQ6dOjN9u8V59eBYVIV2cadN+c=
社会服务行业双周报（第132期）：跨界的不对称，7-11做餐饮与茶饮跨界餐饮零售的异同,国信证券,2026-06-23 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=eJi1KfnPSzsOqK/d1hQ6dHAauU6jD+PaWlTtALLeLd8=
社服与消费视角点评5月国内宏观数据：5月社零同比转负，消费需求仍有良好释放空间,中银证券,2026-06-17 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=ObjnBE3LxTv7iqsqRKQSbyzYpiu1o9LWAxtOwM/I6fs=
社会服务行业周报：LABUBU亮相开幕式，美加墨世界杯带动消费升温,上海证券,2026-06-17 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=ObjnBE3LxTv7iqsqRKQSb2rsE0q2vLShkDWKHapVrGM=
服务商业：寻找国内规模化地面履约业态,东吴证券,2026-06-16 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=fT7MG3z99qslJnEoDmwZDHVNnFDiawaIAJP5anVKVUo=
连锁餐饮加盟专题：解码万店商业基因——茶饮与餐饮的加盟适配性异同,国信证券,2026-06-15 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=fT7MG3z99qslJnEoDmwZDGLVjlAwyUXED+JEYPjZX4c=
社会服务行业双周报：端午假期临近，期待出行市场改善性增长,中银证券,2026-06-09 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=Ro1ytKVz64H4i+sSK7qcQU9v0qbl9XHzlkXGWt+XMa0=
社服行业2026年中期投资策略：服务消费投资价值重估新起点,国信证券,2026-06-08 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=JbxiMuPmNPwklumuVKyO7Qf9+E5Ndxa7xQmyCuFXwt4=
社会服务行业双周报（第131期）：2026美加墨世界杯有望驱动多重主题性投资机会,国信证券,2026-06-08 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=JbxiMuPmNPwklumuVKyO7bhfXY8D0Iqv9Dn/Kv/1Fnw=
社服行业周报：全球化布局提速，业绩稳健增长,上海证券,2026-06-03 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=vLVBb9crEuL+SI65XlPRK+KquYrJS1DQoQrFdN8RCQQ=
中国餐饮供应链研究报告：芙蓉嘴中国土豆应用方案,红餐产业研究院,2026-05-28 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=rmuxYk/8kah+Ec3RizjA1MyHIO4/NMVFApbIz53sOSk=
餐饮酸味趋势发展报告2026,红餐产业研究院,2026-05-28 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=rmuxYk/8kah+Ec3RizjA1P6pWizv7wUlDT2iPiFmZOM=
中国餐饮供应链研究报告：美味源醇鲜本味老母鸡汤应用方案,红餐产业研究院,2026-05-28 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=rmuxYk/8kah+Ec3RizjA1NfAmALVrR1oexjMZteYlsA=
中国餐饮行业供应链研究报告：客串一把鲜牛肉串应用方案,红餐产业研究院,2026-05-27 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=8gUNtjW5jnuIsoF3A3XHB7nFLpZOEPhu+uyUuvEaoe4=
社会服务行业双周报：社零增速回落，机票成本抬升或降低出行预期,中银证券,2026-05-26 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=ezwMyDfKd2WUFgzUwL6wAWGkdf6nzNd2OPOSsQL1XJc=
社会服务行业双周报（第130期）：外卖新规落地生效在即，东方甄选线下店开业运营,国信证券,2026-05-26 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=ezwMyDfKd2WUFgzUwL6wAYbggfn6mmtcDDKMHrDsd0I=
零售社服行业2025年报和2026一季报综述：服务消费迎政策催化，板块景气度持续修复,华龙证券,2026-05-25 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=yAxnM+X7+cNkaz6/iJZO1FZLF1IbaF4a7uRBXoyEOz8=
消费者服务行业双周报：航空燃油附加费突发上涨，端午国际线机票仍同比增长11%,东莞证券,2026-05-25 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=yAxnM+X7+cNkaz6/iJZO1OUVzIelaMLXAiTFmdb4mWE=
社服与消费视角点评4月国内宏观数据：4月社零环比回落，服务消费表现良好,中银证券,2026-05-22 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=GH0mz9OFfdD8HJyjS8PWdP17cPGnGGr48rg1xL69b7A=
新消费——社服板块2025年度及2026Q1总结：茶饮业绩增速表现亮眼；出行链、餐饮链平缓复苏,华源证券,2026-05-21 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=LJeWN/nGIIJZXKN8+dM8/wV2FAoAIFnu7xCeeTetiiQ=
社服2025年报&2026Q1综述：2025行业内经营情况表现分化，2026Q1各子板块营收同比均增长,山西证券,2026-05-14 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=LBIS7bPRbuARj1Q2LOK57UPbro/5m160BHTp7nENKFI=
社会服务行业2025年年报与2026年一季报综述：收入利润稳步成长，出行链板块高景气运行,中银证券,2026-05-14 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=LBIS7bPRbuARj1Q2LOK57XPf/+JAK58radeJrEBDtCI=
社会服务行业2026Q1基金持仓分析报告：重仓比例持续回升，旅游个股普遍增持,万联证券,2026-05-14 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=LBIS7bPRbuARj1Q2LOK57ecThlvL924ONfWlaKNrKlA=
消费者服务行业2025年及2026年一季度业绩综述：2025稳步增长，2026Q1开局明显改善,东莞证券,2026-05-13 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=KKx/o0h8GXci4gNIaf+w9C/fAk9JO7Mkt/drmaLX0aQ=
社会服务行业双周报：“五一”出行景气度良好，相关消费延续增长,中银证券,2026-05-12 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=EZKzOIyOfPXOY/mOkPf0GA4MXeUgPZ5/c9tuRUzdq88=
社会服务行业2025年业绩综述报告：营收增长韧性仍存，教育景气度持续提升,万联证券,2026-05-12 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=EZKzOIyOfPXOY/mOkPf0GPRI6XBy2nx1hf3VZIkWdGM=
消费者服务行业双周报：五一假期国内出游人次同比增长3.6%，春假助长出游多元化,东莞证券,2026-05-11 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=GxboAqS/kCL8rn2DaeAC6bFlFYVDkzZq2NRKcm4+HsQ=
社会服务行业双周报（第129期）：“五一”假期消费稳健增长，世界数字教育大会即将在杭召开,国信证券,2026-05-11 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=GxboAqS/kCL8rn2DaeAC6aePvTaqn9viXHW+kYOboTM=
社服行业月度投资策略：短期板块情绪走弱，淡化总量把握结构性机会,国信证券,2026-05-11 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=GxboAqS/kCL8rn2DaeAC6f+FDVHQizBhcmxLebERLhU=
2026年五一旅游数据点评：出行市场稳健增长，文体旅融合亮点频出,中银证券,2026-05-07 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=Wq+NxWAWJ26bvphenTnhbFjigRSWhPqqqg4VEBHqokI=
2026年五一旅游出行点评：中小学春假叠加实现超长假期，五一再创出游人次新高,东莞证券,2026-05-06 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=vK83LYxZyxfJFYh4NqvDQFB8MZUBLaZfYJUWiAsi/2E=
餐饮行业季度观察报告（2026年Q1）,红餐产业研究院,2026-05-05 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=BaaYezpV3tryL6L2DX9ubgqAPCZ69BRk/5W3pAn7Ybw=
社会服务行业双周报：“五一”假期预热，出行景气度有望延续,中银证券,2026-04-28 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=en3lKDpHApx5MExDYCEDEU2G/cw1TPNxpN0NXP6s1hY=
消费者服务行业双周报：“五一”假期国内航线机票预订量超470万张,东莞证券,2026-04-27 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=I0G8zgsN1iSKizHA2BNZ6FgU+gnrNod9uKcltRi5160=
酒店行业迈向零废弃：酒店业一次性用品减量调查报告,公众环境研究中心,2026-04-20 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=lw61vATgV5jkMKNq7hii76obGn8thcQHqpz9Wq/5nBU=
社会服务行业跟踪周报：业绩陆续披露，重视教育行业红利属性,东吴证券,2026-04-20 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=lw61vATgV5jkMKNq7hii7wvdCQbsIMo++AhPBD8Fp08=
MSI中国酒店市场景气调查报告2026Q2,浩华管理顾问(深圳),2026-04-20 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=jBWtOmqmnxoVD90+lx7bTHsPoEP96S3hblWylMZI6do=
社服与消费视角点评3月国内宏观数据：一季度稳中有升，内需重要性持续提升,中银证券,2026-04-17 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=hVZN+/0rd1itMAX5IcfSUMcebizrhBD2eud5Yz6GRIg=
社会服务行业4月投资策略：假期接踵助力板块景气修复，继续看好优质细分龙头,国信证券,2026-04-16 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=fMzmk+2oClhN0YqA7sAGfFgLrEodnUngRMwUzuZ5SnM=
社会服务行业双周报（第128期）：“三月三”望接力清明出游热度，个性化辅导迎高考冲刺旺季,国信证券,2026-04-13 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=lEJ4tvrLL4iYJKcaLiC2vw2JFyY4w85whbGfbSmFhYg=
社会服务行业双周报：清明假期出行市场维持高景气度运行,中银证券,2026-04-13 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=lEJ4tvrLL4iYJKcaLiC2v2ld69e///RUY6hCC8rvSTU=
社会服务行业周报：中国香港零售&进出口贸易额双高增，口扫国产替代+出海进行时,开源证券,2026-04-13 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=lEJ4tvrLL4iYJKcaLiC2v685PGleVBrL3xI+/L2zAnM=
消费者服务行业双周报：清明节国内出游1.35亿人次，同比增长6.8%,东莞证券,2026-04-10 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=cR/s6uWt5jZZd4n+QAEFBkjyItlrizGOptXxyNwJqy0=
旅游行业2026年清明小长假数据快评报告：清明旅游温和复苏，春假效应显著,万联证券,2026-04-08 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=nN1iN6tG18UYFKPyTLB7o8HG6zUqHi0kOS6FEkRZtz0=
社会服务行业周报：3月离岛免税销售同比增长25%，香港商业地产交易额创新高,开源证券,2026-04-07 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=XVAfjuZIpCSkgf2k6P2gpRzSq/F/FmbusoGs+RLbnsY=
2025中国饭店业职业人才培养报告,中国饭店协会,2026-04-03 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=gFO24YZW3e0PlygtpsizFBj3ON/thFLB9mg0lz5WicU=
2026提质增效：中国酒店业数字化转型趋势报告,石基信息,2026-03-31 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=yox7xzf0O9dtTdxl8tZuT4JWFuXZYcxKX3DJqQHSv1I=
中国餐饮品牌出海发展报告2026,红餐产业研究院,2026-03-31 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=yox7xzf0O9dtTdxl8tZuT7IlC/y3H0bgr4KYP/mOhCA=
社会服务行业双周报：春假+清明叠加下，出行市场热度提升明显,中银证券,2026-03-30 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=x9pIQofGzI9LIaB0HSp91jMH/syFRk7oRhYeRjkL1iY=
社会服务行业双周报（第127期）：春假衔接清明假催热旅游市场，监管传递“外卖停战”信号,国信证券,2026-03-30 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=x9pIQofGzI9LIaB0HSp91uN8Sdaj1Idjn8TNi1mqwkA=
2026中国火锅连锁行业趋势白皮书,深圳市逸马科技,2026-03-27 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=+HQpsq0qvXZbuOEG3JMI5ru/YFCRXTy7lp4HiZcS/XA=
餐饮行业未来趋势预测报告（2026-2028）,红餐产业研究院,2026-03-27 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=+HQpsq0qvXZbuOEG3JMI5g5xysXYkeVJqHuUgS+sTSE=
消费者服务行业双周报：春假、赏花等热点推动清明国内航线机票预订量同比增长约20%,东莞证券,2026-03-27 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=+HQpsq0qvXZbuOEG3JMI5qudpte0lAigxCmn6Cmxa/Q=
社会服务行业周报：中国香港2月一手房成交增速亮眼，世界牙科耗材看中国,开源证券,2026-03-23 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=AXL2dnO3LwnWoDbc/j2fPahNQWHZp07bu6TUPc1TU00=
社服与消费视角点评1-2月国内宏观数据：社零增幅环比改善，看好全年消费增长,中银证券,2026-03-17 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=wgy5GfHBY5ZK7yGs2a3VyV7p53LAiq5/zzq/031bUoM=
海底捞火锅2025品牌年终报告,北京窄门信息技术,2026-03-16 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=ivGavoqmU0N6YSeJK0gsmvYXA98jLS3yJCam+sOxhPw=
社会服务行业双周报（第126期）：港股连锁业态公司即将密集披露业绩，春节后旅游市场“淡季不淡”,国信证券,2026-03-16 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=ivGavoqmU0N6YSeJK0gsmvcr0cbRftlg4Q6ifTkSi58=
社会服务行业周报：中东局势或利好中国香港地产持续复苏，多特倍斯2月仍保持高增,开源证券,2026-03-16 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=ivGavoqmU0N6YSeJK0gsmiCefzavYnPxOwk4F1VTdMg=
服务消费投资主线—出行链行业专题：服务消费政策相继出台，预计出行复苏动能持续,华源证券,2026-03-16 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=7HIURRqTbuK4ZnlEb5bC0YA3gsFq/uo0BP1Cy4qmdM0=
消费者服务行业双周报：政府工作报告提出深入实施提振消费专项行动,东莞证券,2026-03-13 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=D2GXqoCoz3tMVb8T97L3altLaDnSPMLqLTSwEOmHb2Q=
餐饮降本增效创新策略研究报告2026,红餐产业研究院,2026-03-13 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=duOKd2B+lgzBov5ATCbG/+4lqO+Qqqh7gQiFLdCCYPU=
社会服务：三问三答看两会，全面看好服务消费,中邮证券,2026-03-11 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=nZOWanw4QLvo1GCI4YOLQAJfDA6Jj8FXCu/6XwAm7Kk=
餐饮行业深度报告：餐饮边际复苏得验，可持续性高看,东吴证券,2026-03-11 00:00:00.000,酒店餐饮,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=nZOWanw4QLvo1GCI4YOLQC903KVJhJGGIk1kDlPDBH8=
