研报名称,机构名称,发布时间,行业,页数,网页链接,PDF直链
近期风电招中标情况更新,国新证券股份,2026-07-07 00:00:00.000,风电设备,4,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=jocpIJdi6Q/y/MTw/2H7SrJZd4+Ls6NGBUguvq+pkD0=,https://pdf.dfcfw.com/pdf/H3_AP202607061826755162_1.pdf
风电行业周报（20260622-20260626）,国新证券股份,2026-07-06 00:00:00.000,风电设备,10,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=jocpIJdi6Q/y/MTw/2H7SvtwbluUe0YfTQ43gVW9aT0=,https://pdf.dfcfw.com/pdf/H3_AP202607061826755166_1.pdf
近期风电招中标情况更新,国新证券股份,2026-06-29 00:00:00.000,风电设备,3,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=sNXHRqYfuq/YK3RNBqVl9AkLLsuIx22b6nbqsu8KE9I=,https://pdf.dfcfw.com/pdf/H3_AP202606291826537242_1.pdf
风电设备：两海布局，推动行业信心回升,国投证券(香港),2026-06-23 00:00:00.000,风电设备,26,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=eJi1KfnPSzsOqK/d1hQ6dBFwom0D896nLs/LbRBi0x8=,https://pdf.dfcfw.com/pdf/H3_AP202606231823762987_1.pdf
风电行业周报,国新证券股份,2026-06-18 00:00:00.000,风电设备,9,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=13BnGdH8vQGjruC+csEfjkJ/y1e/enbYHNuQLiuT3rU=,https://pdf.dfcfw.com/pdf/H3_AP202606181823678107_1.pdf
电力设备行业：近期风电招中标情况更新,国新证券股份,2026-06-18 00:00:00.000,风电设备,3,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=13BnGdH8vQGjruC+csEfjoOWos4DVUGKz9ceXW80NgQ=,https://pdf.dfcfw.com/pdf/H3_AP202606181823678099_1.pdf
火电重估系列：煤价逐步传导，弱化利用小时，强化容量价值,国金证券,2026-06-15 00:00:00.000,风电设备,23,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=fT7MG3z99qslJnEoDmwZDKjZI/I+6nb8piDBor9oF6w=,https://pdf.dfcfw.com/pdf/H3_AP202606151823557590_1.pdf
风电行业周报,国新证券股份,2026-06-12 00:00:00.000,风电设备,9,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=9wL7sdiwmb9ura8s29RbpYn3eu9/l9sAESeOF2YDUm0=,https://pdf.dfcfw.com/pdf/H3_AP202606121823499309_1.pdf
近期风电招中标情况更新,国新证券股份,2026-06-06 00:00:00.000,风电设备,3,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=e3SPjoN1HbRVZNbLdP/NDepd+Htq9JABfOTPUpVtpvo=,https://pdf.dfcfw.com/pdf/H3_AP202606061823322809_1.pdf
风电行业周报,国新证券股份,2026-06-05 00:00:00.000,风电设备,9,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=bjN0bUIX4t9LuI72oEtR305Go7hOzAQd00AawPxYh+o=,https://pdf.dfcfw.com/pdf/H3_AP202606051823271603_1.pdf
风电行业周报,国新证券股份,2026-06-04 00:00:00.000,风电设备,10,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=sPUp5kN8m7+/x4wzHCDscw5/28ZI4gov5hSf0tDkgPM=,https://pdf.dfcfw.com/pdf/H3_AP202606041823244389_1.pdf
近期风电招中标情况更新,国新证券股份,2026-06-04 00:00:00.000,风电设备,3,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=sPUp5kN8m7+/x4wzHCDsc3uQkM+/R1V2X+pPKuWypMg=,https://pdf.dfcfw.com/pdf/H3_AP202606041823243948_1.pdf
风电行业周报,国新证券股份,2026-06-04 00:00:00.000,风电设备,9,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=sPUp5kN8m7+/x4wzHCDsc1HVNLjgTTjf/zHYR1B4ZMA=,https://pdf.dfcfw.com/pdf/H3_AP202606041823243493_1.pdf
电力设备新能源行业点评：国产风机海外订单饱满，2027年有望迎来业绩丰收期,国信证券,2026-06-03 00:00:00.000,风电设备,4,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=vLVBb9crEuL+SI65XlPRK1JXjMpc9Z6sLJqzhVrP0/s=,https://pdf.dfcfw.com/pdf/H3_AP202606031823194360_1.pdf
风电氢能行业2026年度中期投资策略：乘风拓海，能源自主与产业趋势共振,开源证券,2026-05-29 00:00:00.000,风电设备,26,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=bsQe8BCnoZKeqsWeLQmz+J0Kso7hgbx+tVd6WGl4oaY=,https://pdf.dfcfw.com/pdf/H3_AP202605291822993191_1.pdf
AIDC系列深度（四）：SST开启AIDC供电“硅进铜退”新周期,国金证券,2026-05-29 00:00:00.000,风电设备,25,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=bsQe8BCnoZKeqsWeLQmz+IfsQTRRBlC1MCvAiC9TRo0=,https://pdf.dfcfw.com/pdf/H3_AP202605291823014328_1.pdf
海上风电设备：用海冲突缓解，海上风电是否景气度依旧？,头豹研究院,2026-05-26 00:00:00.000,风电设备,46,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=ezwMyDfKd2WUFgzUwL6wAWohOC3LqJsJx9xl03BQKN8=,https://pdf.dfcfw.com/pdf/H3_AP202605261822886736_1.pdf
风电行业25Q4&26Q1业绩点评：看好海风和出海带来的增长机会,五矿证券,2026-05-14 00:00:00.000,风电设备,9,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=LBIS7bPRbuARj1Q2LOK57XPogvFbpyx6nvzaPOPGjrw=,https://pdf.dfcfw.com/pdf/H3_AP202605141822313715_1.pdf
工控&电网25Q4&26Q1总结：工控进一步复苏，电网景气度保持,东吴证券,2026-05-12 00:00:00.000,风电设备,37,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=EZKzOIyOfPXOY/mOkPf0GL6UX9NzrIfwB+/u3fV0Kbg=,https://pdf.dfcfw.com/pdf/H3_AP202605121822202418_1.pdf
25FY&26Q1风电板块业绩总结：从周期走向成长，板块盈利有望持续向上,国金证券,2026-05-08 00:00:00.000,风电设备,32,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=Vzxb5dV9nZa96IsXVdMsLhWF2mCyLAhn4Ka4rL2wxvA=,https://pdf.dfcfw.com/pdf/H3_AP202605081822077216_1.pdf
风电行业周报,国新证券股份,2026-04-28 00:00:00.000,风电设备,9,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=bjN0bUIX4t9LuI72oEtR3+XPmwqPpiDWTrYPkuenTlw=,https://pdf.dfcfw.com/pdf/H3_AP202606051823272538_1.pdf
近期风电招中标情况更新,国新证券股份,2026-04-28 00:00:00.000,风电设备,4,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=bjN0bUIX4t9LuI72oEtR3zNo3/e1HalfuXHmsHZMo6w=,https://pdf.dfcfw.com/pdf/H3_AP202606051823272455_1.pdf
近期风电招中标情况更新,国新证券股份,2026-04-22 00:00:00.000,风电设备,4,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=bjN0bUIX4t9LuI72oEtR30FQIMGcqVtzn0VU65gbWws=,https://pdf.dfcfw.com/pdf/H3_AP202606051823272228_1.pdf
风电行业周报,国新证券股份,2026-04-20 00:00:00.000,风电设备,10,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=bjN0bUIX4t9LuI72oEtR3+FU/xAnc5YEgf+nHOwUP04=,https://pdf.dfcfw.com/pdf/H3_AP202606051823272215_1.pdf
电力设备与新能源行业研究：欧洲海风专题之二：订单放量信号明显，能源安全驱动长期需求确定性提升,国金证券,2026-04-15 00:00:00.000,风电设备,21,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=yf320Ezqkk1hPscoJhu0uk6hrcqT4pmCekC8ZfCe9+o=,https://pdf.dfcfw.com/pdf/H3_AP202604151821243465_1.pdf
近期风电招中标情况更新,国新证券股份,2026-04-14 00:00:00.000,风电设备,4,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=bjN0bUIX4t9LuI72oEtR31S7xXzdtR5dYUfHeRKxl38=,https://pdf.dfcfw.com/pdf/H3_AP202606051823272189_1.pdf
风电行业周报,国新证券股份,2026-04-14 00:00:00.000,风电设备,9,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=bjN0bUIX4t9LuI72oEtR350eRMjkQty3FWmyxEuCL48=,https://pdf.dfcfw.com/pdf/H3_AP202606051823272190_1.pdf
风电行业周报,国新证券股份,2026-04-08 00:00:00.000,风电设备,10,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=e3SPjoN1HbRVZNbLdP/NDaJILnSvlUYK9/LdY77SbM8=,https://pdf.dfcfw.com/pdf/H3_AP202606061823322791_1.pdf
近期风电招中标情况更新,国新证券股份,2026-04-08 00:00:00.000,风电设备,3,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=e3SPjoN1HbRVZNbLdP/NDVBl2QRTeMDzqBo910Zxing=,https://pdf.dfcfw.com/pdf/H3_AP202606061823322787_1.pdf
东吴北交所风电设备专题报告,东吴证券,2026-04-08 00:00:00.000,风电设备,31,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=nN1iN6tG18UYFKPyTLB7owxIOcoM+q0GUHwVaUrQIPY=,https://pdf.dfcfw.com/pdf/H3_AP202604081821060203_1.pdf
近期风电招中标情况更新,国新证券股份,2026-04-03 00:00:00.000,风电设备,3,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=XGWmSSG17O1invCqsvizvmWb8bMLQo82rUBOx1ncaDE=,https://pdf.dfcfw.com/pdf/H3_AP202604021820991738_1.pdf
风电行业周报,国新证券股份,2026-04-02 00:00:00.000,风电设备,9,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=XGWmSSG17O1invCqsvizvk5xlefV9FvmEZaRqufPutE=,https://pdf.dfcfw.com/pdf/H3_AP202604021820991741_1.pdf
